Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR32684363 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 3.515248209332562e-05)	(3, 4.686997612443416e-05)	(4, 5.8587470155542706e-05)	(5, 0.00010545744627997687)	(6, 0.0005507222194621014)	(7, 0.0015701442001685444)	(8, 0.0026598711450616388)	(9, 0.003960512982514687)	(10, 0.008823273005424731)	(12, 0.018126963266124913)	(14, 0.053947342519223715)	(16, 0.06230777451041966)	(18, 0.06487390570323243)	(20, 0.0668365859534431)	(22, 0.06906876856636929)	(24, 0.0716173235181354)	(26, 0.0741541609758704)	(28, 0.07628674488953216)	(30, 0.07813225019943174)	(32, 0.08001290799142467)	(34, 0.08253802795512856)	(36, 0.08537952025767238)	(38, 0.08868971232146054)	(40, 0.09314236005328179)	(42, 0.09781178142467854)	(44, 0.10312566496778627)	(46, 0.10987494152970478)	(48, 0.11762606383128307)	(50, 0.12699420030915437)	(52, 0.1374169112498254)	(54, 0.14827316946964747)	(56, 0.1607112893836692)	(58, 0.1739696338798685)	(60, 0.19019250436593826)	(62, 0.21454731570959737)	(64, 0.24033166132505174)	(66, 0.2618332628721359)	(68, 0.28424882895364656)	(70, 0.31010933828030307)	(72, 0.3396491407327277)	(74, 0.37283894257584266)	(76, 0.41305338209060716)	(78, 0.4556699078817489)	(80, 0.5038229496025894)	(82, 0.5586901154032553)	(84, 0.61793376522454)	(86, 0.6830595970494413)	(88, 0.7496969856043556)
SRR32684363 - polya	(1, 0.0010311394747375515)	(2, 0.0016170141762929786)	(3, 0.0021208664196306457)	(4, 0.0030582659421193293)	(5, 0.004112840404919098)	(6, 0.005659549617025425)	(7, 0.009198232814420204)	(8, 0.018619098015431473)	(9, 0.036968693668147444)	(10, 0.04745585082598959)	(12, 0.06169846482080202)	(14, 0.07435335837439924)	(16, 0.08332310005521283)	(18, 0.09125584351427332)	(20, 0.09885463839344721)	(22, 0.10543401129191465)	(24, 0.11343120096814623)	(26, 0.12353168082296179)	(28, 0.1347394638637171)	(30, 0.14641594666571678)	(32, 0.16002581598284932)	(34, 0.17505350207774606)	(36, 0.18393536255332632)	(38, 0.19293439796921769)	(40, 0.2014237223947558)	(42, 0.20990132932626285)	(44, 0.2210036549207382)	(46, 0.23157869328381364)	(48, 0.23947042551376524)	(50, 0.2458037310375794)	(52, 0.2511937782918893)	(54, 0.2575739537918279)	(56, 0.26433494784777756)	(58, 0.27201576518516923)	(60, 0.2790872728329432)	(62, 0.2856900807194729)	(64, 0.2915605452290583)	(66, 0.29728454106325475)	(68, 0.30270388205264254)	(70, 0.30934770116828103)	(72, 0.31540564558236417)	(74, 0.32247715323013815)	(76, 0.3296189658420988)	(78, 0.3370185633227438)	(80, 0.3450157529989754)	(82, 0.35345820744838913)	(84, 0.3614026684014807)	(86, 0.3680054762880104)	(88, 0.37674672683521737)
SRR32684363 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018747990449773664)	(4, 0.0003398073269021477)	(5, 0.0005390047254309929)	(6, 0.001171749403110854)	(7, 0.0022028888778484056)	(8, 0.002882503531652701)	(9, 0.004065970428794663)	(10, 0.0043882015146501484)	(12, 0.0054193409893877)	(14, 0.006690689091762977)	(16, 0.008032342158324903)	(18, 0.009637638840586774)	(20, 0.010809388243697628)	(22, 0.013574716835039243)	(24, 0.019673672478231242)	(26, 0.023798230377181446)	(28, 0.03066468187941105)	(30, 0.06529573548835234)	(32, 0.09661659703350547)	(34, 0.11197237296127321)	(36, 0.12064331854429353)	(38, 0.12531273991569028)	(40, 0.1320092877544688)	(42, 0.14309403710789748)	(44, 0.15718432368030552)	(46, 0.19251256818409776)	(48, 0.2167853570695391)	(50, 0.22301906389408885)	(52, 0.23249265781824013)	(54, 0.2401148876854762)	(56, 0.24875653953341878)	(58, 0.25611512578495493)	(60, 0.2607845471563517)	(62, 0.2646161677045242)	(64, 0.2674518012600524)	(66, 0.27031086980364294)	(68, 0.27551929590047064)	(70, 0.2781381558164234)	(72, 0.2809327781428428)	(74, 0.2844070151230665)	(76, 0.2873949761009992)	(78, 0.29011343471621637)	(80, 0.29364040041958006)	(82, 0.2990773176500144)	(84, 0.3102851006907697)	(86, 0.3380731377855436)	(88, 0.3655037913123687)
SRR32684364 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 1.004102663071042e-05)	(3, 1.004102663071042e-05)	(4, 3.012307989213126e-05)	(5, 7.028718641497294e-05)	(6, 0.0005522564646890731)	(7, 0.0013856616750380379)	(8, 0.0022391489386484236)	(9, 0.003393867001180122)	(10, 0.006948390428451611)	(12, 0.014243196275662732)	(14, 0.041886142590008515)	(16, 0.04819190731409466)	(18, 0.050365789579643466)	(20, 0.05181169741446577)	(22, 0.05438722074524299)	(24, 0.05671171841025245)	(26, 0.058750046816286663)	(28, 0.06049216493671493)	(30, 0.06225436511040461)	(32, 0.06354965754576625)	(34, 0.06558798595180046)	(36, 0.0679476272100174)	(38, 0.070683806966886)	(40, 0.07433372014714923)	(42, 0.07793342819425893)	(44, 0.08187453114681276)	(46, 0.0866339777697695)	(48, 0.09243769116232012)	(50, 0.099220404651365)	(52, 0.10770005164099997)	(54, 0.11671187304206257)	(56, 0.12612031499503823)	(58, 0.13566933132084386)	(60, 0.14865739926766774)	(62, 0.16779057551248647)	(64, 0.1897352392139041)	(66, 0.20687527167252678)	(68, 0.22442196570969325)	(70, 0.2454880395809237)	(72, 0.2696166265745208)	(74, 0.2974503523948501)	(76, 0.329476206833501)	(78, 0.3647904974937095)	(80, 0.4043169988255011)	(82, 0.45040531106046194)	(84, 0.4998423056767647)	(86, 0.554134136669016)	(88, 0.6087573215400806)
SRR32684364 - polya	(1, 0.0008735693168718065)	(2, 0.0013555385951459066)	(3, 0.0018877130065735588)	(4, 0.002660872057138261)	(5, 0.0035846465071636196)	(6, 0.005361908220799364)	(7, 0.009478729139390636)	(8, 0.018324873601046517)	(9, 0.036880690814599375)	(10, 0.047383604670322474)	(12, 0.060336529023938906)	(14, 0.07153227371718103)	(16, 0.08053907460492828)	(18, 0.08862712155596553)	(20, 0.09512366578603515)	(22, 0.10211724083432497)	(24, 0.10965303132067314)	(26, 0.11835860140949908)	(28, 0.1284096690668402)	(30, 0.14012754714487924)	(32, 0.153677912583023)	(34, 0.16703247800186782)	(36, 0.17530126343225788)	(38, 0.18358511040259395)	(40, 0.19098534702942754)	(42, 0.19948005555900855)	(44, 0.2099076617150013)	(46, 0.22001395501881135)	(48, 0.22726859675949965)	(50, 0.2337400384229925)	(52, 0.23899149535085407)	(54, 0.24506129594911852)	(56, 0.2506842708623163)	(58, 0.2575021279445687)	(60, 0.2632204926107583)	(62, 0.2693254368022302)	(64, 0.27445640141052324)	(66, 0.2793664634329407)	(68, 0.28415101262247416)	(70, 0.2898944798552405)	(72, 0.2961952240660113)	(74, 0.30363562479936773)	(76, 0.31113125117919305)	(78, 0.31812482622748284)	(80, 0.3254296731013247)	(82, 0.33299056615424966)	(84, 0.3398435668297095)	(86, 0.34664134185870044)	(88, 0.35524148116790394)
SRR32684364 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002008205326142084)	(4, 0.0003413949054441543)	(5, 0.0005522564646890731)	(6, 0.0009338154766560691)	(7, 0.0019680412196192423)	(8, 0.0026909951370303925)	(9, 0.003685056773470724)	(10, 0.003936082439238485)	(12, 0.00504059536861663)	(14, 0.005838856985758109)	(16, 0.006662221169476363)	(18, 0.008108129004298664)	(20, 0.008821041895079103)	(22, 0.010864390814428674)	(24, 0.01543807844471727)	(26, 0.018525694133660724)	(28, 0.02328012024330211)	(30, 0.04559630193005602)	(32, 0.06613522190317418)	(34, 0.07662809473226656)	(36, 0.082386623504979)	(38, 0.08576542896621304)	(40, 0.09003788579758033)	(42, 0.09657459413417283)	(44, 0.10481827699798607)	(46, 0.12627093039449888)	(48, 0.1408153574690829)	(50, 0.14431967576320087)	(52, 0.1498171378435148)	(54, 0.15464687165288654)	(56, 0.1593812157092665)	(58, 0.1636637135672645)	(60, 0.1668668010624611)	(62, 0.16990421161825103)	(64, 0.17239940673598256)	(66, 0.17455320694826992)	(68, 0.17849430990082377)	(70, 0.1806782331930033)	(72, 0.18249063849984654)	(74, 0.18520673620345368)	(76, 0.1876165825948242)	(78, 0.1899912853929872)	(80, 0.1928831010626318)	(82, 0.19710535276084554)	(84, 0.20567536899015687)	(86, 0.22695230442063224)	(88, 0.24680341406954676)
SRR32684365 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 2.0841472362488224e-05)	(3, 2.0841472362488224e-05)	(4, 2.0841472362488224e-05)	(5, 4.168294472497645e-05)	(6, 0.0003334635577998116)	(7, 0.0011671224522993406)	(8, 0.002323824168417437)	(9, 0.0037618857614291246)	(10, 0.008279274895998449)	(12, 0.018184184636270976)	(14, 0.0630037709518019)	(16, 0.0728305251707151)	(18, 0.07573270019719158)	(20, 0.07747296313945937)	(22, 0.0800104123995923)	(24, 0.08240718172127845)	(26, 0.08499152429422699)	(28, 0.08716945815610701)	(30, 0.08888887962601227)	(32, 0.09076461213863622)	(34, 0.09255697876181021)	(36, 0.09508921765385253)	(38, 0.09797576157605714)	(40, 0.10131560752214588)	(42, 0.10534843242428736)	(44, 0.1098710319269473)	(46, 0.11486777492585386)	(48, 0.12078675307680051)	(50, 0.12846162527428678)	(52, 0.13787155004595025)	(54, 0.14806303003120697)	(56, 0.1589631200767883)	(58, 0.17025398772916633)	(60, 0.18493680500853926)	(62, 0.20763837877937957)	(64, 0.23179364524750343)	(66, 0.2521297119052013)	(68, 0.27310665383804567)	(70, 0.2976943808576912)	(72, 0.32411094707714505)	(74, 0.3554721526145992)	(76, 0.3940705594299274)	(78, 0.43511783924784797)	(80, 0.48028652022545054)	(82, 0.5323433078188555)	(84, 0.5865155048570531)	(86, 0.6463565823778474)	(88, 0.7087403195268652)
SRR32684365 - polya	(1, 0.0012400676055680493)	(2, 0.0016881592613615464)	(3, 0.0021779338618800196)	(4, 0.0030741171734670132)	(5, 0.004032824902141472)	(6, 0.005939819623309145)	(7, 0.010316528819431672)	(8, 0.0199140268423575)	(9, 0.036920668290147896)	(10, 0.04727888005430454)	(12, 0.06169075819296515)	(14, 0.07436758375744862)	(16, 0.08472579552160525)	(18, 0.09280707643016006)	(20, 0.09975770746304989)	(22, 0.10591636254616517)	(24, 0.1137423354182795)	(26, 0.12286047957686808)	(28, 0.13192130968645985)	(30, 0.14217531408880407)	(32, 0.1555086460327059)	(34, 0.17109285699175647)	(36, 0.17973685765409847)	(38, 0.18830270279508113)	(40, 0.19567537364331133)	(42, 0.20409532847775658)	(44, 0.21492768373815985)	(46, 0.22527547476613524)	(48, 0.2318144867198659)	(50, 0.23818155652660605)	(52, 0.24361076007703425)	(54, 0.24914417098927488)	(56, 0.25514651502967145)	(58, 0.2619043624432083)	(60, 0.2684954780778452)	(62, 0.27386736757927654)	(64, 0.27992702566867)	(66, 0.2849654516123015)	(68, 0.2905874387820827)	(70, 0.29633968515412945)	(72, 0.3024774987648823)	(74, 0.3101992642751842)	(76, 0.3175094107063269)	(78, 0.32475182235229155)	(80, 0.3319212888449875)	(82, 0.33956489883393004)	(84, 0.3467656275351697)	(86, 0.35326816691226604)	(88, 0.3611201916248335)
SRR32684365 - polyg	(1, 0.0)	(2, 0.0)	(3, 6.252441708746468e-05)	(4, 0.00021883545980612638)	(5, 0.00044809165579349683)	(6, 0.0007711344774120643)	(7, 0.0017402629422677669)	(8, 0.002500976683498587)	(9, 0.0036264161910729512)	(10, 0.0038921449636946763)	(12, 0.004694541649650473)	(14, 0.005392730973793829)	(16, 0.0062837039172902)	(18, 0.007680082565576911)	(20, 0.00861273845379826)	(22, 0.010858407100856365)	(24, 0.01596456782966598)	(26, 0.019413831505657782)	(28, 0.02512960530107018)	(30, 0.048227167046797755)	(32, 0.07054317357893203)	(34, 0.08110980006671356)	(36, 0.08739350398400375)	(38, 0.09114496900925163)	(40, 0.09600624243780201)	(42, 0.10307150156868553)	(44, 0.11301809425368303)	(46, 0.13619381152076993)	(48, 0.1527679924170387)	(50, 0.15662887517218965)	(52, 0.16243843559323323)	(54, 0.16720592239615242)	(56, 0.17265596741894307)	(58, 0.1770483077193375)	(60, 0.18041941587396995)	(62, 0.18340495678989638)	(64, 0.18547868328996397)	(66, 0.1875419890538503)	(68, 0.1913403473919138)	(70, 0.1935860160389719)	(72, 0.19562326996240512)	(74, 0.19861923161451278)	(76, 0.20045849155050238)	(78, 0.20258432173147617)	(80, 0.2054500241813183)	(82, 0.21018624877569375)	(84, 0.21987232305616017)	(86, 0.24809167663496923)	(88, 0.28139113910213476)
SRR32684366 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 6.636868895159107e-05)	(3, 0.00013273737790318215)	(4, 0.00013273737790318215)	(5, 0.00014601111569350036)	(6, 0.0006238656761449561)	(7, 0.0016857646993704133)	(8, 0.0026945687714345977)	(9, 0.004207774879530874)	(10, 0.009065962910787342)	(12, 0.019359746567179117)	(14, 0.05876283719773874)	(16, 0.06671380613413935)	(18, 0.0691229895430821)	(20, 0.07064283252007354)	(22, 0.07315156896244368)	(24, 0.07580631652050733)	(26, 0.07810931002712754)	(28, 0.08019992372910266)	(30, 0.08207152075753753)	(32, 0.08401612334381914)	(34, 0.08614655825916522)	(36, 0.08891413258844656)	(38, 0.09220601956044548)	(40, 0.0958231131083072)	(42, 0.10026317839916865)	(44, 0.10528728815280408)	(46, 0.11103481661601186)	(48, 0.11812962946493696)	(50, 0.1264987211417326)	(52, 0.1367062255024873)	(54, 0.14773670160624175)	(56, 0.15901937872801222)	(58, 0.1703020558497827)	(60, 0.18664866393855958)	(62, 0.21013654295852766)	(64, 0.23774591756238955)	(66, 0.26023162937918864)	(68, 0.2819740118797298)	(70, 0.30692863892552813)	(72, 0.33546717517471225)	(74, 0.3693550277533947)	(76, 0.4077692249185756)	(78, 0.4484598681147961)	(80, 0.4966568100314415)	(82, 0.553196296149302)	(84, 0.6131736803548549)	(86, 0.6741200474191009)	(88, 0.739904691907918)
