Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR32684363	(1, 3.515248209332562e-05)	(2, 0.00015232742240441102)	(3, 0.00010545744627997687)	(4, 1.171749403110854e-05)	(5, 0.0010662919568308771)	(6, 2.343498806221708e-05)	(7, 8.202245821775978e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.171749403110854e-05)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 6.444621717109697e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.343498806221708e-05)	(78, 2.343498806221708e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684364	(1, 1.004102663071042e-05)	(2, 0.0001606564260913667)	(3, 7.028718641497294e-05)	(4, 0.0)	(5, 0.0010643488228553044)	(6, 0.0)	(7, 5.02051331535521e-05)	(8, 0.0)	(9, 0.0)	(10, 5.02051331535521e-06)	(12, 1.004102663071042e-05)	(14, 1.004102663071042e-05)	(16, 0.0)	(18, 5.02051331535521e-06)	(20, 5.02051331535521e-06)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 4.518461983819689e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.008205326142084e-05)	(78, 1.004102663071042e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684365	(1, 4.168294472497645e-05)	(2, 0.00011462809799368524)	(3, 4.168294472497645e-05)	(4, 3.126220854373234e-05)	(5, 0.0009587077286744584)	(6, 2.0841472362488224e-05)	(7, 3.126220854373234e-05)	(8, 0.0)	(9, 0.0)	(10, 5.210368090622056e-06)	(12, 5.210368090622056e-06)	(14, 0.0)	(16, 0.0)	(18, 5.210368090622056e-06)	(20, 5.210368090622056e-06)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.378662563119701e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.6472576634354394e-05)	(78, 1.0420736181244112e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684366	(1, 3.9821213370954643e-05)	(2, 0.00017255859127413679)	(3, 9.291616453222751e-05)	(4, 1.3273737790318216e-05)	(5, 0.001221183876709276)	(6, 0.0)	(7, 6.636868895159107e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 6.636868895159108e-06)	(14, 6.636868895159108e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.964242674190929e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 4.6458082266113756e-05)	(78, 6.636868895159108e-06)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684367	(1, 0.0)	(2, 0.00010806351000546531)	(3, 0.00012157144875614848)	(4, 0.0)	(5, 0.0010130954063012373)	(6, 1.3507938750683163e-05)	(7, 2.7015877501366327e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 1.3507938750683163e-05)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.104763250409898e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 2.0261908126024745e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684368	(1, 2.3623564174534202e-05)	(2, 0.00011811782087267099)	(3, 8.26824746108697e-05)	(4, 1.1811782087267101e-05)	(5, 0.0009095072207195667)	(6, 2.3623564174534202e-05)	(7, 4.7247128349068404e-05)	(8, 0.0)	(9, 0.0)	(10, 5.9058910436335504e-06)	(12, 5.9058910436335504e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.26824746108697e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.1811782087267101e-05)	(78, 1.771767313090065e-05)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684369	(1, 2.214267098625892e-05)	(2, 8.857068394503568e-05)	(3, 0.00013285602591755352)	(4, 0.0)	(5, 0.0009521348524091337)	(6, 3.321400647938838e-05)	(7, 3.321400647938838e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 5.53566774656473e-06)	(14, 5.53566774656473e-06)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.964201943816515e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.8749674225953115e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684370	(1, 0.0)	(2, 9.738833696754143e-05)	(3, 2.4347084241885358e-05)	(4, 0.0)	(5, 0.0010956187908848412)	(6, 4.8694168483770716e-05)	(7, 4.8694168483770716e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.738833696754143e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.652062636282804e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684371	(1, 4.8289233191121535e-05)	(2, 6.036154148890192e-05)	(3, 7.243384978668231e-05)	(4, 1.2072308297780384e-05)	(5, 0.0011710139048846974)	(6, 2.4144616595560767e-05)	(7, 3.6216924893341154e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.2072308297780384e-05)	(14, 0.0)	(16, 0.0)	(18, 6.036154148890192e-06)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00012072308297780384)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 3.018077074445096e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
SRR32684372	(1, 2.0117886793029793e-05)	(2, 0.00015088415094772345)	(3, 0.00012070732075817877)	(4, 0.0)	(5, 0.0008047154717211918)	(6, 0.0)	(7, 2.0117886793029793e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 1.0058943396514897e-05)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.047154717211917e-05)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 1.5088415094772347e-05)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
