Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR32684363	(1, 33.22677780162939)	(2, 33.404717791186755)	(3, 33.36153460738427)	(4, 33.36976778739029)	(5, 33.4340530061934)	(6, 33.482721148951846)	(7, 33.53109072996238)	(8, 33.53072420674909)	(9, 33.584385642413956)	(10, 33.50330726269028)	(12, 33.47139115244835)	(14, 33.47007305154479)	(16, 33.4744399272203)	(18, 33.480791394859864)	(20, 33.48160564352008)	(22, 33.477039453271104)	(24, 33.46673473749533)	(26, 33.525928236442155)	(28, 33.526256794974785)	(30, 33.5225312177476)	(32, 33.5187893532037)	(34, 33.514758183732184)	(36, 33.50351759170814)	(38, 33.493272517976976)	(40, 33.49558156735075)	(42, 33.48907109331718)	(44, 33.47707202790451)	(46, 33.46533250498462)	(48, 33.47016479952305)	(50, 33.464300076585545)	(52, 33.44923208231118)	(54, 33.432997963030836)	(56, 33.43159994881799)	(58, 33.42558114083397)	(60, 33.41928978393878)	(62, 33.421910284303905)	(64, 33.41573914889748)	(66, 33.403037502542695)	(68, 33.389761581805445)	(70, 33.37480677852342)	(72, 33.36261953015661)	(74, 33.355194505713925)	(76, 33.34024567835385)	(78, 33.339217819777446)	(80, 33.328392847266684)	(82, 33.313982204407466)	(84, 33.29055647316554)	(86, 33.293390934971654)	(88, 33.27473176312664)	(90, 33.27026704637596)	(92, 33.25961525842699)	(94, 33.2349638773094)	(96, 33.23990326974327)	(98, 33.23432480518494)	(100, 33.22901537428957)
SRR32684364	(1, 33.20902575834602)	(2, 33.393807759123)	(3, 33.351297265497095)	(4, 33.36034483295296)	(5, 33.42345971404562)	(6, 33.469712096655726)	(7, 33.51976018815277)	(8, 33.52059218761939)	(9, 33.57954646891735)	(10, 33.497616511303534)	(12, 33.4645713922516)	(14, 33.46141318814544)	(16, 33.46587853309839)	(18, 33.47158334237862)	(20, 33.47274679613433)	(22, 33.46767035430064)	(24, 33.456549114024995)	(26, 33.5165313956294)	(28, 33.519258136821236)	(30, 33.51877215113231)	(32, 33.516360497356146)	(34, 33.51286591885786)	(36, 33.503030934093616)	(38, 33.49593875616381)	(40, 33.498619308633145)	(42, 33.49213079722438)	(44, 33.48070963148328)	(46, 33.47075144332227)	(48, 33.47382058352221)	(50, 33.47143071877384)	(52, 33.45560967557343)	(54, 33.436218946995524)	(56, 33.43507718185735)	(58, 33.43058241669638)	(60, 33.42773709098003)	(62, 33.42890074555627)	(64, 33.42352247046206)	(66, 33.41364752241182)	(68, 33.40339302355494)	(70, 33.38757700086785)	(72, 33.37744460089479)	(74, 33.3696407149974)	(76, 33.35295493858356)	(78, 33.35149025402893)	(80, 33.34301994519407)	(82, 33.32956567238078)	(84, 33.30919453796266)	(86, 33.31016691098158)	(88, 33.28949635314933)	(90, 33.287103275272436)	(92, 33.27728184589414)	(94, 33.25510222216956)	(96, 33.260040499476816)	(98, 33.25299973160335)	(100, 33.24579981345781)
SRR32684365	(1, 33.22171981537373)	(2, 33.3974715750974)	(3, 33.35433952279906)	(4, 33.364162733967675)	(5, 33.42131922143346)	(6, 33.46915665294707)	(7, 33.518512385722296)	(8, 33.51867870067175)	(9, 33.57699001412114)	(10, 33.492249942190966)	(12, 33.4610787066741)	(14, 33.45780680392791)	(16, 33.463764130388)	(18, 33.466119425179684)	(20, 33.46703936776977)	(22, 33.46302998952403)	(24, 33.45274201352174)	(26, 33.51380773595855)	(28, 33.51383482987262)	(30, 33.51216709525418)	(32, 33.50788417268369)	(34, 33.50753445277744)	(36, 33.49847320583841)	(38, 33.49269761701731)	(40, 33.49211655676784)	(42, 33.48566560003485)	(44, 33.476076855430314)	(46, 33.46948407247789)	(48, 33.47255662654093)	(50, 33.46647539752764)	(52, 33.45061534968187)	(54, 33.43351836045139)	(56, 33.43304786421281)	(58, 33.42753967148212)	(60, 33.41745594190898)	(62, 33.41392289551409)	(64, 33.40920251043871)	(66, 33.40212005709313)	(68, 33.39281308919494)	(70, 33.37751065494223)	(72, 33.36680063912459)	(74, 33.35576080700682)	(76, 33.3378616295051)	(78, 33.33556229406672)	(80, 33.32898305807132)	(82, 33.31938733157355)	(84, 33.29621432369787)	(86, 33.29255174755225)	(88, 33.26681732272321)	(90, 33.25563785274062)	(92, 33.25622995897044)	(94, 33.23785580431358)	(96, 33.24566176937223)	(98, 33.23679278501574)	(100, 33.22370204781013)
SRR32684366	(1, 33.18628244151292)	(2, 33.37551417482548)	(3, 33.339765609683354)	(4, 33.342327706551636)	(5, 33.4069623143983)	(6, 33.4584766288635)	(7, 33.508629323306174)	(8, 33.50911381473552)	(9, 33.56514358932223)	(10, 33.48126896402326)	(12, 33.450554463938104)	(14, 33.44978033955017)	(16, 33.456099833374765)	(18, 33.46155361402067)	(20, 33.460978861174354)	(22, 33.453646846631116)	(24, 33.44244089171377)	(26, 33.506511365704355)	(28, 33.508089214915486)	(30, 33.50620514057353)	(32, 33.501688618553)	(34, 33.49602604201165)	(36, 33.483070608453545)	(38, 33.47740590811414)	(40, 33.47849037249161)	(42, 33.472560462871165)	(44, 33.460102263530686)	(46, 33.445996395118286)	(48, 33.450367702447394)	(50, 33.44677649268823)	(52, 33.43462173099363)	(54, 33.417719218766194)	(56, 33.41136003646561)	(58, 33.404588439131885)	(60, 33.401550213289056)	(62, 33.402236200058056)	(64, 33.39766445928832)	(66, 33.38252669050011)	(68, 33.36966828796525)	(70, 33.34954861990957)	(72, 33.34300307433041)	(74, 33.33597980692817)	(76, 33.31845103975179)	(78, 33.313818770737726)	(80, 33.3028547960603)	(82, 33.2919237402526)	(84, 33.27436470895405)	(86, 33.271904554391995)	(88, 33.25077648047639)	(90, 33.243410485164404)	(92, 33.23274755886007)	(94, 33.211862128871275)	(96, 33.22008892607895)	(98, 33.211670987047086)	(100, 33.203115133879585)
SRR32684367	(1, 33.197369626102954)	(2, 33.382745013071634)	(3, 33.34078314166018)	(4, 33.34831922068919)	(5, 33.40950153814899)	(6, 33.45574812773215)	(7, 33.51165370399838)	(8, 33.51150673762477)	(9, 33.5684772797821)	(10, 33.4864219550472)	(12, 33.45508623873337)	(14, 33.453591450231215)	(16, 33.45895261604198)	(18, 33.46591582338856)	(20, 33.46606900341399)	(22, 33.45872000933669)	(24, 33.448995914388846)	(26, 33.50987903100531)	(28, 33.51025320090871)	(30, 33.50657147712282)	(32, 33.50045170547182)	(34, 33.49366302069389)	(36, 33.4763027528909)	(38, 33.46822203377147)	(40, 33.4680800653352)	(42, 33.46265460173599)	(44, 33.44947328494429)	(46, 33.43718754449177)	(48, 33.44385776464686)	(50, 33.4352896790973)	(52, 33.41729494341119)	(54, 33.40186631084955)	(56, 33.399233883745815)	(58, 33.39762454792306)	(60, 33.39303414509742)	(62, 33.39302522985784)	(64, 33.38438460667719)	(66, 33.37019086987614)	(68, 33.3546345872933)	(70, 33.33556705111161)	(72, 33.325303584169454)	(74, 33.31644818476266)	(76, 33.29999551536434)	(78, 33.29974197135398)	(80, 33.28843042344416)	(82, 33.27057265825698)	(84, 33.248427608389726)	(86, 33.25205638105571)	(88, 33.22992092182497)	(90, 33.226899601164604)	(92, 33.212192562691015)	(94, 33.18532986521508)	(96, 33.19237357987663)	(98, 33.181147267060325)	(100, 33.17297617983065)
SRR32684368	(1, 33.21745030163157)	(2, 33.39471609377752)	(3, 33.34528165962153)	(4, 33.34966288583334)	(5, 33.40354610959468)	(6, 33.452846361906154)	(7, 33.50716898396114)	(8, 33.505484860071135)	(9, 33.56717260072881)	(10, 33.48306633390514)	(12, 33.45080434101891)	(14, 33.450043544134665)	(16, 33.454328622440286)	(18, 33.46140364367491)	(20, 33.46165818757889)	(22, 33.45526777723404)	(24, 33.44152583183589)	(26, 33.50273932944277)	(28, 33.50381644585131)	(30, 33.50301785126439)	(32, 33.49364472970686)	(34, 33.488509203090956)	(36, 33.47410863272362)	(38, 33.46675284542877)	(40, 33.46670618888953)	(42, 33.45839033994663)	(44, 33.44804251013126)	(46, 33.43508321341422)	(48, 33.439585982863704)	(50, 33.435509264394106)	(52, 33.420604094696)	(54, 33.40304753427277)	(56, 33.400224872707376)	(58, 33.394712904596354)	(60, 33.38957147208941)	(62, 33.38932425149032)	(64, 33.381348227518075)	(66, 33.36548299617192)	(68, 33.35025123069911)	(70, 33.33429091450715)	(72, 33.32577509209351)	(74, 33.31684491236426)	(76, 33.29995559951114)	(78, 33.30014187131465)	(80, 33.28894394754246)	(82, 33.270796089307936)	(84, 33.25465836014904)	(86, 33.254676314057804)	(88, 33.23104790705261)	(90, 33.224141558066194)	(92, 33.21574007370316)	(94, 33.192895260321635)	(96, 33.19213481779086)	(98, 33.18114265526263)	(100, 33.1784081095916)
SRR32684369	(1, 33.189120552893634)	(2, 33.37570178427857)	(3, 33.33633521523894)	(4, 33.342672004821786)	(5, 33.4039954678381)	(6, 33.45134159122105)	(7, 33.50388327092421)	(8, 33.50149031247073)	(9, 33.56093784840109)	(10, 33.477754808447074)	(12, 33.44521150347186)	(14, 33.44457014100674)	(16, 33.44805218673269)	(18, 33.45452238590823)	(20, 33.45632391361967)	(22, 33.45097966926378)	(24, 33.438407614244554)	(26, 33.50008790640382)	(28, 33.50148854105706)	(30, 33.500856146373685)	(32, 33.49520201533734)	(34, 33.492172455093)	(36, 33.47881234241338)	(38, 33.47252061316598)	(40, 33.47214961271361)	(42, 33.46623652314008)	(44, 33.454937228849154)	(46, 33.44302580041881)	(48, 33.44503867992481)	(50, 33.44220153949134)	(52, 33.425862905424)	(54, 33.40890128730847)	(56, 33.40585943788172)	(58, 33.402014030924896)	(60, 33.3984139647626)	(62, 33.40119929134596)	(64, 33.39570226256026)	(66, 33.3821145232229)	(68, 33.37141474174892)	(70, 33.349811244801174)	(72, 33.34183268687805)	(74, 33.33317302039539)	(76, 33.31652616034792)	(78, 33.31606869276535)	(80, 33.30685291310087)	(82, 33.29107803143684)	(84, 33.26920981885745)	(86, 33.270626396233794)	(88, 33.25263226537017)	(90, 33.24926480796658)	(92, 33.238817785081906)	(94, 33.21394979415066)	(96, 33.21798175311055)	(98, 33.21139231565175)	(100, 33.204447266896906)
SRR32684370	(1, 33.209956594018216)	(2, 33.39191306727489)	(3, 33.3435212895774)	(4, 33.3511424138868)	(5, 33.416816725862546)	(6, 33.46961483886613)	(7, 33.51845119432187)	(8, 33.51450453196626)	(9, 33.572555284924185)	(10, 33.49261382505354)	(12, 33.46474444813438)	(14, 33.46235161669509)	(16, 33.468751978200594)	(18, 33.47355322321309)	(20, 33.47423883710535)	(22, 33.466692458344575)	(24, 33.45740769776893)	(26, 33.51501679461871)	(28, 33.51549229317395)	(30, 33.51228286052919)	(32, 33.504288495418365)	(34, 33.50047452467187)	(36, 33.484625303242936)	(38, 33.4769654670696)	(40, 33.47564682898705)	(42, 33.470255897594214)	(44, 33.455111767724915)	(46, 33.44416069270376)	(48, 33.45032659178802)	(50, 33.442427910718266)	(52, 33.42471759816988)	(54, 33.408080018153186)	(56, 33.40496529566612)	(58, 33.40201808111864)	(60, 33.3920187336205)	(62, 33.391872164173364)	(64, 33.384644975687)	(66, 33.366974348885925)	(68, 33.355246601877454)	(70, 33.33029011011699)	(72, 33.319307870828005)	(74, 33.309708789394804)	(76, 33.29335850497216)	(78, 33.297947930351754)	(80, 33.28519736233429)	(82, 33.264956900791475)	(84, 33.24082674907019)	(86, 33.2429218156692)	(88, 33.2284732819967)	(90, 33.22461110402341)	(92, 33.21129251853057)	(94, 33.188027418712394)	(96, 33.1864324412237)	(98, 33.1768172907149)	(100, 33.169677264790124)
SRR32684371	(1, 33.19896612751738)	(2, 33.379138326922934)	(3, 33.332855752817075)	(4, 33.34023145029469)	(5, 33.40069681363495)	(6, 33.44768706645323)	(7, 33.50078566582402)	(8, 33.500454643130496)	(9, 33.56064065325675)	(10, 33.47362152347702)	(12, 33.44131614719524)	(14, 33.43827670213511)	(16, 33.44250611462415)	(18, 33.44750151507469)	(20, 33.450881037059574)	(22, 33.443615439033636)	(24, 33.43242440924159)	(26, 33.4951837526046)	(28, 33.4959929594298)	(30, 33.49776927887274)	(32, 33.49190708668642)	(34, 33.48815923857537)	(36, 33.4758960670834)	(38, 33.46890342394808)	(40, 33.471452008952824)	(42, 33.46438524184455)	(44, 33.455767303843096)	(46, 33.443061802975095)	(48, 33.44758119230946)	(50, 33.44102677396534)	(52, 33.4248897194637)	(54, 33.41012178544611)	(56, 33.40755714427133)	(58, 33.40288528168317)	(60, 33.399274092102054)	(62, 33.39396118994328)	(64, 33.38680037955338)	(66, 33.37222342945305)	(68, 33.36017683517194)	(70, 33.34518677068168)	(72, 33.33471826854125)	(74, 33.32537647493427)	(76, 33.307125559249684)	(78, 33.307470223651585)	(80, 33.29919924379061)	(82, 33.2836271733173)	(84, 33.26127589811938)	(86, 33.26295998512691)	(88, 33.24299214575622)	(90, 33.242491386408034)	(92, 33.22763109923196)	(94, 33.20200183016194)	(96, 33.20353223668485)	(98, 33.193532743721796)	(100, 33.18944228350126)
SRR32684372	(1, 33.2173278980168)	(2, 33.394475950172826)	(3, 33.349326181558695)	(4, 33.35457855944262)	(5, 33.41746345233801)	(6, 33.46076961780642)	(7, 33.51237380804036)	(8, 33.508161323724764)	(9, 33.567491184844954)	(10, 33.48255437210969)	(12, 33.4504441124099)	(14, 33.44658721174338)	(16, 33.45084707368237)	(18, 33.457857855461434)	(20, 33.457129085012355)	(22, 33.45038114342424)	(24, 33.43905919909486)	(26, 33.501440038336646)	(28, 33.504560724935985)	(30, 33.50242571420007)	(32, 33.493892008390766)	(34, 33.48996187861631)	(36, 33.4752159705442)	(38, 33.46714004724887)	(40, 33.46886545780967)	(42, 33.46281651219818)	(44, 33.45094937313671)	(46, 33.43732674727367)	(48, 33.44145886063153)	(50, 33.43763847392953)	(52, 33.42420847683255)	(54, 33.40419701366065)	(56, 33.399842295885435)	(58, 33.39766554053442)	(60, 33.39355374624223)	(62, 33.38880854028436)	(64, 33.38180399505019)	(66, 33.36804044339018)	(68, 33.3509976761829)	(70, 33.33271172416124)	(72, 33.325652659453866)	(74, 33.320112294020504)	(76, 33.30065014974749)	(78, 33.29620198438812)	(80, 33.287353936597675)	(82, 33.2713509623693)	(84, 33.2538393478103)	(86, 33.25586602372583)	(88, 33.232214731885904)	(90, 33.229165564374114)	(92, 33.21653404620395)	(94, 33.19425238009689)	(96, 33.19437872042595)	(98, 33.18370618148225)	(100, 33.17426173893783)
