Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
SRR32684363	(17.0, 1.0)	(18.0, 3.0)	(19.0, 39.0)	(20.0, 210.0)	(21.0, 916.0)	(22.0, 2561.0)	(23.0, 5440.0)	(24.0, 9572.0)	(25.0, 14407.0)	(26.0, 22353.0)	(27.0, 35571.0)	(28.0, 55946.0)	(29.0, 88533.0)	(30.0, 140731.0)	(31.0, 243243.0)	(32.0, 531821.0)	(33.0, 5732784.0)	(34.0, 1650117.0)
SRR32684364	(18.0, 2.0)	(19.0, 43.0)	(20.0, 207.0)	(21.0, 902.0)	(22.0, 2465.0)	(23.0, 5363.0)	(24.0, 9264.0)	(25.0, 15038.0)	(26.0, 23838.0)	(27.0, 39181.0)	(28.0, 63473.0)	(29.0, 101484.0)	(30.0, 162992.0)	(31.0, 284981.0)	(32.0, 635674.0)	(33.0, 6764807.0)	(34.0, 1849427.0)	
SRR32684365	(18.0, 2.0)	(19.0, 30.0)	(20.0, 212.0)	(21.0, 847.0)	(22.0, 2399.0)	(23.0, 4853.0)	(24.0, 8882.0)	(25.0, 14483.0)	(26.0, 23171.0)	(27.0, 38241.0)	(28.0, 63032.0)	(29.0, 100814.0)	(30.0, 159062.0)	(31.0, 273797.0)	(32.0, 614505.0)	(33.0, 6623186.0)	(34.0, 1668735.0)	
SRR32684366	(18.0, 2.0)	(19.0, 31.0)	(20.0, 198.0)	(21.0, 808.0)	(22.0, 2422.0)	(23.0, 4956.0)	(24.0, 8200.0)	(25.0, 12715.0)	(26.0, 19245.0)	(27.0, 31190.0)	(28.0, 49797.0)	(29.0, 81018.0)	(30.0, 127321.0)	(31.0, 221831.0)	(32.0, 502330.0)	(33.0, 5144800.0)	(34.0, 1326809.0)	
SRR32684367	(18.0, 4.0)	(19.0, 33.0)	(20.0, 206.0)	(21.0, 1080.0)	(22.0, 2906.0)	(23.0, 5706.0)	(24.0, 9376.0)	(25.0, 14238.0)	(26.0, 20945.0)	(27.0, 32351.0)	(28.0, 50287.0)	(29.0, 80221.0)	(30.0, 127385.0)	(31.0, 220485.0)	(32.0, 490571.0)	(33.0, 5015574.0)	(34.0, 1331686.0)	
SRR32684368	(17.0, 1.0)	(18.0, 3.0)	(19.0, 54.0)	(20.0, 262.0)	(21.0, 1132.0)	(22.0, 3261.0)	(23.0, 6569.0)	(24.0, 10885.0)	(25.0, 16135.0)	(26.0, 24215.0)	(27.0, 37463.0)	(28.0, 60774.0)	(29.0, 91909.0)	(30.0, 143987.0)	(31.0, 249907.0)	(32.0, 555342.0)	(33.0, 5757951.0)	(34.0, 1506273.0)
SRR32684369	(17.0, 1.0)	(18.0, 9.0)	(19.0, 47.0)	(20.0, 264.0)	(21.0, 1168.0)	(22.0, 3095.0)	(23.0, 6268.0)	(24.0, 10523.0)	(25.0, 15963.0)	(26.0, 24209.0)	(27.0, 37885.0)	(28.0, 59992.0)	(29.0, 96707.0)	(30.0, 154805.0)	(31.0, 266559.0)	(32.0, 599937.0)	(33.0, 6154505.0)	(34.0, 1600397.0)
SRR32684370	(18.0, 2.0)	(19.0, 21.0)	(20.0, 134.0)	(21.0, 613.0)	(22.0, 1642.0)	(23.0, 3407.0)	(24.0, 5409.0)	(25.0, 8046.0)	(26.0, 11735.0)	(27.0, 17932.0)	(28.0, 28136.0)	(29.0, 45675.0)	(30.0, 71082.0)	(31.0, 121029.0)	(32.0, 265646.0)	(33.0, 2771984.0)	(34.0, 754775.0)	
SRR32684371	(17.0, 1.0)	(18.0, 5.0)	(19.0, 43.0)	(20.0, 213.0)	(21.0, 915.0)	(22.0, 2665.0)	(23.0, 5272.0)	(24.0, 9095.0)	(25.0, 13724.0)	(26.0, 21591.0)	(27.0, 35545.0)	(28.0, 58373.0)	(29.0, 88482.0)	(30.0, 141083.0)	(31.0, 247151.0)	(32.0, 556507.0)	(33.0, 5709386.0)	(34.0, 1393369.0)
SRR32684372	(18.0, 6.0)	(19.0, 63.0)	(20.0, 273.0)	(21.0, 1259.0)	(22.0, 3619.0)	(23.0, 7422.0)	(24.0, 12141.0)	(25.0, 18257.0)	(26.0, 27224.0)	(27.0, 44614.0)	(28.0, 70293.0)	(29.0, 106657.0)	(30.0, 168373.0)	(31.0, 292770.0)	(32.0, 656375.0)	(33.0, 6819100.0)	(34.0, 1712956.0)	
