Sample	Unique Reads	Duplicate Reads
SRR32684363	4548418.0	3985830.0
SRR32684364	5256328.0	4702813.0
SRR32684365	5067769.0	4528482.0
SRR32684366	3977188.0	3556485.0
SRR32684367	3980960.0	3422094.0
SRR32684368	4507186.0	3958937.0
SRR32684369	4719356.0	4312978.0
SRR32684370	2302066.0	1805202.0
SRR32684371	4525454.0	3757966.0
SRR32684372	5082861.0	4858541.0
SRR32684373	3783102.0	3454847.0
SRR32684374	4216477.0	3705239.0
SRR32684375	4271127.0	3668019.0
SRR32684376	4156257.0	3516052.0
SRR32684377	4419578.0	3891087.0
SRR32684378	3318668.0	3035680.0
SRR32684379	3594894.0	3135932.0
SRR32684380	4346781.0	3367535.0
SRR32684381	4466709.0	3676836.0
SRR32684382	4208770.0	3465053.0
