Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32684363	(1.0, 33.761611046282525)	(2.0, 22.370980815355534)	(3.0, 13.361577206138131)	(4.0, 7.510313134981732)	(5.0, 4.233712162237862)	(6.0, 2.366473095470816)	(7.0, 1.3786308080278968)	(8.0, 0.955995690129175)	(9.0, 0.6683169342128196)	('>10', 6.021942832818518)	('>50', 1.7202403945597862)	('>100', 3.3723264408756304)	('>500', 1.206143516294132)	('>1k', 0.8041101829895637)	('>5k', 0.2676257396258221)	('>10k+', 0.0)
SRR32684364	(1.0, 32.905792663761204)	(2.0, 22.61007255499147)	(3.0, 13.656541344137896)	(4.0, 7.838544629808656)	(5.0, 4.263382800470676)	(6.0, 2.468467222376532)	(7.0, 1.5029087707829736)	(8.0, 0.971591529606764)	(9.0, 0.7006568519850984)	('>10', 5.8992978194305286)	('>50', 1.6530270480737126)	('>100', 3.2265012104782587)	('>500', 1.0558437631985713)	('>1k', 0.9933055154369859)	('>5k', 0.25406627546073063)	('>10k+', 0.0)
SRR32684365	(1.0, 32.8379534884863)	(2.0, 22.60772351486484)	(3.0, 13.8276446743934)	(4.0, 7.789676945250027)	(5.0, 4.418103175165442)	(6.0, 2.56539180281714)	(7.0, 1.5802658578378266)	(8.0, 1.002653731035258)	(9.0, 0.7003996386820591)	('>10', 5.825857764384137)	('>50', 1.6319484602607532)	('>100', 3.1398452801423495)	('>500', 0.9930160709356977)	('>1k', 0.8958915703071862)	('>5k', 0.18362802543756146)	('>10k+', 0.0)
SRR32684366	(1.0, 33.075040185583276)	(2.0, 22.47489743568841)	(3.0, 13.655803390231739)	(4.0, 7.5564295218020385)	(5.0, 4.317562881771541)	(6.0, 2.3307744838702766)	(7.0, 1.4869603606057327)	(8.0, 0.9665969385191573)	(9.0, 0.6623195261941246)	('>10', 5.982486276572522)	('>50', 1.7816336827847126)	('>100', 3.422998220736298)	('>500', 1.0941890248312909)	('>1k', 0.9677790972377105)	('>5k', 0.2245289735712151)	('>10k+', 0.0)
SRR32684367	(1.0, 34.345784222525324)	(2.0, 22.501931677765715)	(3.0, 13.301389242352911)	(4.0, 7.152280339474169)	(5.0, 3.9733861629932345)	(6.0, 2.250260663436514)	(7.0, 1.34503536271225)	(8.0, 0.9559289412739771)	(9.0, 0.7272182879191529)	('>10', 6.2105968888936145)	('>50', 1.8928413397926416)	('>100', 3.3347289104557136)	('>500', 1.102259991040426)	('>1k', 0.8016571160463442)	('>5k', 0.104700853318112)	('>10k+', 0.0)
SRR32684368	(1.0, 34.111567934671974)	(2.0, 22.190054458798755)	(3.0, 12.79181942989068)	(4.0, 7.025053425826202)	(5.0, 3.911380822792455)	(6.0, 2.3126814174203)	(7.0, 1.4636434400113558)	(8.0, 0.992589209253347)	(9.0, 0.731528325514162)	('>10', 6.78344630698586)	('>50', 1.9818225367520086)	('>100', 3.569293917107298)	('>500', 1.1779853661144366)	('>1k', 0.8588514636895525)	('>5k', 0.09828194517155728)	('>10k+', 0.0)
SRR32684369	(1.0, 32.86270237103304)	(2.0, 22.082698697090596)	(3.0, 13.180066922748884)	(4.0, 7.360119401434869)	(5.0, 4.2594699397645215)	(6.0, 2.433874822929973)	(7.0, 1.4961344412832407)	(8.0, 1.031677128109831)	(9.0, 0.7318056424994741)	('>10', 6.813575816125371)	('>50', 1.9549882163122982)	('>100', 3.5466491702073903)	('>500', 1.09520620115963)	('>1k', 0.9668045803656912)	('>5k', 0.18422664893526472)	('>10k+', 0.0)
SRR32684370	(1.0, 36.80074637329561)	(2.0, 22.87912150804989)	(3.0, 12.81972319190085)	(4.0, 6.787362413455451)	(5.0, 3.70131524202696)	(6.0, 2.0849905217738884)	(7.0, 1.2432504732162353)	(8.0, 0.8580915423602606)	(9.0, 0.6325884383779422)	('>10', 6.304505394065771)	('>50', 1.74741327846262)	('>100', 3.0926783946427614)	('>500', 0.5735932030189087)	('>1k', 0.47462002535277475)	('>5k', 0.0)	('>10k+', 0.0)
SRR32684371	(1.0, 34.960391985823854)	(2.0, 22.89679087281468)	(3.0, 13.390383910936462)	(4.0, 7.169577673130539)	(5.0, 3.9656128036080123)	(6.0, 2.21541437228183)	(7.0, 1.4088382995881652)	(8.0, 0.9619176017450859)	(9.0, 0.755698252221916)	('>10', 6.366199281499924)	('>50', 1.6829634996261227)	('>100', 2.891051086136331)	('>500', 0.7201324052123239)	('>1k', 0.538631525447656)	('>5k', 0.0763964299271087)	('>10k+', 0.0)
SRR32684372	(1.0, 31.076875293105633)	(2.0, 22.041507238450283)	(3.0, 13.99832457333972)	(4.0, 8.177513229985795)	(5.0, 4.568475680664107)	(6.0, 2.7963599446189686)	(7.0, 1.7690279633700623)	(8.0, 1.1650641372541026)	(9.0, 0.8301226230823802)	('>10', 7.125333433832531)	('>50', 1.9148526178944234)	('>100', 2.997115609252248)	('>500', 0.7955804375385382)	('>1k', 0.6687823528671935)	('>5k', 0.07506486474403418)	('>10k+', 0.0)
SRR32684373	(1.0, 32.92597459702421)	(2.0, 22.136076672734788)	(3.0, 13.214319050374144)	(4.0, 7.32361198862201)	(5.0, 4.118746058774415)	(6.0, 2.3287789981911358)	(7.0, 1.4452873831491555)	(8.0, 1.0400697800924505)	(9.0, 0.7407707136736291)	('>10', 6.362874350770459)	('>50', 1.9008260746886492)	('>100', 3.780799567267137)	('>500', 1.2613530508443056)	('>1k', 1.1106385783153456)	('>5k', 0.3098731354780731)	('>10k+', 0.0)
SRR32684374	(1.0, 33.58868059555537)	(2.0, 22.542156871862638)	(3.0, 13.465265692150155)	(4.0, 7.497801153389721)	(5.0, 4.146449962839657)	(6.0, 2.3392607300492676)	(7.0, 1.467738897991591)	(8.0, 0.9780837246667425)	(9.0, 0.6796081741952322)	('>10', 5.910381707272461)	('>50', 1.7319796431623409)	('>100', 3.3544484288232512)	('>500', 1.2050686077903037)	('>1k', 0.9045667736280463)	('>5k', 0.18850903662335003)	('>10k+', 0.0)
SRR32684375	(1.0, 34.225588296779165)	(2.0, 22.593843590884575)	(3.0, 13.513831719983571)	(4.0, 7.37260620225267)	(5.0, 3.94845110263072)	(6.0, 2.22651631734326)	(7.0, 1.4463699368196852)	(8.0, 0.8847829625315761)	(9.0, 0.6536104900272742)	('>10', 5.914801145932241)	('>50', 1.752285694923978)	('>100', 3.2551278956842116)	('>500', 1.1106109995720201)	('>1k', 0.8333885999141107)	('>5k', 0.26818504472089927)	('>10k+', 0.0)
SRR32684376	(1.0, 34.42040076919521)	(2.0, 22.92513115547447)	(3.0, 13.434093823499445)	(4.0, 7.417297595710423)	(5.0, 4.101061964360021)	(6.0, 2.2980559990689806)	(7.0, 1.395753289547784)	(8.0, 0.9224840050766734)	(9.0, 0.7106343924852969)	('>10', 5.643990230594638)	('>50', 1.5998524822491127)	('>100', 3.0646384017036605)	('>500', 1.0191450768953607)	('>1k', 0.8438089698530459)	('>5k', 0.20365184428570568)	('>10k+', 0.0)
