Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR32684363	46.70394323366519	51.0	100.0	100	9.090909090909092	8.534248
SRR32684364	47.22108018803273	51.0	100.0	100	9.090909090909092	9.959140999999999
SRR32684365	47.19012557661739	51.0	100.0	100	0.0	9.596250999999999
SRR32684366	47.207856447470206	51.0	100.0	100	9.090909090909092	7.533672999999999
SRR32684367	46.22544383789795	52.0	100.0	100	9.090909090909092	7.403054
SRR32684368	46.7621042471285	52.0	100.0	100	9.090909090909092	8.466123
SRR32684369	47.750427177816135	51.0	100.0	100	9.090909090909092	9.032333999999999
SRR32684370	43.9514166394529	52.0	100.0	100	9.090909090909092	4.1072679999999995
SRR32684371	45.367324718390456	51.0	100.0	100	0.0	8.28342
SRR32684372	48.871795218901894	51.0	100.0	100	0.0	9.941402
SRR32684373	47.73240773707612	53.0	100.0	100	9.090909090909092	7.2379489999999995
SRR32684374	46.7731879487912	52.0	100.0	100	9.090909090909092	7.921716
SRR32684375	46.20168602824791	52.0	100.0	100	9.090909090909092	7.939146
SRR32684376	45.82782653622415	52.0	100.0	100	9.090909090909092	7.672308999999999
SRR32684377	46.820414221153506	52.0	100.0	100	9.090909090909092	8.310665
SRR32684378	47.77328056018013	53.0	100.0	100	9.090909090909092	6.354348
SRR32684379	46.59060298541293	52.0	100.0	100	9.090909090909092	6.7308259999999995
SRR32684380	43.65306985971223	51.0	100.0	100	0.0	7.714315999999999
SRR32684381	45.15032161967749	52.0	100.0	100	9.090909090909092	8.143545
SRR32684382	45.15420451629336	52.0	100.0	100	9.090909090909092	7.673823
