.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR1039508_pass_1P	1	1	0.5	1	1	1	1	0.5	0.25	1	1
SRR1039508_pass_2P	1	1	0.25	1	1	1	0.5	0.5	0.5	1	1
SRR1039509_pass_1P	1	1	0.5	1	1	1	1	0.5	0.5	1	1
SRR1039509_pass_2P	1	1	0.25	1	1	1	0.5	0.5	0.5	1	1
SRR1039510_pass_1P	1	1	0.5	1	1	1	1	0.5	0.5	1	1
SRR1039510_pass_2P	1	1	0.25	1	1	1	0.5	0.5	0.5	1	1
SRR1039511_pass_1P	1	1	0.5	1	1	1	1	0.5	0.5	1	1
SRR1039511_pass_2P	1	1	0.25	1	1	1	0.5	0.5	0.5	1	1
SRR1039512_pass_1P	1	1	1	1	1	1	1	0.5	0.25	1	1
SRR1039512_pass_2P	1	1	0.5	1	1	1	1	0.5	0.25	1	1
SRR1039513_pass_1P	1	1	0	1	1	1	1	0.5	0.5	1	1
SRR1039513_pass_2P	1	1	0	1	1	1	1	0.5	0.5	1	1
SRR1039514_pass_1P	1	1	1	1	1	1	1	0.5	0.25	1	1
SRR1039514_pass_2P	1	1	1	1	1	1	1	0.5	0.25	1	1
SRR1039515_pass_1P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039515_pass_2P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039516_pass_1P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039516_pass_2P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039517_pass_1P	1	1	0.25	1	1	1	1	0.5	0.25	1	1
SRR1039517_pass_2P	1	1	0.25	1	1	1	1	0.5	0.25	1	1
SRR1039518_pass_1P	1	1	0.25	1	1	1	1	0.5	0.25	1	1
SRR1039518_pass_2P	1	1	0.25	1	1	1	1	0.5	0.25	1	1
SRR1039519_pass_1P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039519_pass_2P	1	1	0	1	1	1	1	0.5	0.5	1	1
SRR1039520_pass_1P	1	1	0	1	1	1	1	0.5	0.5	1	1
SRR1039520_pass_2P	1	1	0	1	1	1	1	0.5	0.5	1	1
SRR1039521_pass_1P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039521_pass_2P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039522_pass_1P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039522_pass_2P	1	1	0	1	1	1	1	0.5	0.25	1	1
SRR1039523_pass_1P	1	1	1	1	1	1	1	0.5	0.25	1	1
SRR1039523_pass_2P	1	1	0.5	1	1	1	1	0.5	0.25	1	1
