Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR1039508_pass_1P - polya	(1, 0.014905118711916764)	(2, 0.018303222359346387)	(3, 0.023597941996039058)	(4, 0.028541436449534868)	(5, 0.03136440885947964)	(6, 0.034437629212452164)	(7, 0.037177185641387674)	(8, 0.04042162827116867)	(9, 0.04989592758790398)	(10, 0.052898902904237134)	(11, 0.05609505207132857)	(12, 0.059076075813711916)	(13, 0.06160489713272931)	(14, 0.06484494944772035)	(15, 0.06801475672607202)	(16, 0.0709474870057658)	(17, 0.07377484973050052)	(18, 0.07647489332632638)	(19, 0.07942518486518002)	(20, 0.08197595775814721)	(21, 0.0849306396117908)	(22, 0.08820142413031157)	(23, 0.09098927402193664)	(24, 0.09401420091221961)	(25, 0.09688546678485394)	(26, 0.10059528278237077)	(27, 0.10396265422627068)	(28, 0.10848906877472021)	(29, 0.11190473368130968)	(30, 0.11535552110621884)	(31, 0.11853410901415043)	(32, 0.1218707482545206)	(33, 0.12589666691691462)	(34, 0.1294001381193033)	(35, 0.13285092554421243)	(36, 0.13598121998945448)	(37, 0.1391115144346965)	(38, 0.14253595997086588)	(39, 0.14611845683947386)	(40, 0.14965266024539225)	(41, 0.15447322588476917)	(42, 0.15959672324465338)	(43, 0.16411874747831295)	(44, 0.1677012443469209)	(45, 0.17223643952495038)	(46, 0.17578820419002864)	(47, 0.17944094609527597)	(48, 0.1823341635418601)	(49, 0.18610983426122638)	(50, 0.1895957442044552)	(51, 0.19262945172431808)	(52, 0.1961943873337662)
SRR1039508_pass_2P - illumina_universal_adapter	(1, 1.756125915984302e-05)	(2, 3.073220352972528e-05)	(3, 4.390314789960755e-05)	(4, 5.7074092269489815e-05)	(5, 6.585472184941132e-05)	(6, 7.463535142933284e-05)	(7, 9.219661058917586e-05)	(8, 0.00010975786974901887)	(9, 0.00012292881411890113)	(10, 0.00015366101764862643)	(11, 0.0001756125915984302)	(12, 0.00020195448033819474)	(13, 0.0002239060542879985)	(14, 0.00023268668386792002)	(15, 0.0002721995169775668)	(16, 0.0003117123500872136)	(17, 0.00034683486840689963)	(18, 0.0003731767571466642)	(19, 0.0003995186458864287)	(20, 0.00042147021983623246)	(21, 0.00044342179378603625)	(22, 0.00047415399731576155)	(23, 0.0005180571452153691)	(24, 0.000680498792443917)	(25, 0.004355192271641069)	(26, 0.008100130787477592)	(27, 0.011634334193396)	(28, 0.015339759876122877)	(29, 0.018654447542543248)	(30, 0.02203498993081303)	(31, 0.02541553231908281)	(32, 0.02896729698416106)	(33, 0.032233691187891864)	(34, 0.03539032752187365)	(35, 0.038757698965773545)	(36, 0.04212507040967344)	(37, 0.04541780650214401)	(38, 0.04878956826083387)	(39, 0.052534506776670396)	(40, 0.055963342627629746)	(41, 0.05947120414480839)	(42, 0.06289564968097777)	(43, 0.06663180756723437)	(44, 0.07013527876962306)	(45, 0.07355533399100249)	(46, 0.0770105117307016)	(47, 0.08089155000502692)	(48, 0.08461453694691363)	(49, 0.08868874907199721)	(50, 0.09258295829069241)	(51, 0.09688107647006398)	(52, 0.10081040820707886)
SRR1039508_pass_2P - polya	(1, 0.01656904801731189)	(2, 0.019923248516841907)	(3, 0.025217968153534578)	(4, 0.030051704737281366)	(5, 0.032817603054956644)	(6, 0.03573716239028055)	(7, 0.038424035041736526)	(8, 0.04175189365252678)	(9, 0.0453519517802946)	(10, 0.05229303946322255)	(11, 0.05597651357199963)	(12, 0.05964242642161686)	(13, 0.06282979495912837)	(14, 0.06725084195261885)	(15, 0.07056113930424926)	(16, 0.07399436546999856)	(17, 0.07734856596952858)	(18, 0.08044812821124088)	(19, 0.08418867641228744)	(20, 0.08737604494979895)	(21, 0.09088390646697758)	(22, 0.09472543190819326)	(23, 0.09769328470620672)	(24, 0.10135480724103399)	(25, 0.10490218159132228)	(26, 0.1092178610298537)	(27, 0.1129320673421605)	(28, 0.11844630271835122)	(29, 0.12251173421385486)	(30, 0.12629179524801107)	(31, 0.13029137202166532)	(32, 0.1340758233706115)	(33, 0.13889199869519844)	(34, 0.14293108830196233)	(35, 0.14661456241073942)	(36, 0.15013120455749798)	(37, 0.1541307813311522)	(38, 0.15805572275337715)	(39, 0.16194554165728237)	(40, 0.1660021925232061)	(41, 0.1709808094950216)	(42, 0.1767321218698702)	(43, 0.18117951075210043)	(44, 0.18477078825028834)	(45, 0.18894158730075106)	(46, 0.19238359409608027)	(47, 0.1960495069456975)	(48, 0.19938175587127774)	(49, 0.20356572586611033)	(50, 0.20727993217841711)	(51, 0.2104146169384491)	(52, 0.21385223341898837)
SRR1039509_pass_1P - polya	(1, 0.018564100856889153)	(2, 0.022818973585587005)	(3, 0.02902139798040811)	(4, 0.034528268208756624)	(5, 0.03776139585153267)	(6, 0.041076071224171014)	(7, 0.04426122961408688)	(8, 0.04785412665331427)	(9, 0.06531973161970533)	(10, 0.06886945633135855)	(11, 0.07237600871543762)	(12, 0.07582499799608446)	(13, 0.07870315316769519)	(14, 0.0828141181378125)	(15, 0.08654132908504839)	(16, 0.08972169054967823)	(17, 0.09293083356602419)	(18, 0.09636543207081298)	(19, 0.09956018431130088)	(20, 0.10253907491391798)	(21, 0.1058729379877004)	(22, 0.10988316752681133)	(23, 0.11293880893400472)	(24, 0.11654129982380414)	(25, 0.12008143068488532)	(26, 0.12408206637342423)	(27, 0.12797716970567075)	(28, 0.13391576320976087)	(29, 0.13805550973159428)	(30, 0.14232957016143621)	(31, 0.1463589874016912)	(32, 0.15037401386608817)	(33, 0.1549934529165234)	(34, 0.15885977469705378)	(35, 0.16333050906362243)	(36, 0.1671872369935808)	(37, 0.1709720110442489)	(38, 0.1749966313592179)	(39, 0.17941459954764036)	(40, 0.1856793839711797)	(41, 0.19381496925626598)	(42, 0.2021904008056532)	(43, 0.212877950342901)	(44, 0.21687858603143992)	(45, 0.23006533364270304)	(46, 0.23764447559461127)	(47, 0.24154917277742982)	(48, 0.24516605444308728)	(49, 0.24978069656823648)	(50, 0.25390605231421187)	(51, 0.25722072768685017)	(52, 0.2615955235476985)
SRR1039509_pass_2P - illumina_universal_adapter	(1, 1.4390775858053608e-05)	(2, 1.4390775858053608e-05)	(3, 3.3578477002125085e-05)	(4, 6.715695400425017e-05)	(5, 9.114158043433952e-05)	(6, 0.00010553235629239312)	(7, 0.0001247200574364646)	(8, 0.00014870468386655395)	(9, 0.00022545548844283986)	(10, 0.00025423704015894706)	(11, 0.0002686278160170007)	(12, 0.00029261244244709)	(13, 0.00033578477002125086)	(14, 0.0003741601723093938)	(15, 0.0005372556320340014)	(16, 0.0005708341090361265)	(17, 0.0006044125860382516)	(18, 0.0006379910630403766)	(19, 0.0006619756894704659)	(20, 0.0007195387929026804)	(21, 0.0007435234193327697)	(22, 0.0007962895974789663)	(23, 0.0008394619250531271)	(24, 0.000997760459491717)	(25, 0.0043412173838461715)	(26, 0.007531172699048055)	(27, 0.011119272812989422)	(28, 0.014126944967322625)	(29, 0.017465604966391064)	(30, 0.021250379017059163)	(31, 0.024488303585121222)	(32, 0.028421782319655878)	(33, 0.03194752240487901)	(34, 0.035823438035981446)	(35, 0.039723338293513974)	(36, 0.042759791999563285)	(37, 0.04586819958490287)	(38, 0.049393939670126)	(39, 0.052881304353060994)	(40, 0.05718414633461902)	(41, 0.061659677626473695)	(42, 0.0657946272230211)	(43, 0.07133987285365775)	(44, 0.07510545920318178)	(45, 0.08180676382774875)	(46, 0.08662287681491068)	(47, 0.09047480781958303)	(48, 0.09447064658283592)	(49, 0.09866795620810155)	(50, 0.10358960155155589)	(51, 0.1077005665216732)	(52, 0.1118882822963668)
SRR1039509_pass_2P - polya	(1, 0.020132695425417)	(2, 0.024070971085237668)	(3, 0.030043143066329915)	(4, 0.035540419444106394)	(5, 0.0390853472304736)	(6, 0.04246238263183018)	(7, 0.04580104263089862)	(8, 0.04972492751486123)	(9, 0.054234037283718034)	(10, 0.06292126897669639)	(11, 0.0669794677686675)	(12, 0.0710856358134988)	(13, 0.07459698512286389)	(14, 0.07916845492043892)	(15, 0.08317388753426384)	(16, 0.08710736626879849)	(17, 0.09085376491717845)	(18, 0.09462414819198849)	(19, 0.09873031623681978)	(20, 0.10229443172433106)	(21, 0.1061703473554335)	(22, 0.11109678962417385)	(23, 0.1145169973531046)	(24, 0.11845527301292527)	(25, 0.12291641352892188)	(26, 0.12766057263679356)	(27, 0.1316947868023346)	(28, 0.13817543286374473)	(29, 0.14288121656932826)	(30, 0.1472943878324647)	(31, 0.15158763596345068)	(32, 0.15600080722658713)	(33, 0.16124384656420465)	(34, 0.16569059630434324)	(35, 0.17020450299848605)	(36, 0.17446896957775593)	(37, 0.17876701463402794)	(38, 0.18309863816730207)	(39, 0.18743505862586224)	(40, 0.19224637468773814)	(41, 0.19785398034709303)	(42, 0.20468000502909647)	(43, 0.20980791815984956)	(44, 0.21368863071623803)	(45, 0.2194257533583154)	(46, 0.22341199827099625)	(47, 0.227638089447978)	(48, 0.23144205119979017)	(49, 0.23675224749141194)	(50, 0.24129493573727087)	(51, 0.24507970978793897)	(52, 0.24881651458574688)
SRR1039510_pass_1P - polya	(1, 0.018367760531483607)	(2, 0.02215989996185736)	(3, 0.028306086273163247)	(4, 0.03417350387488506)	(5, 0.03761165129308857)	(6, 0.040837403503989934)	(7, 0.043934833610479576)	(8, 0.04756767663537672)	(9, 0.0618158551252291)	(10, 0.06541329894890922)	(11, 0.06902844237319784)	(12, 0.07254623799413966)	(13, 0.07550207129576121)	(14, 0.07960837863693605)	(15, 0.08310847465726937)	(16, 0.0866306951783633)	(17, 0.08976352448606997)	(18, 0.0931574229027522)	(19, 0.09636547551304504)	(20, 0.09946733051968683)	(21, 0.10263998392876265)	(22, 0.10639229925776725)	(23, 0.1093658321599973)	(24, 0.11279955467804868)	(25, 0.11612265469229686)	(26, 0.12031303513636214)	(27, 0.1242157970705391)	(28, 0.12952125235294065)	(29, 0.1335479114913772)	(30, 0.1374904975269233)	(31, 0.14135786025988323)	(32, 0.14539336919862403)	(33, 0.15002623965790213)	(34, 0.15428299360424932)	(35, 0.15896896286535295)	(36, 0.16291154890089904)	(37, 0.16667271403020792)	(38, 0.17046042856042953)	(39, 0.17459328530251714)	(40, 0.17911553325799204)	(41, 0.1853236681714277)	(42, 0.19192119429825066)	(43, 0.19681955876665644)	(44, 0.20078869420311532)	(45, 0.2055366120663487)	(46, 0.2094128245996129)	(47, 0.21328903713287709)	(48, 0.2167714335526019)	(49, 0.22108571120092674)	(50, 0.22507254623799414)	(51, 0.22832042294965615)	(52, 0.23245770459189588)
SRR1039510_pass_2P - polya	(1, 0.01892972285080387)	(2, 0.02271301248087337)	(3, 0.028770700789136693)	(4, 0.034266426778079756)	(5, 0.037465629588068344)	(6, 0.04059403399562289)	(7, 0.043872885008349786)	(8, 0.04762520033735439)	(9, 0.0516164602745739)	(10, 0.05978482595540232)	(11, 0.06397520639946759)	(12, 0.06830718364840098)	(13, 0.07193117687299386)	(14, 0.07675431803881345)	(15, 0.0806880542740553)	(16, 0.084754537513861)	(17, 0.08840508013936665)	(18, 0.09231226697369574)	(19, 0.09594068509844075)	(20, 0.09932573371481873)	(21, 0.1031842466474744)	(22, 0.10764454600081949)	(23, 0.11140571113012834)	(24, 0.11502527945456911)	(25, 0.11931743260213333)	(26, 0.12431756977403804)	(27, 0.12834865381262672)	(28, 0.13469396063077838)	(29, 0.1392870069886873)	(30, 0.1432605673252983)	(31, 0.14762794377544872)	(32, 0.15182274911966612)	(33, 0.15713705420237192)	(34, 0.16133185954658932)	(35, 0.16541604238700353)	(36, 0.16950465012756988)	(37, 0.17358883296798408)	(38, 0.1778986857161568)	(39, 0.1820271175580923)	(40, 0.18669981211873954)	(41, 0.19310264263886887)	(42, 0.19988158967192907)	(43, 0.2049967742477891)	(44, 0.20908538198835544)	(45, 0.21387754885311014)	(46, 0.2177493364862222)	(47, 0.22210343823591622)	(48, 0.22617434637587402)	(49, 0.2311523590470181)	(50, 0.2354533619948866)	(51, 0.239130454021305)	(52, 0.24319251236095857)
SRR1039511_pass_1P - polya	(1, 0.02186873620742275)	(2, 0.026513504298212726)	(3, 0.0334715311532763)	(4, 0.03998698187395222)	(5, 0.04393366595895549)	(6, 0.04741039806620693)	(7, 0.050864316970654876)	(8, 0.05477449993117257)	(9, 0.06700237663384166)	(10, 0.07102662560837679)	(11, 0.07497787233394075)	(12, 0.07867817382866636)	(13, 0.08186745958059387)	(14, 0.08669473329381173)	(15, 0.09062316681657222)	(16, 0.09442840904419388)	(17, 0.09816521166340507)	(18, 0.10210277046728694)	(19, 0.10574375763472349)	(20, 0.10913379957132167)	(21, 0.11292991651782193)	(22, 0.11771156382543282)	(23, 0.12121110913548774)	(24, 0.1251851690638552)	(25, 0.1290907893838122)	(26, 0.13381312236413404)	(27, 0.13801531432053635)	(28, 0.14419769228028137)	(29, 0.14885614829275343)	(30, 0.15322715794990158)	(31, 0.1574019740629397)	(32, 0.1616908561899953)	(33, 0.16678732569629431)	(34, 0.1712222123212922)	(35, 0.1760266728317066)	(36, 0.18006460972792382)	(37, 0.18424855112208335)	(38, 0.18835949026727172)	(39, 0.19277156368946613)	(40, 0.19735245481240635)	(41, 0.20295994006150347)	(42, 0.20994078011937053)	(43, 0.21524256845090095)	(44, 0.21929875590936096)	(45, 0.22465073328705903)	(46, 0.22875254715112603)	(47, 0.23328781186845926)	(48, 0.2376177577605611)	(49, 0.24297886041938058)	(50, 0.2475551889017601)	(51, 0.2512463651153643)	(52, 0.2553344910577492)
SRR1039511_pass_2P - polya	(1, 0.022936394098625947)	(2, 0.027471658815959185)	(3, 0.034571127528404376)	(4, 0.04064400211469265)	(5, 0.04457699827801383)	(6, 0.04830923825666432)	(7, 0.051808783566719245)	(8, 0.05601097552312157)	(9, 0.06070137001951852)	(10, 0.07058404947398914)	(11, 0.07556189032571002)	(12, 0.08000133959126862)	(13, 0.08386133350561864)	(14, 0.0894095044274267)	(15, 0.09388545481747088)	(16, 0.09840246897256133)	(17, 0.10251340811774971)	(18, 0.10670647479303064)	(19, 0.11089954146831157)	(20, 0.114919227802286)	(21, 0.11921267256990228)	(22, 0.1245007729797506)	(23, 0.1285980242032569)	(24, 0.13291884481423732)	(25, 0.1375727381861487)	(26, 0.14284258803375424)	(27, 0.14762423534136512)	(28, 0.15483320742726706)	(29, 0.16002549238534072)	(30, 0.16501245851818303)	(31, 0.16973479149850484)	(32, 0.174557502571162)	(33, 0.1802973043965194)	(34, 0.1854165871056219)	(35, 0.19043092908182835)	(36, 0.1948019387389765)	(37, 0.1993873925024774)	(38, 0.20405497379607088)	(39, 0.20899631352330617)	(40, 0.21420684904362264)	(41, 0.22056716998523485)	(42, 0.2282460940488886)	(43, 0.233940269468639)	(44, 0.23832496704746922)	(45, 0.24406933151338728)	(46, 0.24848140493558168)	(47, 0.25312617302637164)	(48, 0.2574424309967914)	(49, 0.26321417130607366)	(50, 0.2681691989549911)	(51, 0.27224363697569387)	(52, 0.27662377191396337)
