Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_pass_1P	(1, 2.1951573949803774e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00034683486840689963)	(8, 0.0003995186458864287)	(9, 0.002001983544222104)	(10, 0.005729360800898785)	(11, 0.0031522460191918222)	(12, 0.0)	(13, 0.001523439232116382)	(14, 0.021424736175008483)	(15, 0.20229692489181164)	(16, 0.2416604872985998)	(17, 0.28293383663902083)	(18, 0.28352652913566556)	(19, 0.318938808231489)	(20, 0.3269862552414871)	(21, 0.2657808767546442)	(22, 0.32798285669880817)	(23, 0.2967721088569772)	(24, 0.16352166466687829)	(25, 0.040338212290159416)	(26, 0.011735311433565099)	(27, 0.001650758361025244)	(28, 4.82934626895683e-05)	(29, 0.002239060542879985)	(30, 0.0)	(31, 0.0)	(32, 0.00020195448033819474)	(33, 0.00040829927546635024)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 8.342254056849124e-05)	(40, 0.0)	(41, 0.0)	(42, 4.391277587762318e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0010278381620496674)	(51, 0.0)	(52, 0.00035142470650985277)	(53, 6.15031654800656e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 8.871634938964706e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039508_pass_2P	(1, 0.012815328871895444)	(2, 0.01838663834035564)	(3, 0.04086065975016474)	(4, 0.02965218609139494)	(5, 0.026416524091193862)	(6, 0.02891461320668153)	(7, 0.03544301129935318)	(8, 0.02993316623795243)	(9, 10.681073923681401)	(10, 0.03771280404576288)	(11, 0.03046439432753768)	(12, 0.032075639855453274)	(13, 0.026311156536234805)	(14, 0.013583633960138577)	(15, 0.009671863482283542)	(16, 0.014931460600656527)	(17, 0.019883735683732258)	(18, 0.023312571534691608)	(19, 0.020946191862902763)	(20, 0.012117268820291684)	(21, 0.0213896136566888)	(22, 0.018698350690442855)	(23, 0.010497242662796166)	(24, 0.02535845822681332)	(25, 0.01814078071211784)	(26, 0.014650480454099038)	(27, 0.01140164750952808)	(28, 0.019997883868271237)	(29, 0.021538884359547466)	(30, 0.0212886364165197)	(31, 0.018035413157158783)	(32, 0.01855786061716411)	(33, 0.016841247534289457)	(34, 0.017605162307742627)	(35, 0.017008079496307966)	(36, 0.004434217937860362)	(37, 0.010528376080969622)	(38, 0.006032754696734432)	(39, 0.0027837737952834704)	(40, 0.0002195489358331351)	(41, 0.0)	(42, 0.0)	(43, 0.03290506106012088)	(44, 0.11276750058024014)	(45, 0.13874822513338922)	(46, 0.14866122549043076)	(47, 0.19863464484932758)	(48, 0.25199793373465423)	(49, 0.28764160980737236)	(50, 0.29310261824517236)	(51, 0.2885719929666342)	(52, 0.311997019897805)	(53, 0.31815603312323104)	(54, 0.31287171253725227)	(55, 0.333942611939292)	(56, 0.31596857941732326)	(57, 0.3234837164908368)	(58, 0.2372264979097656)	(59, 0.12017698184295174)	(60, 0.049903024390450364)	(61, 0.011272927801671056)	(62, 0.0020932235719206297)	(63, 0.0011474630287188032)
SRR1039509_pass_1P	(1, 1.9187701144071477e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003933478734534653)	(8, 0.0004365202010276261)	(9, 0.0021490225281360054)	(10, 0.006087298187956677)	(11, 0.0031180014359116154)	(12, 9.593850572035738e-06)	(13, 0.0015925791949579328)	(14, 0.021965120884675823)	(15, 0.20415714017292053)	(16, 0.24361185065041752)	(17, 0.2853738821904891)	(18, 0.2854362422192073)	(19, 0.3212932587321909)	(20, 0.3289731361151055)	(21, 0.2679370587758141)	(22, 0.330450589103199)	(23, 0.299040322330354)	(24, 0.16498065136201256)	(25, 0.04210261323537884)	(26, 0.01208825172076503)	(27, 0.0016549392236761648)	(28, 4.317232757416082e-05)	(29, 0.002158616378708041)	(30, 0.0)	(31, 0.0)	(32, 0.00026383089073098284)	(33, 0.00032139399416319724)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.797128477270533e-06)	(39, 0.00012472948094498123)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 9.59627096587283e-06)	(44, 4.798327494968354e-06)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0011854358029160666)	(51, 0.0)	(52, 0.00032638233357704815)	(53, 5.760111515758945e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 9.695177323096585e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509_pass_2P	(1, 0.013129184507830908)	(2, 0.018914276402768458)	(3, 0.04234725642496575)	(4, 0.030354943209921076)	(5, 0.027102627866000963)	(6, 0.029433933555005645)	(7, 0.036658103035748554)	(8, 0.030724306456944454)	(9, 10.677005895469145)	(10, 0.03870159320759217)	(11, 0.03147262680156324)	(12, 0.03284454743336435)	(13, 0.02703067398671069)	(14, 0.013680830915722964)	(15, 0.009977604594917169)	(16, 0.015100720800384252)	(17, 0.020588403327588697)	(18, 0.0239990172059474)	(19, 0.0216101484135105)	(20, 0.01208825172076503)	(21, 0.021758853097377056)	(22, 0.01872719631661376)	(23, 0.010394937094800723)	(24, 0.02558679947561932)	(25, 0.018329051517874277)	(26, 0.014908843788943537)	(27, 0.011416682180722528)	(28, 0.02035335398857382)	(29, 0.021485428356074036)	(30, 0.02190755778124361)	(31, 0.018122783730575513)	(32, 0.01877516556947394)	(33, 0.01708664786879565)	(34, 0.0180124544489971)	(35, 0.017172992523943973)	(36, 0.00434601430913219)	(37, 0.010481645774771835)	(38, 0.006015753214038484)	(39, 0.0025810152130697622)	(40, 0.0001871057555793377)	(41, 0.0)	(42, 0.0)	(43, 0.0340089199524163)	(44, 0.1149333016902484)	(45, 0.14031125384451204)	(46, 0.14991955536053825)	(47, 0.19928629707075826)	(48, 0.2536892145635452)	(49, 0.29022847399764035)	(50, 0.29496155142893826)	(51, 0.2909502618605151)	(52, 0.31456907075531426)	(53, 0.32025028280319007)	(54, 0.31507717511473554)	(55, 0.3366211664816338)	(56, 0.31848436412154746)	(57, 0.32553762249552787)	(58, 0.23834113189179335)	(59, 0.12199315414258549)	(60, 0.05140617642969725)	(61, 0.011375431702040277)	(62, 0.0018803985250036446)	(63, 0.0009206117778663677)
SRR1039510_pass_1P	(1, 1.769960060851227e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003539920121702454)	(8, 0.0004203655144521664)	(9, 0.001915981765871453)	(10, 0.006159461011762269)	(11, 0.003168228508923696)	(12, 0.0)	(13, 0.0016062387552224883)	(14, 0.02202715295729352)	(15, 0.20650124029951267)	(16, 0.24602887335847265)	(17, 0.2878264801954744)	(18, 0.28813622320612337)	(19, 0.32415491044444583)	(20, 0.3321108809179721)	(21, 0.27080831421038987)	(22, 0.3332569300573733)	(23, 0.301114455352315)	(24, 0.16700900644176964)	(25, 0.042288770753887935)	(26, 0.012234848920634107)	(27, 0.0016239383558310006)	(28, 4.8673901673408734e-05)	(29, 0.002150501473934241)	(30, 0.0)	(31, 0.0)	(32, 0.0002831936097361963)	(33, 0.0003849663132351418)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.00011948056223835417)	(40, 0.0)	(41, 0.0)	(42, 8.85162433724016e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0010935044111392417)	(51, 0.0)	(52, 0.00034977105270859386)	(53, 5.756111263328276e-05)	(54, 4.428202584600146e-06)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 2.235453423947885e-05)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039510_pass_2P	(1, 0.013593293267337422)	(2, 0.01935008836525604)	(3, 0.04256311456331988)	(4, 0.030890227962006033)	(5, 0.027071539130719514)	(6, 0.029938874429298504)	(7, 0.037120487376202355)	(8, 0.030956601464287956)	(9, 10.674469830588272)	(10, 0.03897452053994402)	(11, 0.03178848269288803)	(12, 0.03319117604111263)	(13, 0.027553853247301478)	(14, 0.014000384081333205)	(15, 0.010062222945939225)	(16, 0.015473875831991852)	(17, 0.020593485308004023)	(18, 0.02424402793350968)	(19, 0.02189440595272968)	(20, 0.012540167031130941)	(21, 0.02219972406322651)	(22, 0.019040345354607073)	(23, 0.010743657569366948)	(24, 0.02612018559801198)	(25, 0.018549181437720857)	(26, 0.015230506323624807)	(27, 0.011668461701161714)	(28, 0.02102270062276045)	(29, 0.021903255753033934)	(30, 0.02202715295729352)	(31, 0.0184297091336134)	(32, 0.018925297950651742)	(33, 0.01739428249801543)	(34, 0.01795181991718357)	(35, 0.01735445839664628)	(36, 0.004424900152128067)	(37, 0.010651060804945845)	(38, 0.006288175164044596)	(39, 0.0027304146955609743)	(40, 0.00030093113403419606)	(41, 4.425618845347192e-06)	(42, 4.425795127288081e-06)	(43, 0.03441615119525089)	(44, 0.11607005489957797)	(45, 0.14213076012226317)	(46, 0.15150355559948547)	(47, 0.20159727617476714)	(48, 0.2563106878635163)	(49, 0.2931682812673065)	(50, 0.29780147014324104)	(51, 0.29309112742882876)	(52, 0.3172424993110835)	(53, 0.32403406112299693)	(54, 0.3182911049186366)	(55, 0.339663510567137)	(56, 0.32137463479853207)	(57, 0.3285103048136664)	(58, 0.24124460708723028)	(59, 0.12290360588739027)	(60, 0.05190880846089583)	(61, 0.0116087621310435)	(62, 0.00215913941581276)	(63, 0.001002780230774964)
SRR1039511_pass_1P	(1, 9.125281121394848e-06)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.00033763540149160936)	(8, 0.0005110157427981114)	(9, 0.0020760014551173276)	(10, 0.005794553512085727)	(11, 0.003184723111366801)	(12, 4.562640560697424e-06)	(13, 0.0015284845878336367)	(14, 0.02144441063527789)	(15, 0.2022846692585203)	(16, 0.24087092048033837)	(17, 0.2817065534985803)	(18, 0.2825871431267949)	(19, 0.31832174399817714)	(20, 0.32661206189696435)	(21, 0.26461946459876845)	(22, 0.32717782932649087)	(23, 0.2953305982128228)	(24, 0.1641592447333326)	(25, 0.041460714775057486)	(26, 0.012223314062108397)	(27, 0.0015877989151227032)	(28, 4.5626405606974236e-05)	(29, 0.0021809421880133683)	(30, 0.0)	(31, 0.0)	(32, 0.00026463315252045055)	(33, 0.00041063765046276806)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.00015969862041380925)	(40, 0.0)	(41, 0.0)	(42, 4.5630005269353e-06)	(43, 4.563063198927242e-06)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0011591287550181378)	(51, 0.0)	(52, 0.00034683909559332714)	(53, 6.389413289842727e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 1.3823090975843872e-05)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039511_pass_2P	(1, 0.0132818466721902)	(2, 0.018971459451379888)	(3, 0.041620407194681894)	(4, 0.030149928825088573)	(5, 0.026869390261947127)	(6, 0.029648038363411858)	(7, 0.03645093543941171)	(8, 0.030569691756672734)	(9, 10.663780705259214)	(10, 0.03826230374200859)	(11, 0.031559784758344075)	(12, 0.03230349516973776)	(13, 0.02689220346475061)	(14, 0.013523666621907165)	(15, 0.009887242095031317)	(16, 0.015120590818151262)	(17, 0.020162308637721914)	(18, 0.023730293556187297)	(19, 0.021667980022752064)	(20, 0.012355630638368623)	(21, 0.021663417382191366)	(22, 0.018373753537928524)	(23, 0.01051688649240756)	(24, 0.025897547822518574)	(25, 0.018611010847084792)	(26, 0.015189030426561721)	(27, 0.011748799443795865)	(28, 0.020353939541271203)	(29, 0.0217820460367695)	(30, 0.02154935136817393)	(31, 0.018533445957552932)	(32, 0.01866119989325246)	(33, 0.01729697036560393)	(34, 0.017703045375506002)	(35, 0.017119027383736732)	(36, 0.004434886624997895)	(37, 0.010704116412604357)	(38, 0.006018292872671265)	(39, 0.002578000249313157)	(40, 0.00021901909832848732)	(41, 4.562959509985603e-06)	(42, 4.56301739198642e-06)	(43, 0.0338398125668634)	(44, 0.1132664065856051)	(45, 0.13899525595410547)	(46, 0.14821057373541072)	(47, 0.1973737229369787)	(48, 0.2508274361999778)	(49, 0.287302124124539)	(50, 0.29210740922099065)	(51, 0.2872567222613806)	(52, 0.3107926053439114)	(53, 0.3173853116739369)	(54, 0.3113540441430845)	(55, 0.3327754594267112)	(56, 0.3153527236097142)	(57, 0.3219301586513304)	(58, 0.2363173461752846)	(59, 0.11954351495385511)	(60, 0.05080891306290927)	(61, 0.01174144199892861)	(62, 0.00198715645403984)	(63, 0.000898176102177258)
SRR1039512_pass_1P	(1, 0.0003520862533079215)	(2, 0.0006045925561853197)	(3, 0.0010704844671281248)	(4, 0.000277401290485029)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00016715205965123545)	(9, 0.0001387006452425145)	(10, 9.602352362943313e-05)	(11, 0.0011487258567521074)	(12, 0.0)	(13, 0.00045166620373844477)	(14, 0.005192383129591569)	(15, 0.001874236924174491)	(16, 0.005700952162147456)	(17, 0.0015897227800872817)	(18, 0.0033323719126214387)	(19, 0.008777261345090406)	(20, 0.009268048243640843)	(21, 0.006035256281449927)	(22, 0.005935676331019404)	(23, 0.012504396632632848)	(24, 0.016288434748992733)	(25, 0.017867488248676743)	(26, 0.010242509187139533)	(27, 0.0029625035253080666)	(28, 0.00025250630287739824)	(29, 0.0019098011921853922)	(30, 0.0017462055593352468)	(31, 0.003040744914932049)	(32, 0.0008250910178529068)	(33, 0.001660851316109084)	(34, 0.00025250630287739824)	(35, 0.0023116774207085754)	(36, 0.005437776578866788)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.246884964518813e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 2.1343167506051942e-05)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.008959408533633492)	(60, 0.005097444348319042)	(61, 0.0027325045129653652)	(62, 0.0028173190929899313)	(63, 0.0008665837524249134)
SRR1039512_pass_2P	(1, 7.112853602180232e-05)	(2, 7.112853602180233e-06)	(3, 5.690282881744186e-05)	(4, 4.267712161308139e-05)	(5, 2.845141440872093e-05)	(6, 0.00013158779164033427)	(7, 1.778213400545058e-05)	(8, 0.00012091851123706394)	(9, 7.824138962398256e-05)	(10, 0.0)	(11, 3.556426801090116e-05)	(12, 6.75721092207122e-05)	(13, 7.112853602180232e-05)	(14, 0.00023116774207085754)	(15, 0.00022049846166758718)	(16, 1.778213400545058e-05)	(17, 3.912069481199128e-05)	(18, 0.0)	(19, 8.891067002725289e-05)	(20, 1.4225707204360465e-05)	(21, 0.0)	(22, 0.0)	(23, 5.690282881744186e-05)	(24, 2.1338560806540696e-05)	(25, 0.0)	(26, 3.2007841209811044e-05)	(27, 6.045925561853197e-05)	(28, 3.556426801090116e-05)	(29, 0.00012091851123706394)	(30, 3.556426801090116e-05)	(31, 8.535424322616279e-05)	(32, 3.2007841209811044e-05)	(33, 1.0669280403270348e-05)	(34, 1.4225707204360465e-05)	(35, 7.112853602180233e-06)	(36, 8.535424322616279e-05)	(37, 0.00013158851233709877)	(38, 2.8451746300615032e-05)	(39, 3.912134455935727e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 3.912220999514849e-05)	(44, 4.623555779003708e-05)	(45, 8.891495163951347e-05)	(46, 6.401913403878151e-05)	(47, 0.00011025586153058824)	(48, 3.2009933607129707e-05)	(49, 6.0463577807732935e-05)	(50, 3.556702552609855e-06)	(51, 3.201055295455981e-05)	(52, 0.0)	(53, 3.5568089434111344e-05)	(54, 7.113795256720508e-06)	(55, 7.113972635464e-06)	(56, 3.5570483143557103e-06)	(57, 3.5572455792152703e-06)	(58, 3.5576611849985947e-06)	(59, 0.0)	(60, 1.0705315424625267e-05)	(61, 0.00010157428902260176)	(62, 0.0001052019422019804)	(63, 0.00010882959538135904)
