Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_pass_1P	(1, 38.306450645617744)	(2, 39.97805176268944)	(3, 40.0317695471083)	(4, 40.05489667174626)	(5, 40.07386625608443)	(6, 40.06626183573989)	(7, 40.11698463521533)	(8, 40.01408228591398)	(9, 40.0325584427729)	(10, 39.952692162980775)	(11, 39.7439325630087)	(12, 39.77661591023738)	(13, 39.83079766312324)	(14, 39.695707677036154)	(15, 39.5530281976748)	(16, 39.40088846800404)	(17, 39.25407779023164)	(18, 39.11686570158767)	(19, 38.9871449826824)	(20, 39.03701935382469)	(21, 39.042271575214215)	(22, 39.00050194468994)	(23, 38.894429656400796)	(24, 38.91249571395519)	(25, 38.990562886649535)	(26, 39.071901634119065)	(27, 38.96991602644901)	(28, 39.003323512199145)	(29, 39.0119676029891)	(30, 38.96162342426114)	(31, 38.89668289766045)	(32, 38.656882367222615)	(33, 38.62347413511896)	(34, 38.479969847318024)	(35, 38.49147036471662)	(36, 38.31828078785077)	(37, 38.293399454763815)	(38, 38.40908974161683)	(39, 38.419093329581955)	(40, 38.36500494493654)	(41, 38.328199482750875)	(42, 38.123150701269466)	(43, 38.060336324104675)	(44, 37.96444163441486)	(45, 37.85257131147537)	(46, 37.76485302589458)	(47, 37.58796258516697)	(48, 37.37046369276399)	(49, 37.25264528622493)	(50, 37.15389166322224)	(51, 37.028821493838166)	(52, 36.79009006927372)	(53, 36.66420822406271)	(54, 36.42861496142437)	(55, 36.25643797897255)	(56, 36.11570444392537)	(57, 35.93092748341309)	(58, 35.75457462994052)	(59, 35.542103515564214)	(60, 35.21446467734152)	(61, 35.02108334863646)	(62, 34.83951644266422)	(63, 34.01539900824793)
SRR1039508_pass_2P	(1, 38.254228597544675)	(2, 39.933290044829505)	(3, 39.84959584957201)	(4, 39.91857037301432)	(5, 39.886918179020356)	(6, 39.84861132148036)	(7, 39.841858797817665)	(8, 39.81088521478078)	(9, 34.158437811849545)	(10, 36.11664912735908)	(11, 38.248482070612944)	(12, 39.115079150790194)	(13, 39.329057561856246)	(14, 39.42430684612518)	(15, 39.46752005605554)	(16, 39.56425107156608)	(17, 39.5034467483353)	(18, 39.423979987189064)	(19, 39.41667423995968)	(20, 39.297114377798)	(21, 39.46213726670416)	(22, 39.48601381807677)	(23, 39.487891028874664)	(24, 39.306754543207504)	(25, 39.354941760279154)	(26, 39.32592019900419)	(27, 39.26387754358375)	(28, 39.18953085535186)	(29, 39.15574992942569)	(30, 39.07751618818821)	(31, 39.00337988384105)	(32, 38.95977422367161)	(33, 39.0062058855682)	(34, 39.0290888648007)	(35, 39.005704818941226)	(36, 38.92781018561812)	(37, 38.859316264953655)	(38, 38.77399390972777)	(39, 37.14656858825654)	(40, 37.79608026990117)	(41, 38.13219342493965)	(42, 38.28482133658968)	(43, 38.24843316708951)	(44, 38.1142035098105)	(45, 38.007266220790925)	(46, 37.85258936637221)	(47, 37.69116792612228)	(48, 37.44567728057274)	(49, 37.27085840905776)	(50, 37.08335718459843)	(51, 36.91853632932683)	(52, 36.730328426238955)	(53, 36.399384027638455)	(54, 36.27314413094254)	(55, 36.11240116064477)	(56, 35.92311652383771)	(57, 35.69500915231439)	(58, 35.440037135307655)	(59, 35.440577292723724)	(60, 35.225825580046056)	(61, 35.12655006679266)	(62, 34.8730629333718)	(63, 34.08528173825589)
SRR1039509_pass_1P	(1, 38.30176464010804)	(2, 39.97566639725535)	(3, 40.0297072623578)	(4, 40.052555641095395)	(5, 40.07126033983241)	(6, 40.06303087871948)	(7, 40.11224790778506)	(8, 40.0100561782311)	(9, 40.0263739269458)	(10, 39.946045911275974)	(11, 39.74049636760028)	(12, 39.773560949996515)	(13, 39.82384591853852)	(14, 39.68743570621078)	(15, 39.54163364183479)	(16, 39.39300446157224)	(17, 39.24496698204372)	(18, 39.10464516496074)	(19, 38.972312147249106)	(20, 39.01964983692613)	(21, 39.025947096533855)	(22, 38.98186723866483)	(23, 38.870927596313024)	(24, 38.8847333391632)	(25, 38.96672013159693)	(26, 39.04693450810673)	(27, 38.942015102927385)	(28, 38.97874563953496)	(29, 38.98852589862361)	(30, 38.93844187328183)	(31, 38.8721489414601)	(32, 38.63415472204289)	(33, 38.60126565914287)	(34, 38.457475089447065)	(35, 38.46436582465118)	(36, 38.28743401769307)	(37, 38.26556008735269)	(38, 38.37759867645306)	(39, 38.389416377326256)	(40, 38.336173559558034)	(41, 38.29751001479683)	(42, 38.09391043513465)	(43, 38.029740091238466)	(44, 37.93555735812725)	(45, 37.82241202072238)	(46, 37.732504197290076)	(47, 37.55614892425576)	(48, 37.340641179283374)	(49, 37.221215356724095)	(50, 37.1202392334233)	(51, 36.99294107393049)	(52, 36.749928303880765)	(53, 36.62538893952987)	(54, 36.39200983379075)	(55, 36.21470995737378)	(56, 36.075292414752745)	(57, 35.891213938801094)	(58, 35.71209034005905)	(59, 35.49884895448663)	(60, 35.172673822774)	(61, 34.981492733665675)	(62, 34.800661800945754)	(63, 33.97556176543419)
SRR1039509_pass_2P	(1, 37.86179026912046)	(2, 39.47809265808039)	(3, 39.376134394880104)	(4, 39.446861940221005)	(5, 39.43504687339528)	(6, 39.39758739602125)	(7, 39.341423028033184)	(8, 39.32701781343002)	(9, 33.80110048181756)	(10, 35.76945046471893)	(11, 37.85868761784546)	(12, 38.66670200401627)	(13, 38.83537470486318)	(14, 38.97469660287028)	(15, 39.021215361462474)	(16, 39.16833710795389)	(17, 39.03336453413437)	(18, 38.96995800819574)	(19, 38.950780476533275)	(20, 38.90194254847305)	(21, 39.02072866542295)	(22, 39.07485496376474)	(23, 39.025605843269005)	(24, 38.86728936832984)	(25, 38.927148040357686)	(26, 38.87146029486604)	(27, 38.86719352576263)	(28, 38.75788272736095)	(29, 38.82463146302336)	(30, 38.76525315509366)	(31, 38.66524839174685)	(32, 38.60017704491845)	(33, 38.66847787372641)	(34, 38.68759410068372)	(35, 38.64853197057163)	(36, 38.59308114521986)	(37, 38.572180234609455)	(38, 38.46427280625293)	(39, 36.86711297760835)	(40, 37.46709766877263)	(41, 37.80744132463489)	(42, 37.97625237413885)	(43, 37.93530436328014)	(44, 37.78960406621958)	(45, 37.651127470813954)	(46, 37.52177274187809)	(47, 37.36876962786231)	(48, 37.137052355247825)	(49, 36.994919765924436)	(50, 36.82275272331547)	(51, 36.65293062040208)	(52, 36.47399807454297)	(53, 36.15934139964623)	(54, 36.056292425335805)	(55, 35.90942154254489)	(56, 35.72856273626841)	(57, 35.50811798673026)	(58, 35.25566091402326)	(59, 35.257909219623855)	(60, 35.04774824953563)	(61, 34.94761807127621)	(62, 34.69682770402899)	(63, 33.8894241930801)
SRR1039510_pass_1P	(1, 38.313334967596454)	(2, 39.99132542574177)	(3, 40.04419740718551)	(4, 40.06766902454846)	(5, 40.08422717791373)	(6, 40.076448070699286)	(7, 40.125946419769036)	(8, 40.025291844289534)	(9, 40.04138113523469)	(10, 39.96379307750921)	(11, 39.763820467641146)	(12, 39.79607347635201)	(13, 39.844776759362425)	(14, 39.710619716116106)	(15, 39.568540597131424)	(16, 39.42409889120852)	(17, 39.274359340831474)	(18, 39.13865517549596)	(19, 39.0073735651155)	(20, 39.054420386753975)	(21, 39.061816297615245)	(22, 39.01978983494237)	(23, 38.91195103582488)	(24, 38.92645833646764)	(25, 39.00925799734329)	(26, 39.084648693902224)	(27, 38.98637015705741)	(28, 39.023700871439836)	(29, 39.031269220660036)	(30, 38.981511439694366)	(31, 38.91687227702707)	(32, 38.68171126818523)	(33, 38.65394307277456)	(34, 38.51510957380247)	(35, 38.52003444342279)	(36, 38.34834260939902)	(37, 38.32323865088294)	(38, 38.430883777291136)	(39, 38.44372363738835)	(40, 38.39296254335891)	(41, 38.35492122348785)	(42, 38.154368035403664)	(43, 38.09358648727921)	(44, 37.99569790758207)	(45, 37.88463851686041)	(46, 37.79721397750187)	(47, 37.61990373885102)	(48, 37.40650374040993)	(49, 37.28934097679461)	(50, 37.18762919787821)	(51, 37.061804548687064)	(52, 36.82053960110073)	(53, 36.69590003706936)	(54, 36.463720356172736)	(55, 36.28571384919017)	(56, 36.143486794954285)	(57, 35.95965189537037)	(58, 35.78032901110425)	(59, 35.56493270452795)	(60, 35.23749926621242)	(61, 35.04688484963299)	(62, 34.861678248045266)	(63, 34.03685596135355)
SRR1039510_pass_2P	(1, 37.93960175013651)	(2, 39.56954305826089)	(3, 39.46787464965853)	(4, 39.53377597084522)	(5, 39.525010022398845)	(6, 39.48548619475402)	(7, 39.44183097058415)	(8, 39.42426040006407)	(9, 33.877296014315434)	(10, 35.8492059516677)	(11, 37.95031522988684)	(12, 38.785795097033635)	(13, 38.951800137879886)	(14, 39.079126993749384)	(15, 39.02908398371991)	(16, 39.18842406296102)	(17, 39.14794795255445)	(18, 39.119117471364255)	(19, 39.047556658634)	(20, 38.99582373498742)	(21, 39.1037463417138)	(22, 39.16934163680597)	(23, 39.12281412144935)	(24, 38.95986040325)	(25, 39.0208754399457)	(26, 38.97125239718966)	(27, 38.95724701297115)	(28, 38.85268666662537)	(29, 38.905906179727054)	(30, 38.83969281458164)	(31, 38.74655844540868)	(32, 38.680439242138505)	(33, 38.7474171857812)	(34, 38.7698836428256)	(35, 38.731915787070264)	(36, 38.67592141908318)	(37, 38.65120824713364)	(38, 38.54513071107136)	(39, 36.94782854588823)	(40, 37.55616485750999)	(41, 37.895968084207134)	(42, 38.06419655664288)	(43, 38.02597158020811)	(44, 37.881947716070265)	(45, 37.75375078963992)	(46, 37.619535517462744)	(47, 37.46722548063501)	(48, 37.22912245417971)	(49, 37.08191685945161)	(50, 36.90595765416894)	(51, 36.736456217871975)	(52, 36.557387097391185)	(53, 36.24124208333924)	(54, 36.13474704241397)	(55, 35.986401503648466)	(56, 35.80195532240288)	(57, 35.58091506543413)	(58, 35.32671542849752)	(59, 35.323467586932566)	(60, 35.106339961993086)	(61, 35.00659802289682)	(62, 34.75417470509453)	(63, 33.942981148183364)
SRR1039511_pass_1P	(1, 38.277060507868434)	(2, 39.94431023437235)	(3, 39.99964498093797)	(4, 40.02260546577876)	(5, 40.04084895592868)	(6, 40.03225065979205)	(7, 40.08408234781438)	(8, 39.98141440306084)	(9, 39.99856742211675)	(10, 39.916777801184125)	(11, 39.70592476671105)	(12, 39.74100294048496)	(13, 39.79374656347616)	(14, 39.6550344883156)	(15, 39.50812750007038)	(16, 39.35684909153036)	(17, 39.20846586093172)	(18, 39.068673626244816)	(19, 38.93573169446935)	(20, 38.983036330527355)	(21, 38.98899345092262)	(22, 38.94728680982134)	(23, 38.836983422968686)	(24, 38.852768790516535)	(25, 38.933987625115016)	(26, 39.01749612962608)	(27, 38.91145634787178)	(28, 38.949073174853666)	(29, 38.96055870993711)	(30, 38.91114659020411)	(31, 38.84849377881678)	(32, 38.60722203036319)	(33, 38.57744623806408)	(34, 38.4357402950468)	(35, 38.44730239123886)	(36, 38.273069611796394)	(37, 38.25313386435085)	(38, 38.36389482770838)	(39, 38.376781381075496)	(40, 38.32304496226889)	(41, 38.28916340659714)	(42, 38.08831336168843)	(43, 38.025912130095854)	(44, 37.93199109004164)	(45, 37.82349519592358)	(46, 37.73771442005623)	(47, 37.561730614745215)	(48, 37.345980311805796)	(49, 37.23062856483637)	(50, 37.13295202256559)	(51, 37.009585149617024)	(52, 36.76803670543384)	(53, 36.64593832983931)	(54, 36.410185935267634)	(55, 36.235332313467865)	(56, 36.09633162008044)	(57, 35.910772928225974)	(58, 35.730475903525615)	(59, 35.51594518780533)	(60, 35.18633522027741)	(61, 34.98853702953169)	(62, 34.8032854830232)	(63, 33.96707540655753)
SRR1039511_pass_2P	(1, 38.23637051433689)	(2, 39.91034885812848)	(3, 39.82711862906522)	(4, 39.89550102196305)	(5, 39.864946660678655)	(6, 39.824517239549536)	(7, 39.81794498395388)	(8, 39.785033745061455)	(9, 34.146088861166284)	(10, 36.1041160812411)	(11, 38.228422987623425)	(12, 39.09197786042545)	(13, 39.30392802744775)	(14, 39.39800479378393)	(15, 39.436512750093726)	(16, 39.53700919732522)	(17, 39.476210414929724)	(18, 39.39911561425484)	(19, 39.39056650338345)	(20, 39.265950478103136)	(21, 39.43942188971523)	(22, 39.46174898879338)	(23, 39.46676173384539)	(24, 39.28443040428691)	(25, 39.33245904014909)	(26, 39.306302014957886)	(27, 39.2419675055127)	(28, 39.17014743671081)	(29, 39.13322148476263)	(30, 39.0542237892155)	(31, 38.98543427190044)	(32, 38.9428727744637)	(33, 38.98820936114226)	(34, 39.011970680654265)	(35, 38.990822978534645)	(36, 38.912160865200754)	(37, 38.844878828580924)	(38, 38.76255566920907)	(39, 37.13741982419224)	(40, 37.78972113256418)	(41, 38.12835646168225)	(42, 38.284708238158295)	(43, 38.25087949974024)	(44, 38.121566449488306)	(45, 38.0183520282561)	(46, 37.86259653663024)	(47, 37.7056649982171)	(48, 37.45999757592042)	(49, 37.28706915918916)	(50, 37.099878929376075)	(51, 36.9368840232644)	(52, 36.749699297737685)	(53, 36.41654877975927)	(54, 36.289871847369156)	(55, 36.12986818922473)	(56, 35.939811683870445)	(57, 35.712225823720175)	(58, 35.45192293733614)	(59, 35.4528942191069)	(60, 35.23711680848227)	(61, 35.133747636063326)	(62, 34.87181844966335)	(63, 34.06159724285067)
SRR1039512_pass_1P	(1, 38.09569242029425)	(2, 39.670911380601325)	(3, 39.5628977196547)	(4, 39.54694394466769)	(5, 39.64933916255396)	(6, 39.60688495777276)	(7, 39.589703290868414)	(8, 39.513298226658904)	(9, 39.51724735410737)	(10, 39.323746973036236)	(11, 39.38276818747775)	(12, 39.456946430610024)	(13, 39.45883386187763)	(14, 39.40748311319644)	(15, 39.32350872800483)	(16, 39.19548792575319)	(17, 39.14919886151665)	(18, 39.124282535348215)	(19, 39.05277360391577)	(20, 39.1135636072268)	(21, 39.12325622170196)	(22, 39.15138492594274)	(23, 39.106760838477406)	(24, 38.95069597494284)	(25, 38.93207420413392)	(26, 38.92006233704897)	(27, 38.91254109895722)	(28, 38.806181923322725)	(29, 38.752837335084045)	(30, 38.65896178654967)	(31, 38.56095904027689)	(32, 38.47319645594956)	(33, 38.446463471406865)	(34, 38.23744231031175)	(35, 38.174123260773925)	(36, 38.14416374358021)	(37, 38.07124441933445)	(38, 37.90065520870309)	(39, 37.8470462750322)	(40, 37.65439337109311)	(41, 37.508317981628316)	(42, 37.44524287931341)	(43, 37.302636100481884)	(44, 37.1803995296187)	(45, 36.99784451170641)	(46, 36.8435184885835)	(47, 36.68393297387586)	(48, 36.53654581470137)	(49, 36.09328876213743)	(50, 36.001861483597125)	(51, 35.874481198850134)	(52, 35.75930661874307)	(53, 35.526640435038914)	(54, 35.29762083087457)	(55, 35.060442834968825)	(56, 34.872072285454315)	(57, 34.60495658949825)	(58, 34.37493485750318)	(59, 34.23538693383238)	(60, 33.98809806017276)	(61, 33.69702321843379)	(62, 33.39390026078271)	(63, 31.437123245799402)
SRR1039512_pass_2P	(1, 37.964602955177284)	(2, 39.50321340943613)	(3, 39.47281314426894)	(4, 39.47109311401086)	(5, 39.4411042918603)	(6, 39.40209085888063)	(7, 39.394676064643036)	(8, 39.31816459214364)	(9, 39.26139082605481)	(10, 39.15414389516223)	(11, 39.08525597915365)	(12, 39.058282011130906)	(13, 38.960075694988035)	(14, 38.92882558607246)	(15, 38.666014216460496)	(16, 38.87927239775362)	(17, 38.85178712224968)	(18, 38.80330384936968)	(19, 38.78630818358702)	(20, 38.72675752388763)	(21, 38.84750916757918)	(22, 38.836628599859665)	(23, 38.8722432980026)	(24, 38.82604140178696)	(25, 38.78282768649813)	(26, 38.711090219079445)	(27, 38.62958968437068)	(28, 38.60647721344002)	(29, 38.51539004577477)	(30, 38.43419219855104)	(31, 38.40932292390918)	(32, 38.312913136764884)	(33, 38.19153968741142)	(34, 38.123504033521456)	(35, 38.023725776732505)	(36, 37.861973119814955)	(37, 37.753885630947)	(38, 37.64767765110349)	(39, 35.840094633821195)	(40, 36.516589301413084)	(41, 36.871779276885036)	(42, 37.140117634092086)	(43, 37.139066866294264)	(44, 37.11542017025497)	(45, 36.95969467459191)	(46, 36.86677191412303)	(47, 36.68637513902464)	(48, 36.51719089927712)	(49, 36.3478680542465)	(50, 36.204949720674364)	(51, 35.989952669907744)	(52, 35.80978189657024)	(53, 35.59254658592758)	(54, 35.42317271853828)	(55, 35.22398257475087)	(56, 35.038026482722685)	(57, 34.805295906271986)	(58, 34.54208535298794)	(59, 34.36373305129175)	(60, 34.15298612997923)	(61, 33.85354474860744)	(62, 33.65742445838503)	(63, 32.159530837065375)
