Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039508_pass_1P	(2.0, 1412.0)	(3.0, 631.0)	(4.0, 1030.0)	(5.0, 1637.0)	(6.0, 3009.0)	(7.0, 5227.0)	(8.0, 7126.0)	(9.0, 9091.0)	(10.0, 10181.0)	(11.0, 11910.0)	(12.0, 12454.0)	(13.0, 12902.0)	(14.0, 14149.0)	(15.0, 14640.0)	(16.0, 15716.0)	(17.0, 15992.0)	(18.0, 16820.0)	(19.0, 17815.0)	(20.0, 19307.0)	(21.0, 21486.0)	(22.0, 24097.0)	(23.0, 28251.0)	(24.0, 34266.0)	(25.0, 42513.0)	(26.0, 53598.0)	(27.0, 68130.0)	(28.0, 88216.0)	(29.0, 113770.0)	(30.0, 148389.0)	(31.0, 193723.0)	(32.0, 253825.0)	(33.0, 334316.0)	(34.0, 487231.0)	(35.0, 751474.0)	(36.0, 1286397.0)	(37.0, 2306108.0)	(38.0, 3800757.0)	(39.0, 5507665.0)	(40.0, 7042149.0)
SRR1039508_pass_2P	(2.0, 35592.0)	(3.0, 5903.0)	(4.0, 6079.0)	(5.0, 6292.0)	(6.0, 6979.0)	(7.0, 6826.0)	(8.0, 8072.0)	(9.0, 8968.0)	(10.0, 9512.0)	(11.0, 10472.0)	(12.0, 10756.0)	(13.0, 11319.0)	(14.0, 12042.0)	(15.0, 12203.0)	(16.0, 13102.0)	(17.0, 14020.0)	(18.0, 15159.0)	(19.0, 17331.0)	(20.0, 20589.0)	(21.0, 23510.0)	(22.0, 27963.0)	(23.0, 32410.0)	(24.0, 38722.0)	(25.0, 47371.0)	(26.0, 58151.0)	(27.0, 73229.0)	(28.0, 91810.0)	(29.0, 108427.0)	(30.0, 139445.0)	(31.0, 166001.0)	(32.0, 218884.0)	(33.0, 308016.0)	(34.0, 468021.0)	(35.0, 771183.0)	(36.0, 1379799.0)	(37.0, 2509509.0)	(38.0, 4155924.0)	(39.0, 5636487.0)	(40.0, 6291332.0)
SRR1039509_pass_1P	(2.0, 1520.0)	(3.0, 742.0)	(4.0, 1196.0)	(5.0, 1921.0)	(6.0, 3551.0)	(7.0, 5751.0)	(8.0, 7907.0)	(9.0, 10006.0)	(10.0, 11024.0)	(11.0, 13062.0)	(12.0, 13491.0)	(13.0, 13669.0)	(14.0, 14493.0)	(15.0, 15388.0)	(16.0, 16147.0)	(17.0, 16579.0)	(18.0, 17159.0)	(19.0, 18074.0)	(20.0, 19481.0)	(21.0, 21219.0)	(22.0, 24035.0)	(23.0, 27561.0)	(24.0, 33059.0)	(25.0, 40550.0)	(26.0, 51137.0)	(27.0, 64442.0)	(28.0, 82750.0)	(29.0, 105679.0)	(30.0, 137721.0)	(31.0, 177483.0)	(32.0, 230519.0)	(33.0, 303863.0)	(34.0, 439706.0)	(35.0, 675576.0)	(36.0, 1158119.0)	(37.0, 2068788.0)	(38.0, 3422312.0)	(39.0, 5013905.0)	(40.0, 6567102.0)
SRR1039509_pass_2P	(2.0, 96849.0)	(3.0, 8794.0)	(4.0, 8481.0)	(5.0, 8267.0)	(6.0, 8748.0)	(7.0, 8682.0)	(8.0, 9659.0)	(9.0, 10340.0)	(10.0, 10642.0)	(11.0, 11505.0)	(12.0, 11780.0)	(13.0, 11999.0)	(14.0, 12609.0)	(15.0, 12759.0)	(16.0, 13705.0)	(17.0, 14406.0)	(18.0, 16170.0)	(19.0, 21278.0)	(20.0, 28801.0)	(21.0, 34455.0)	(22.0, 39510.0)	(23.0, 44975.0)	(24.0, 52345.0)	(25.0, 61260.0)	(26.0, 72353.0)	(27.0, 87064.0)	(28.0, 104718.0)	(29.0, 121846.0)	(30.0, 152213.0)	(31.0, 180968.0)	(32.0, 235008.0)	(33.0, 321416.0)	(34.0, 475516.0)	(35.0, 748895.0)	(36.0, 1286235.0)	(37.0, 2260174.0)	(38.0, 3680062.0)	(39.0, 4985704.0)	(40.0, 5576496.0)
SRR1039510_pass_1P	(2.0, 1865.0)	(3.0, 863.0)	(4.0, 1351.0)	(5.0, 2213.0)	(6.0, 3729.0)	(7.0, 5889.0)	(8.0, 8273.0)	(9.0, 10446.0)	(10.0, 11809.0)	(11.0, 13349.0)	(12.0, 14070.0)	(13.0, 14430.0)	(14.0, 15289.0)	(15.0, 16148.0)	(16.0, 16730.0)	(17.0, 17668.0)	(18.0, 18241.0)	(19.0, 19272.0)	(20.0, 20699.0)	(21.0, 22479.0)	(22.0, 25284.0)	(23.0, 28755.0)	(24.0, 35112.0)	(25.0, 42883.0)	(26.0, 53303.0)	(27.0, 67516.0)	(28.0, 86536.0)	(29.0, 111609.0)	(30.0, 144033.0)	(31.0, 186333.0)	(32.0, 243264.0)	(33.0, 318546.0)	(34.0, 461185.0)	(35.0, 709102.0)	(36.0, 1219617.0)	(37.0, 2203677.0)	(38.0, 3699780.0)	(39.0, 5482603.0)	(40.0, 7245429.0)
SRR1039510_pass_2P	(2.0, 82393.0)	(3.0, 8321.0)	(4.0, 8085.0)	(5.0, 7912.0)	(6.0, 8790.0)	(7.0, 8715.0)	(8.0, 9741.0)	(9.0, 10677.0)	(10.0, 10962.0)	(11.0, 11955.0)	(12.0, 12495.0)	(13.0, 12951.0)	(14.0, 13782.0)	(15.0, 13976.0)	(16.0, 14960.0)	(17.0, 15884.0)	(18.0, 17700.0)	(19.0, 22396.0)	(20.0, 29849.0)	(21.0, 35767.0)	(22.0, 40753.0)	(23.0, 46702.0)	(24.0, 54871.0)	(25.0, 63754.0)	(26.0, 75713.0)	(27.0, 91446.0)	(28.0, 111117.0)	(29.0, 129755.0)	(30.0, 163002.0)	(31.0, 192449.0)	(32.0, 249134.0)	(33.0, 340114.0)	(34.0, 501878.0)	(35.0, 790263.0)	(36.0, 1359459.0)	(37.0, 2425251.0)	(38.0, 4000622.0)	(39.0, 5465865.0)	(40.0, 6139921.0)
SRR1039511_pass_1P	(2.0, 1706.0)	(3.0, 815.0)	(4.0, 1314.0)	(5.0, 2078.0)	(6.0, 3791.0)	(7.0, 6110.0)	(8.0, 8481.0)	(9.0, 10707.0)	(10.0, 11940.0)	(11.0, 13350.0)	(12.0, 14031.0)	(13.0, 14691.0)	(14.0, 15882.0)	(15.0, 16494.0)	(16.0, 17327.0)	(17.0, 18019.0)	(18.0, 18893.0)	(19.0, 19966.0)	(20.0, 21213.0)	(21.0, 23160.0)	(22.0, 26141.0)	(23.0, 29941.0)	(24.0, 35933.0)	(25.0, 44287.0)	(26.0, 55106.0)	(27.0, 70056.0)	(28.0, 88879.0)	(29.0, 114335.0)	(30.0, 147575.0)	(31.0, 190809.0)	(32.0, 247199.0)	(33.0, 324707.0)	(34.0, 470060.0)	(35.0, 713757.0)	(36.0, 1215078.0)	(37.0, 2145008.0)	(38.0, 3552635.0)	(39.0, 5249992.0)	(40.0, 6955667.0)
SRR1039511_pass_2P	(2.0, 35172.0)	(3.0, 5979.0)	(4.0, 6175.0)	(5.0, 6279.0)	(6.0, 7139.0)	(7.0, 6863.0)	(8.0, 8401.0)	(9.0, 9289.0)	(10.0, 9733.0)	(11.0, 10642.0)	(12.0, 11482.0)	(13.0, 11745.0)	(14.0, 12540.0)	(15.0, 13042.0)	(16.0, 13983.0)	(17.0, 14417.0)	(18.0, 15814.0)	(19.0, 17756.0)	(20.0, 20832.0)	(21.0, 23958.0)	(22.0, 28005.0)	(23.0, 33315.0)	(24.0, 39469.0)	(25.0, 47525.0)	(26.0, 58548.0)	(27.0, 72981.0)	(28.0, 91185.0)	(29.0, 108120.0)	(30.0, 137978.0)	(31.0, 162799.0)	(32.0, 213279.0)	(33.0, 296924.0)	(34.0, 450634.0)	(35.0, 729197.0)	(36.0, 1297631.0)	(37.0, 2350379.0)	(38.0, 3915925.0)	(39.0, 5409790.0)	(40.0, 6212208.0)
SRR1039512_pass_1P	(2.0, 2470.0)	(3.0, 1300.0)	(4.0, 2287.0)	(5.0, 3390.0)	(6.0, 6061.0)	(7.0, 10067.0)	(8.0, 13237.0)	(9.0, 16972.0)	(10.0, 17189.0)	(11.0, 19278.0)	(12.0, 21172.0)	(13.0, 22931.0)	(14.0, 25198.0)	(15.0, 26611.0)	(16.0, 29342.0)	(17.0, 32679.0)	(18.0, 36212.0)	(19.0, 41043.0)	(20.0, 46711.0)	(21.0, 53950.0)	(22.0, 61699.0)	(23.0, 71209.0)	(24.0, 82808.0)	(25.0, 97195.0)	(26.0, 115984.0)	(27.0, 140478.0)	(28.0, 170938.0)	(29.0, 211524.0)	(30.0, 264742.0)	(31.0, 333306.0)	(32.0, 429190.0)	(33.0, 563829.0)	(34.0, 787036.0)	(35.0, 1125609.0)	(36.0, 1749336.0)	(37.0, 2900795.0)	(38.0, 4640161.0)	(39.0, 6796798.0)	(40.0, 7147373.0)
SRR1039512_pass_2P	(2.0, 74481.0)	(3.0, 16069.0)	(4.0, 17100.0)	(5.0, 19010.0)	(6.0, 21149.0)	(7.0, 22102.0)	(8.0, 24468.0)	(9.0, 26540.0)	(10.0, 27496.0)	(11.0, 29555.0)	(12.0, 31902.0)	(13.0, 33675.0)	(14.0, 35878.0)	(15.0, 37167.0)	(16.0, 38626.0)	(17.0, 41013.0)	(18.0, 43270.0)	(19.0, 47499.0)	(20.0, 51809.0)	(21.0, 58242.0)	(22.0, 65791.0)	(23.0, 74249.0)	(24.0, 85406.0)	(25.0, 99279.0)	(26.0, 117678.0)	(27.0, 139554.0)	(28.0, 166523.0)	(29.0, 200162.0)	(30.0, 244696.0)	(31.0, 303132.0)	(32.0, 386614.0)	(33.0, 508165.0)	(34.0, 713891.0)	(35.0, 1032040.0)	(36.0, 1621624.0)	(37.0, 2742353.0)	(38.0, 4503919.0)	(39.0, 6674333.0)	(40.0, 7741650.0)
