Sample	Unique Reads	Duplicate Reads
SRR1039508_pass_1P	11374314.0	11403096.0
SRR1039508_pass_2P	11877126.0	10900284.0
SRR1039509_pass_1P	10636374.0	10210313.0
SRR1039509_pass_2P	11199521.0	9647166.0
SRR1039510_pass_1P	11414907.0	11184473.0
SRR1039510_pass_2P	11995412.0	10603968.0
SRR1039511_pass_1P	11082065.0	10835068.0
SRR1039511_pass_2P	11546920.0	10370213.0
SRR1039512_pass_1P	12232014.0	15886096.0
SRR1039512_pass_2P	12437550.0	15680560.0
SRR1039513_pass_1P	8642448.0	8167106.0
SRR1039513_pass_2P	8797243.0	8012311.0
SRR1039514_pass_1P	17044937.0	22878636.0
SRR1039514_pass_2P	17480871.0	22442702.0
SRR1039515_pass_1P	11683893.0	12417310.0
SRR1039515_pass_2P	11843416.0	12257787.0
SRR1039516_pass_1P	12217059.0	15012150.0
SRR1039516_pass_2P	12462439.0	14766770.0
SRR1039517_pass_1P	14730403.0	19556755.0
SRR1039517_pass_2P	15001873.0	19285285.0
SRR1039518_pass_1P	13673329.0	16752384.0
SRR1039518_pass_2P	13909336.0	16516377.0
SRR1039519_pass_1P	11026671.0	11069814.0
SRR1039519_pass_2P	11220543.0	10875942.0
SRR1039520_pass_1P	10657737.0	10609297.0
SRR1039520_pass_2P	10791971.0	10475063.0
SRR1039521_pass_1P	11195232.0	12279327.0
SRR1039521_pass_2P	11420690.0	12053869.0
SRR1039522_pass_1P	12902717.0	15214596.0
SRR1039522_pass_2P	13120121.0	14997192.0
SRR1039523_pass_1P	13736506.0	17353684.0
SRR1039523_pass_2P	13874395.0	17215795.0
