Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039508_pass_1P	(1.0, 37.70995959548956)	(2.0, 12.635131507974066)	(3.0, 6.69403221530884)	(4.0, 4.148455168554407)	(5.0, 3.0693421757496346)	(6.0, 2.375695593041418)	(7.0, 1.9045478908041549)	(8.0, 1.6632764690287831)	(9.0, 1.371247963200929)	('>10', 16.68933966304235)	('>50', 4.994767020210413)	('>100', 5.761324247809997)	('>500', 0.7038248783082764)	('>1k', 0.279055611477105)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039508_pass_2P	(1.0, 39.91201935162659)	(2.0, 12.736309002586726)	(3.0, 6.647187931650164)	(4.0, 4.307688399397165)	(5.0, 2.9777725263030392)	(6.0, 2.403668176849417)	(7.0, 1.8551845423535094)	(8.0, 1.5397685074289216)	(9.0, 1.3345949551665288)	('>10', 16.226223514249448)	('>50', 4.516491748709849)	('>100', 4.828571700148075)	('>500', 0.5376407404656478)	('>1k', 0.17687890306495846)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039509_pass_1P	(1.0, 38.50188097758295)	(2.0, 12.875220680248026)	(3.0, 6.882379217939862)	(4.0, 4.354534448958807)	(5.0, 3.185530419315805)	(6.0, 2.5782985106625125)	(7.0, 1.9874529787487445)	(8.0, 1.671572621924102)	(9.0, 1.3990688429382439)	('>10', 16.232501474139983)	('>50', 4.566183937170268)	('>100', 5.027041856226836)	('>500', 0.5436938836085636)	('>1k', 0.19464015053538786)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039509_pass_2P	(1.0, 41.2500548921452)	(2.0, 13.119618031460224)	(3.0, 6.772684864470724)	(4.0, 4.3851434461698435)	(5.0, 3.0772966667365313)	(6.0, 2.37849348261443)	(7.0, 1.915198735481391)	(8.0, 1.509474324561573)	(9.0, 1.4177453075576005)	('>10', 15.503682409308391)	('>50', 4.07143241985651)	('>100', 4.152711473126793)	('>500', 0.37110260266441397)	('>1k', 0.07536134384638786)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039510_pass_1P	(1.0, 38.33643450344299)	(2.0, 12.641545068725513)	(3.0, 6.584732630794695)	(4.0, 4.288258417387278)	(5.0, 3.0471875367507626)	(6.0, 2.3447583096931353)	(7.0, 1.8712599069074076)	(8.0, 1.5361693930006202)	(9.0, 1.3249066744862525)	('>10', 16.27072600403752)	('>50', 4.8075975163752265)	('>100', 5.78993101472026)	('>500', 0.8032330678939273)	('>1k', 0.3532599557844155)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039510_pass_2P	(1.0, 41.044425799654725)	(2.0, 12.646575839098148)	(3.0, 6.521921242287782)	(4.0, 4.172291392203705)	(5.0, 2.9454377934921046)	(6.0, 2.328192989367267)	(7.0, 1.710008185816939)	(8.0, 1.5323248130265967)	(9.0, 1.2813671091971839)	('>10', 15.719595205018225)	('>50', 4.379968122568059)	('>100', 4.8885010124145705)	('>500', 0.5905651016571382)	('>1k', 0.2388253941977035)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039511_pass_1P	(1.0, 38.02356304771815)	(2.0, 12.81090051537511)	(3.0, 7.025924684140684)	(4.0, 4.342885790664871)	(5.0, 3.227173433767617)	(6.0, 2.4855965010758596)	(7.0, 1.9379546725558676)	(8.0, 1.6656147182573526)	(9.0, 1.4095598429982985)	('>10', 16.69859940122756)	('>50', 4.621004426383707)	('>100', 4.963986791861206)	('>500', 0.5981099450621754)	('>1k', 0.1891262289116485)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039511_pass_2P	(1.0, 40.19212318701462)	(2.0, 12.944427304880138)	(3.0, 6.8176714282128525)	(4.0, 4.354889510535168)	(5.0, 3.243535401635588)	(6.0, 2.446995227735421)	(7.0, 2.018421976133109)	(8.0, 1.634863351878211)	(9.0, 1.382176392584401)	('>10', 15.921881176439653)	('>50', 4.143086055861747)	('>100', 4.3573120820509)	('>500', 0.42393651572669894)	('>1k', 0.11868038931142953)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039512_pass_1P	(1.0, 31.600085659067766)	(2.0, 11.624480676421358)	(3.0, 6.407028336747897)	(4.0, 4.293026892246614)	(5.0, 3.235597060171517)	(6.0, 2.566510153514644)	(7.0, 2.062807608013624)	(8.0, 1.7703629660664406)	(9.0, 1.5045800494359374)	('>10', 18.526573826253586)	('>50', 6.045593253931441)	('>100', 8.255590638474331)	('>500', 1.4205512822517885)	('>1k', 0.6623158927751692)	('>5k', 0.02489570462804234)	('>10k+', 0.0)
SRR1039512_pass_2P	(1.0, 32.472973017420436)	(2.0, 11.485900247897145)	(3.0, 6.468240112414532)	(4.0, 4.289949635514848)	(5.0, 3.1812413396044135)	(6.0, 2.383529360971216)	(7.0, 1.957741045523741)	(8.0, 1.6163641618621136)	(9.0, 1.4489444320415197)	('>10', 18.20652493218153)	('>50', 6.087057291791097)	('>100', 8.267822969217754)	('>500', 1.4340691592279664)	('>1k', 0.679339833040909)	('>5k', 0.020302461290830652)	('>10k+', 0.0)
