Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR1039508_pass_1P	(36, 125.0)	(37, 840.0)	(38, 826.0)	(39, 807.0)	(40, 873.0)	(41, 1523.0)	(42, 810.0)	(43, 790.0)	(44, 743.0)	(45, 790.0)	(46, 773.0)	(47, 762.0)	(48, 741.0)	(49, 777.0)	(50, 859.0)	(51, 893.0)	(52, 1422.0)	(53, 1921.0)	(54, 1741.0)	(55, 1046.0)	(56, 1844.0)	(57, 5702.0)	(58, 33851.0)	(59, 173192.0)	(60, 582020.0)	(61, 0.0)	(62, 0.0)	(63, 21961739.0)
SRR1039508_pass_2P	(36, 868.0)	(37, 877.0)	(38, 826.0)	(39, 873.0)	(40, 791.0)	(41, 801.0)	(42, 801.0)	(43, 828.0)	(44, 724.0)	(45, 802.0)	(46, 784.0)	(47, 788.0)	(48, 774.0)	(49, 785.0)	(50, 885.0)	(51, 883.0)	(52, 961.0)	(53, 1314.0)	(54, 1248.0)	(55, 939.0)	(56, 1680.0)	(57, 3553.0)	(58, 11501.0)	(59, 61132.0)	(60, 371905.0)	(61, 0.0)	(62, 0.0)	(63, 22310087.0)
SRR1039509_pass_1P	(36, 162.0)	(37, 721.0)	(38, 692.0)	(39, 763.0)	(40, 691.0)	(41, 1512.0)	(42, 717.0)	(43, 834.0)	(44, 716.0)	(45, 838.0)	(46, 770.0)	(47, 667.0)	(48, 660.0)	(49, 725.0)	(50, 755.0)	(51, 1003.0)	(52, 1531.0)	(53, 1899.0)	(54, 1834.0)	(55, 990.0)	(56, 2083.0)	(57, 5593.0)	(58, 31605.0)	(59, 160113.0)	(60, 533949.0)	(61, 0.0)	(62, 0.0)	(63, 20094864.0)
SRR1039509_pass_2P	(36, 724.0)	(37, 693.0)	(38, 759.0)	(39, 684.0)	(40, 710.0)	(41, 823.0)	(42, 703.0)	(43, 808.0)	(44, 687.0)	(45, 920.0)	(46, 814.0)	(47, 661.0)	(48, 669.0)	(49, 757.0)	(50, 755.0)	(51, 986.0)	(52, 1141.0)	(53, 1354.0)	(54, 1501.0)	(55, 944.0)	(56, 2201.0)	(57, 3459.0)	(58, 10471.0)	(59, 55257.0)	(60, 337003.0)	(61, 0.0)	(62, 0.0)	(63, 20421203.0)
SRR1039510_pass_1P	(36, 155.0)	(37, 681.0)	(38, 726.0)	(39, 677.0)	(40, 1510.0)	(41, 908.0)	(42, 724.0)	(43, 807.0)	(44, 686.0)	(45, 944.0)	(46, 932.0)	(47, 860.0)	(48, 702.0)	(49, 1139.0)	(50, 708.0)	(51, 1018.0)	(52, 1511.0)	(53, 2166.0)	(54, 1545.0)	(55, 938.0)	(56, 1659.0)	(57, 5772.0)	(58, 33577.0)	(59, 172208.0)	(60, 576675.0)	(61, 0.0)	(62, 0.0)	(63, 21790152.0)
SRR1039510_pass_2P	(36, 692.0)	(37, 717.0)	(38, 671.0)	(39, 768.0)	(40, 822.0)	(41, 900.0)	(42, 767.0)	(43, 791.0)	(44, 676.0)	(45, 1027.0)	(46, 966.0)	(47, 811.0)	(48, 698.0)	(49, 1207.0)	(50, 694.0)	(51, 981.0)	(52, 912.0)	(53, 1237.0)	(54, 1105.0)	(55, 882.0)	(56, 1638.0)	(57, 3333.0)	(58, 11433.0)	(59, 60801.0)	(60, 366401.0)	(61, 0.0)	(62, 0.0)	(63, 22138450.0)
SRR1039511_pass_1P	(36, 342.0)	(37, 258.0)	(38, 251.0)	(39, 17.0)	(40, 577.0)	(41, 284.0)	(42, 301.0)	(43, 298.0)	(44, 291.0)	(45, 286.0)	(46, 304.0)	(47, 284.0)	(48, 292.0)	(49, 338.0)	(50, 363.0)	(51, 469.0)	(52, 933.0)	(53, 1308.0)	(54, 1165.0)	(55, 545.0)	(56, 1277.0)	(57, 5053.0)	(58, 32603.0)	(59, 166478.0)	(60, 559867.0)	(61, 0.0)	(62, 0.0)	(63, 21142949.0)
SRR1039511_pass_2P	(36, 331.0)	(37, 288.0)	(38, 302.0)	(39, 315.0)	(40, 296.0)	(41, 278.0)	(42, 308.0)	(43, 309.0)	(44, 289.0)	(45, 326.0)	(46, 333.0)	(47, 286.0)	(48, 303.0)	(49, 339.0)	(50, 375.0)	(51, 415.0)	(52, 503.0)	(53, 789.0)	(54, 779.0)	(55, 534.0)	(56, 1267.0)	(57, 2878.0)	(58, 10334.0)	(59, 56268.0)	(60, 350697.0)	(61, 0.0)	(62, 0.0)	(63, 21487991.0)
SRR1039512_pass_1P	(36, 48.0)	(37, 151.0)	(38, 178.0)	(39, 156.0)	(40, 179.0)	(41, 306.0)	(42, 182.0)	(43, 146.0)	(44, 165.0)	(45, 140.0)	(46, 198.0)	(47, 155.0)	(48, 190.0)	(49, 170.0)	(50, 205.0)	(51, 792.0)	(52, 850.0)	(53, 1858.0)	(54, 1298.0)	(55, 634.0)	(56, 1588.0)	(57, 6666.0)	(58, 41967.0)	(59, 222409.0)	(60, 719500.0)	(61, 0.0)	(62, 0.0)	(63, 27117979.0)
SRR1039512_pass_2P	(36, 154.0)	(37, 174.0)	(38, 139.0)	(39, 154.0)	(40, 162.0)	(41, 138.0)	(42, 168.0)	(43, 133.0)	(44, 132.0)	(45, 162.0)	(46, 175.0)	(47, 147.0)	(48, 172.0)	(49, 170.0)	(50, 202.0)	(51, 260.0)	(52, 379.0)	(53, 701.0)	(54, 701.0)	(55, 490.0)	(56, 1559.0)	(57, 3284.0)	(58, 12260.0)	(59, 72632.0)	(60, 457431.0)	(61, 0.0)	(62, 0.0)	(63, 27566031.0)
