Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1039508_pass_1P	50.06318434251208	50.0	62.86990329453612	63	9.090909090909092	22.77741
SRR1039508_pass_2P	47.85568144302934	50.0	62.923206984463995	63	9.090909090909092	22.77741
SRR1039509_pass_1P	48.97811328865955	49.0	62.868434874088145	63	0.0	20.846687
SRR1039509_pass_2P	46.27673697807542	49.0	62.92313752300306	63	9.090909090909092	20.846687
SRR1039510_pass_1P	49.4901784479294	49.0	62.86979545456557	63	0.0	22.59938
SRR1039510_pass_2P	46.92150323570845	49.0	62.923781316124604	63	9.090909090909092	22.59938
SRR1039511_pass_1P	49.436520982875344	49.0	62.87771000887753	63	0.0	21.917133
SRR1039511_pass_2P	47.31555485384074	49.0	62.932585845055556	63	9.090909090909092	21.917133
SRR1039512_pass_1P	56.49773967556206	49.0	62.87859518296216	63	9.090909090909092	28.118109999999998
SRR1039512_pass_2P	55.76676550909653	49.0	62.93504520751928	63	9.090909090909092	28.118109999999998
SRR1039513_pass_1P	48.58609928415113	48.0	62.87820283631559	63	0.0	16.809554
SRR1039513_pass_2P	47.66522523201717	48.0	62.93708090054025	63	0.0	16.809554
SRR1039514_pass_1P	57.306085275739576	48.0	62.87779250118721	63	9.090909090909092	39.923573
SRR1039514_pass_2P	56.21416265932204	48.0	62.93583452563226	63	9.090909090909092	39.923573
SRR1039515_pass_1P	51.521538678260505	49.0	62.87795887201149	63	10.0	24.101202999999998
SRR1039515_pass_2P	50.85965079597749	49.0	62.935116143372596	63	10.0	24.101202999999998
SRR1039516_pass_1P	55.13252518065567	49.0	62.8778682847526	63	10.0	27.229208999999997
SRR1039516_pass_2P	54.231358967016014	49.0	62.93537623513044	63	10.0	27.229208999999997
SRR1039517_pass_1P	57.03813387793037	49.0	62.87914723057536	63	18.181818181818183	34.287158
SRR1039517_pass_2P	56.24637970352794	49.0	62.9354174819622	63	18.181818181818183	34.287158
SRR1039518_pass_1P	55.05995824479131	49.0	62.87929176877466	63	18.181818181818183	30.425713
SRR1039518_pass_2P	54.28427524456881	49.0	62.93469990333505	63	18.181818181818183	30.425713
SRR1039519_pass_1P	50.09762822860993	49.0	62.87895875746754	63	10.0	22.096484999999998
SRR1039519_pass_2P	49.2202371140017	49.0	62.93476636668683	63	0.0	22.096484999999998
SRR1039520_pass_1P	49.886116458054566	49.0	62.879434903804636	63	0.0	21.267034
SRR1039520_pass_2P	49.25493180355798	49.0	62.93572408827672	63	0.0	21.267034
SRR1039521_pass_1P	52.309088321119425	49.0	62.87792550224266	63	10.0	23.474559
SRR1039521_pass_2P	51.348651918434705	49.0	62.93500636156786	63	10.0	23.474559
SRR1039522_pass_1P	54.11113290012153	49.0	62.878151941474634	63	10.0	28.117313
SRR1039522_pass_2P	53.33793026859284	49.0	62.93456469329057	63	10.0	28.117313
SRR1039523_pass_1P	55.81723550656512	49.0	62.87834252540753	63	9.090909090909092	31.09019
SRR1039523_pass_2P	55.37372143266252	49.0	62.935806793075244	63	9.090909090909092	31.09019
