Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51
SRR1039508_pass_1 - illumina_universal_adapter	(1, 0.004909415399807137)	(2, 0.00929998494475011)	(3, 0.015700537171141653)	(4, 0.021734845264687906)	(5, 0.027485750160199107)	(6, 0.03382090164858256)	(7, 0.0394976857076846)	(8, 0.04477334524033703)	(9, 0.04999232413338245)	(10, 0.055830430012904435)	(11, 0.06135025230078706)	(12, 0.06634250863540445)	(13, 0.07092928039437169)	(14, 0.07555093254694323)	(15, 0.08015078445351209)	(16, 0.08444979296524374)	(17, 0.08828227621251769)	(18, 0.09249408374023856)	(19, 0.09603880374027693)	(20, 0.09938732152629103)	(21, 0.10293640157552994)	(22, 0.10611487744272302)	(23, 0.10956367636034953)	(24, 0.11281191301475123)	(25, 0.1161909511451691)	(26, 0.11938686720916433)	(27, 0.12252174258435201)	(28, 0.12588334051796773)	(29, 0.12884381392513386)	(30, 0.13181300743070104)	(31, 0.13486504187107848)	(32, 0.13782987532744514)	(33, 0.14075546834100694)	(34, 0.14385982337179085)	(35, 0.14702085904218176)	(36, 0.14996389225254572)	(37, 0.15283280462650053)	(38, 0.1559327996080839)	(39, 0.15933363798450448)	(40, 0.1624641533104916)	(41, 0.16567750957128902)	(42, 0.16886470553688315)	(43, 0.17225682381490265)	(44, 0.17546582002649952)	(45, 0.17874021697610445)	(46, 0.18195793328610238)	(47, 0.1854982932369402)	(48, 0.1891040539257861)	(49, 0.19317197982988918)	(50, 0.19681698096153996)	(51, 0.2009023470624452)	(52, 0.2046301891289062)
SRR1039508_pass_1 - polya	(1, 0.014802367035830578)	(2, 0.01817704511704792)	(3, 0.023435264452898192)	(4, 0.02834467985270533)	(5, 0.031148191488652034)	(6, 0.03420022592902947)	(7, 0.036920896630165935)	(8, 0.0401429729893644)	(9, 0.04969148073854525)	(10, 0.05267375439171406)	(11, 0.05584787020970659)	(12, 0.05880834361687271)	(13, 0.06131973195638329)	(14, 0.06453744826638122)	(15, 0.06768540378917051)	(16, 0.0705979166551307)	(17, 0.07340578834027794)	(18, 0.07608721859860955)	(19, 0.0790171716613719)	(20, 0.08155036024688517)	(21, 0.08448467335884804)	(22, 0.08773291001324976)	(23, 0.09050154125559215)	(24, 0.09350561515476365)	(25, 0.0963570873319163)	(26, 0.10004568895557245)	(27, 0.10338984669238602)	(28, 0.10788505741814193)	(29, 0.11127717569616143)	(30, 0.11470853441698578)	(31, 0.1178695700873767)	(32, 0.12118756752898703)	(33, 0.12518573264588148)	(34, 0.12866505190791175)	(35, 0.13209205057953555)	(36, 0.13520076565952)	(37, 0.13830948073950447)	(38, 0.14171031911592502)	(39, 0.145268119263565)	(40, 0.14877795886999906)	(41, 0.15356529289219112)	(42, 0.15865347030922036)	(43, 0.16314868103497626)	(44, 0.16671520128101733)	(45, 0.17121913210517434)	(46, 0.17474641190841053)	(47, 0.1790367003217411)	(48, 0.18340546962068138)	(49, 0.18837592570929607)	(50, 0.19277521535264014)	(51, 0.20173511645974818)	(52, 0.4791563269916563)
SRR1039508_pass_2 - illumina_universal_adapter	(1, 0.0038106830012712596)	(2, 0.007433883886919334)	(3, 0.012692103222769606)	(4, 0.01773668014779346)	(5, 0.022598135006394668)	(6, 0.02791303498185195)	(7, 0.03280937023405747)	(8, 0.037474622878634414)	(9, 0.041961113505989245)	(10, 0.0478951404679231)	(11, 0.05345856324781111)	(12, 0.05859906125524683)	(13, 0.06337331512983725)	(14, 0.06820424964403468)	(15, 0.07310930499464129)	(16, 0.07755219512999073)	(17, 0.08175964260851105)	(18, 0.0863028138754729)	(19, 0.09011349687674415)	(20, 0.0938108185988014)	(21, 0.09763022169847374)	(22, 0.1011531414525094)	(23, 0.10486354332216827)	(24, 0.10849546430621741)	(25, 0.11214918553626926)	(26, 0.11586830750432921)	(27, 0.11937814711076326)	(28, 0.12305802863601834)	(29, 0.12635858588082652)	(30, 0.1297289039128433)	(31, 0.1330861417972585)	(32, 0.13661342160049472)	(33, 0.13985729820569587)	(34, 0.14299217358088356)	(35, 0.1463450514160982)	(36, 0.14968920915291176)	(37, 0.15295924605331615)	(38, 0.15630776383933026)	(39, 0.16002688580739022)	(40, 0.16343644428221185)	(41, 0.1669201235934427)	(42, 0.17032532201906378)	(43, 0.17403572388872265)	(44, 0.17751940319995346)	(45, 0.18092460162557458)	(46, 0.18436032039559946)	(47, 0.1882451242332799)	(48, 0.19196860625054038)	(49, 0.19605833240064613)	(50, 0.1999344161399255)	(51, 0.20423342465165714)	(52, 0.20815746893214243)
SRR1039508_pass_2 - polya	(1, 0.016463545781236013)	(2, 0.0197989834196485)	(3, 0.025057202755498775)	(4, 0.029857616925292433)	(5, 0.03260880797083267)	(6, 0.03551696078759231)	(7, 0.0381853108983223)	(8, 0.04149458824153155)	(9, 0.04506982858597369)	(10, 0.05196742642122671)	(11, 0.055625507700479096)	(12, 0.05926614878292932)	(13, 0.06243154450252079)	(14, 0.0668264740966643)	(15, 0.07011831124307139)	(16, 0.07352786971789305)	(17, 0.07686330735630553)	(18, 0.07994586214108675)	(19, 0.08366062405994615)	(20, 0.0868260197795376)	(21, 0.09030969909076841)	(22, 0.09412474214124023)	(23, 0.09707213540080471)	(24, 0.10070841643405441)	(25, 0.10423133618809008)	(26, 0.10851726455222012)	(27, 0.11220586617587627)	(28, 0.1176820879717535)	(29, 0.12171949353145281)	(30, 0.12547349589311704)	(31, 0.12944550071480826)	(32, 0.13320386312567306)	(33, 0.13812635867308182)	(34, 0.14214632403597896)	(35, 0.14581748546283296)	(36, 0.14931860497086594)	(37, 0.1532993298909582)	(38, 0.15721029402384187)	(39, 0.1610820177139207)	(40, 0.16511506322441946)	(41, 0.17010295950983628)	(42, 0.17587566465135018)	(43, 0.18045807636111688)	(44, 0.1847309245776453)	(45, 0.19200784669334522)	(46, 0.4872790986522608)	(47, 0.5817264844343409)	(48, 0.5875776704614646)	(49, 0.5928358897973148)	(50, 0.5984385530200077)	(51, 0.6020748340532573)	(52, 0.6066441656154224)
SRR1039509_pass_1 - illumina_universal_adapter	(1, 0.003507327833572284)	(2, 0.006556150546044148)	(3, 0.010843409771179001)	(4, 0.015031405001024074)	(5, 0.019304483655403243)	(6, 0.023761909729606293)	(7, 0.02787427524875439)	(8, 0.03298873443463742)	(9, 0.10202447973022126)	(10, 0.1088122462652749)	(11, 0.11250864837558962)	(12, 0.11616723563055587)	(13, 0.11945240118895578)	(14, 0.12291246045334245)	(15, 0.12808836877916677)	(16, 0.13141607604983374)	(17, 0.13441763019312)	(18, 0.13775006432070552)	(19, 0.1407468916070732)	(20, 0.14340338519530452)	(21, 0.1464474810508578)	(22, 0.1491276089236819)	(23, 0.15212443621004962)	(24, 0.15504090692880176)	(25, 0.15782502565383422)	(26, 0.16059496380811097)	(27, 0.1634168973884919)	(28, 0.1660024881229448)	(29, 0.16881024113257004)	(30, 0.17162744785603243)	(31, 0.1743217562996122)	(32, 0.17709642131080752)	(33, 0.1798899937496771)	(34, 0.18277337646999933)	(35, 0.18571820833026284)	(36, 0.18828961849396006)	(37, 0.1906105052409735)	(38, 0.19319136911850784)	(39, 0.19605111755423726)	(40, 0.19925592654502164)	(41, 0.20249382353423595)	(42, 0.20563718338507903)	(43, 0.20927213635545244)	(44, 0.21236822763710994)	(45, 0.21641914401631673)	(46, 0.21980830042692498)	(47, 0.2232778134051488)	(48, 0.22710656750918323)	(49, 0.23137019244972526)	(50, 0.23591742880538097)	(51, 0.24101298056358977)	(52, 0.256677784391701)
SRR1039509_pass_1 - polya	(1, 0.018292936274831185)	(2, 0.022485658361594815)	(3, 0.02859748435729423)	(4, 0.03402391609980229)	(5, 0.037209817662912426)	(6, 0.04047607579363809)	(7, 0.04361470878756262)	(8, 0.04716457833340195)	(9, 0.06663450198095483)	(10, 0.07014182981452712)	(11, 0.07362079650658804)	(12, 0.07701940663103342)	(13, 0.07985552078217004)	(14, 0.08390643716137683)	(15, 0.08764065412704004)	(16, 0.09077928712096457)	(17, 0.09395100811331902)	(18, 0.09734016452392728)	(19, 0.10048825123168892)	(20, 0.10342362937811532)	(21, 0.1067135217934338)	(22, 0.11066517417735082)	(23, 0.11368090889139276)	(24, 0.11723550529415065)	(25, 0.1207239257000487)	(26, 0.12466612437012858)	(27, 0.12850905904491872)	(28, 0.13436090791009725)	(29, 0.1384543660015711)	(30, 0.142665995516009)	(31, 0.14663655532760025)	(32, 0.15059766142535438)	(33, 0.15514962463792867)	(34, 0.1589783787419631)	(35, 0.16338380939006197)	(36, 0.16718420235258505)	(37, 0.1709136924613297)	(38, 0.1748937059867581)	(39, 0.1792471412087528)	(40, 0.1854298700582306)	(41, 0.19344661939211014)	(42, 0.20169971157191768)	(43, 0.21223587564339022)	(44, 0.21618280117038868)	(45, 0.22920056512410575)	(46, 0.23668317962618787)	(47, 0.2419536250903834)	(48, 0.24736114940521722)	(49, 0.2533784382625454)	(50, 0.2593342779799323)	(51, 0.27784937652993585)	(52, 0.872847218010724)
SRR1039509_pass_2 - illumina_universal_adapter	(1, 0.002869202149566545)	(2, 0.005270445464195548)	(3, 0.008848676151546248)	(4, 0.012360730842037091)	(5, 0.015872785532527935)	(6, 0.019729900778073736)	(7, 0.0231426914732748)	(8, 0.026928903865042184)	(9, 0.033593772120213236)	(10, 0.037895211916103774)	(11, 0.04166724373711547)	(12, 0.04551490526882415)	(13, 0.04904586738698924)	(14, 0.05266663978660699)	(15, 0.06187455706396387)	(16, 0.06552369060509299)	(17, 0.06872377273895881)	(18, 0.07224055428636822)	(19, 0.07535555299569993)	(20, 0.0783429265682305)	(21, 0.08167536069581603)	(22, 0.08476199826363638)	(23, 0.08803298325128062)	(24, 0.09119525052979795)	(25, 0.0944993235158721)	(26, 0.09764741022363374)	(27, 0.1011830991987174)	(28, 0.10415156534357373)	(29, 0.1074414577588922)	(30, 0.11117567472455542)	(31, 0.11437103000150267)	(32, 0.11824705267472271)	(33, 0.12172601936678364)	(34, 0.12554531975698094)	(35, 0.12939298128868962)	(36, 0.13238508171813876)	(37, 0.13545281185828487)	(38, 0.13892705169342723)	(39, 0.14236347667322108)	(40, 0.1466081941860889)	(41, 0.15102307854802488)	(42, 0.1550976292118245)	(43, 0.16057132952351816)	(44, 0.16428191220458857)	(45, 0.1708900581767369)	(46, 0.17563582252297216)	(47, 0.17988054003583998)	(48, 0.18452704038678547)	(49, 0.1892066287361609)	(50, 0.19439199077582234)	(51, 0.19903376426984926)	(52, 0.20368026462079475)
SRR1039509_pass_2 - polya	(1, 0.019857525914874885)	(2, 0.02373827544501349)	(3, 0.02962321230862197)	(4, 0.035044917194211475)	(5, 0.03853806445702807)	(6, 0.04186577172769504)	(7, 0.045160390999932076)	(8, 0.04903168681623356)	(9, 0.05347493231968092)	(10, 0.06204945076995063)	(11, 0.06604837172305326)	(12, 0.07010401495917863)	(13, 0.07356880108048386)	(14, 0.07807349572387252)	(15, 0.08202042125087099)	(16, 0.08590117078100959)	(17, 0.08959284603440575)	(18, 0.09330815557239472)	(19, 0.09735434509468296)	(20, 0.10086639978517381)	(21, 0.10469042703228967)	(22, 0.10954490908765185)	(23, 0.11291988492750443)	(24, 0.11680063445764303)	(25, 0.1211966113919048)	(26, 0.12587147288436165)	(27, 0.12984675955287148)	(28, 0.13623274324984744)	(29, 0.1408697898869558)	(30, 0.14521849825203195)	(31, 0.14944903519414407)	(32, 0.1538119241299759)	(33, 0.1594274301492264)	(34, 0.16385649508191807)	(35, 0.16832810172687682)	(36, 0.1725397312413147)	(37, 0.17681753675261241)	(38, 0.18112843026234007)	(39, 0.1854298700582306)	(40, 0.19022290297365152)	(41, 0.1958856775620876)	(42, 0.20284361094620945)	(43, 0.20854892724691262)	(44, 0.2138619144233752)	(45, 0.22500784303734211)	(46, 0.9127466172602977)	(47, 1.0445833835758833)	(48, 1.0556962241914203)	(49, 1.0636373438146027)	(50, 1.0702313092159954)	(51, 1.0750337958452534)	(52, 1.0799260927559642)
SRR1039510_pass_1 - illumina_universal_adapter	(1, 0.0038682656022926737)	(2, 0.00717642034814478)	(3, 0.01207739034199975)	(4, 0.01663704278271125)	(5, 0.021244829750148114)	(6, 0.026631520877322637)	(7, 0.031182421585902256)	(8, 0.03572894642841593)	(9, 0.041631989751371605)	(10, 0.046436690691775855)	(11, 0.050615642784750406)	(12, 0.05456267397623003)	(13, 0.05836967745359952)	(14, 0.062146049868507414)	(15, 0.06573863590864575)	(16, 0.06953688765388334)	(17, 0.07275314921235067)	(18, 0.07600004183327959)	(19, 0.07879622024941649)	(20, 0.08135610189799253)	(21, 0.08439732881382217)	(22, 0.08715412443536559)	(23, 0.08981902686952423)	(24, 0.09256269489286983)	(25, 0.09510507307718209)	(26, 0.09777872724347261)	(27, 0.10007605692809214)	(28, 0.10278909388897614)	(29, 0.1054977549837942)	(30, 0.1080532607663043)	(31, 0.1105387526917593)	(32, 0.11308113087607158)	(33, 0.1154834813462737)	(34, 0.11804773886091569)	(35, 0.12097519325903083)	(36, 0.1236313439610576)	(37, 0.12598118403846842)	(38, 0.13007699467619008)	(39, 0.13250560034278785)	(40, 0.13590564827602472)	(41, 0.1390125131828435)	(42, 0.14292891331186156)	(43, 0.14543190870158032)	(44, 0.1480486766090136)	(45, 0.15051228920413892)	(46, 0.15312468124550627)	(47, 0.1558333423403243)	(48, 0.16018732907593655)	(49, 0.1644931812848234)	(50, 0.16776632910214798)	(51, 0.17156020498131966)	(52, 0.18407080606384765)
SRR1039510_pass_1 - polya	(1, 0.018168595905790928)	(2, 0.02191871312430317)	(3, 0.027996791089896524)	(4, 0.03379918949333553)	(5, 0.03719923742657242)	(6, 0.040393619654710035)	(7, 0.043456725900869395)	(8, 0.047049311941007727)	(9, 0.06130588358384656)	(10, 0.06486346269545736)	(11, 0.06843854527133192)	(12, 0.07191735879375576)	(13, 0.07484043732580498)	(14, 0.0789012410349991)	(15, 0.08237130282529105)	(16, 0.08586324394591272)	(17, 0.08896135712059962)	(18, 0.09231764639317708)	(19, 0.09549014929098498)	(20, 0.09856638313534216)	(21, 0.10170387910462254)	(22, 0.1054146135285413)	(23, 0.10835519552485429)	(24, 0.11175086759202522)	(25, 0.11503714300754762)	(26, 0.11918108817199465)	(27, 0.12304060204215543)	(28, 0.12829164132128576)	(29, 0.13227367944129292)	(30, 0.13617695197211313)	(31, 0.14000145891374638)	(32, 0.14399662463195137)	(33, 0.14857815640299257)	(34, 0.15278773955842873)	(35, 0.15742178172226123)	(36, 0.1613206783870155)	(37, 0.16504016454306616)	(38, 0.16878590589551246)	(39, 0.17287734066716817)	(40, 0.17734947578656082)	(41, 0.18348881587707738)	(42, 0.19001760804746273)	(43, 0.1948660676485264)	(44, 0.19879559537574226)	(45, 0.2034952755305639)	(46, 0.2073416618025269)	(47, 0.2119450729038978)	(48, 0.21678040490676365)	(49, 0.2222939961498505)	(50, 0.227908232312454)	(51, 0.24082141307304866)	(52, 0.7688484195181305)
