Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_pass_1	(1, 2.180024600269599e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003444438868425967)	(8, 0.0003967644772490671)	(9, 0.002001262583047492)	(10, 0.005720384551107428)	(11, 0.003134875375187684)	(12, 0.0)	(13, 0.0015303772693892586)	(14, 0.021285760197032367)	(15, 0.20132963188409805)	(16, 0.2405003139017422)	(17, 0.28170713889603816)	(18, 0.28230446563651207)	(19, 0.3176426644068822)	(20, 0.3256825951326765)	(21, 0.2645590653903175)	(22, 0.3266723263011989)	(23, 0.29553721496014845)	(24, 0.16262547513091158)	(25, 0.0401211727433617)	(26, 0.011663131611442357)	(27, 0.0016437385486032779)	(28, 4.796054120593119e-05)	(29, 0.0022236250922749914)	(30, 0.0)	(31, 0.0)	(32, 0.00020056226322480314)	(33, 0.00040548457565014545)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 8.284093481024477e-05)	(40, 0.0)	(41, 0.0)	(42, 4.360049200539199e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.001028971611327251)	(51, 0.0)	(52, 0.00034880393604313587)	(53, 6.104068880754878e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 8.720098401078397e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039508_pass_2	(1, 0.012740063763975537)	(2, 0.01827296619945978)	(3, 0.040631298499824796)	(4, 0.02949573284164768)	(5, 0.026264936384048133)	(6, 0.028758884526756553)	(7, 0.035237917638757804)	(8, 0.029748615695278955)	(9, 10.683690159033231)	(10, 0.03750078317383765)	(11, 0.03028054169774473)	(12, 0.03188067975434262)	(13, 0.026151575104834113)	(14, 0.013507432423270438)	(15, 0.009613908487188932)	(16, 0.014837247429434893)	(17, 0.019764103026044186)	(18, 0.023164941402464764)	(19, 0.020819234932574673)	(20, 0.012038095842688728)	(21, 0.02126395995102967)	(22, 0.01859124979109914)	(23, 0.010429237687689764)	(24, 0.025214164526718187)	(25, 0.018028803444229587)	(26, 0.014558204280600383)	(27, 0.011327407823000839)	(28, 0.019881824354458746)	(29, 0.021412201623848003)	(30, 0.021154958721016193)	(31, 0.017924162263416647)	(32, 0.018443008118280813)	(33, 0.016738228880869982)	(34, 0.017492517392563266)	(35, 0.016899550701289935)	(36, 0.00440800974174513)	(37, 0.010459758032093537)	(38, 0.005995067650741398)	(39, 0.002768631242342391)	(40, 0.00021800246002695993)	(41, 0.0)	(42, 0.0)	(43, 0.03269164890564291)	(44, 0.11206198455225849)	(45, 0.13787783586865107)	(46, 0.14773154706186967)	(47, 0.1975669094240327)	(48, 0.2507420694738088)	(49, 0.2863200709502086)	(50, 0.2917352520572783)	(51, 0.28717900064271484)	(52, 0.3105314241608028)	(53, 0.31667037343516197)	(54, 0.31139907395171007)	(55, 0.3323883508031058)	(56, 0.3144380282444859)	(57, 0.32188935232820737)	(58, 0.23590482204437385)	(59, 0.11931274637275519)	(60, 0.049412437589710735)	(61, 0.010974243837757162)	(62, 0.002040503025852345)	(63, 0.001120532644538574)
SRR1039509_pass_1	(1, 1.8907427674244116e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003876022673220044)	(8, 0.0004301439795890537)	(9, 0.0021412661841081464)	(10, 0.006088191711106606)	(11, 0.0031055449954945965)	(12, 9.453713837122058e-06)	(13, 0.001597677638473628)	(14, 0.02167263897160232)	(15, 0.20194550813168285)	(16, 0.24109333713120532)	(17, 0.2827322197268094)	(18, 0.28280784943750636)	(19, 0.31856652202642055)	(20, 0.32632329422977924)	(21, 0.2653421131234234)	(22, 0.3277933467314517)	(23, 0.29631720651075383)	(24, 0.16305292940576271)	(25, 0.04154907231415145)	(26, 0.011921133148610916)	(27, 0.001630765636903555)	(28, 4.254171226704927e-05)	(29, 0.0021318124702710242)	(30, 0.0)	(31, 0.0)	(32, 0.00025997713052085665)	(33, 0.000316699413543589)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 4.726856918561029e-06)	(39, 0.00012289827988258675)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 9.453713837122058e-06)	(44, 4.726856918561029e-06)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0011675336588845742)	(51, 0.0)	(52, 0.00032142627046215)	(53, 5.672228302273235e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 9.453713837122058e-06)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039509_pass_2	(1, 0.01295158795685722)	(2, 0.01865217740064182)	(3, 0.041799595730835186)	(4, 0.02993991172216556)	(5, 0.026735102731381185)	(6, 0.02902762833688328)	(7, 0.03616045542699188)	(8, 0.030303879704894763)	(9, 10.680782258895908)	(10, 0.03818827704505456)	(11, 0.03104599624110884)	(12, 0.03240260417673586)	(13, 0.026664199877602768)	(14, 0.013499903359410299)	(15, 0.009846042961362624)	(16, 0.014908506721141487)	(17, 0.020306577322138183)	(18, 0.02368628001890932)	(19, 0.021341758987303047)	(20, 0.011935313719366599)	(21, 0.021483564694859878)	(22, 0.018486737408492184)	(23, 0.010252552656358872)	(24, 0.025250869658953016)	(25, 0.018103861998088742)	(26, 0.014719432444399046)	(27, 0.011273553750768054)	(28, 0.020079688190047254)	(29, 0.02120468013666478)	(30, 0.021606462974742464)	(31, 0.017876972865997813)	(32, 0.018515098550003554)	(33, 0.01684651805775151)	(34, 0.017782435727626594)	(35, 0.01694578205304129)	(36, 0.004287259225134853)	(37, 0.010342362937811532)	(38, 0.0059322054327940925)	(39, 0.002543049022185834)	(40, 0.00018434741982388016)	(41, 0.0)	(42, 0.0)	(43, 0.033560684121783306)	(44, 0.11340675119011621)	(45, 0.13843545857389686)	(46, 0.14797425583555301)	(47, 0.1969539472256824)	(48, 0.2510811858001248)	(49, 0.28750634521455604)	(50, 0.29220011413468716)	(51, 0.2881917394677474)	(52, 0.3117503943498556)	(53, 0.3174037152244546)	(54, 0.3122467143263045)	(55, 0.3337208253073272)	(56, 0.3155555141692972)	(57, 0.32258435040719746)	(58, 0.23573780824247564)	(59, 0.12028905486354108)	(60, 0.05054428103017309)	(61, 0.010994669192572954)	(62, 0.0018198399136459965)	(63, 0.0008886491006894735)
SRR1039510_pass_1	(1, 1.7503464263767755e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003500692852753551)	(8, 0.00041570727626448413)	(9, 0.0019035017386847435)	(10, 0.006113084894120888)	(11, 0.0031506235674781955)	(12, 0.0)	(13, 0.0016103187122666336)	(14, 0.021787437142324912)	(15, 0.20461987310951096)	(16, 0.24387576758707613)	(17, 0.28551213320451363)	(18, 0.28579656449879987)	(19, 0.32171367316805133)	(20, 0.3296427424795381)	(21, 0.26855127633292275)	(22, 0.33086798497800185)	(23, 0.2987710073843177)	(24, 0.16539460969440747)	(25, 0.041833279590404934)	(26, 0.012108021404461345)	(27, 0.0016059428462006915)	(28, 4.813452672536132e-05)	(29, 0.002126670908047782)	(30, 0.0)	(31, 0.0)	(32, 0.0002800554282202841)	(33, 0.00038070034773694865)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.00011814838378043234)	(40, 0.0)	(41, 0.0)	(42, 8.751732131883877e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0010808389182876588)	(51, 0.0)	(52, 0.00034569341920941317)	(53, 5.6886258857245206e-05)	(54, 4.375866065941939e-06)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 2.1879330329709693e-05)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039510_pass_2	(1, 0.013455788152771462)	(2, 0.019144414038495983)	(3, 0.04210895915255927)	(4, 0.03055667273847256)	(5, 0.026780300323564668)	(6, 0.02961586153429504)	(7, 0.03672226802538475)	(8, 0.03062231072946169)	(9, 10.678513478039433)	(10, 0.03855575590701442)	(11, 0.03144934941592471)	(12, 0.03283649895882831)	(13, 0.027261645590818277)	(14, 0.013853991964772177)	(15, 0.009950719433951968)	(16, 0.015306779498664902)	(17, 0.02037403240302567)	(18, 0.023984121907427765)	(19, 0.021660537026412595)	(20, 0.012409956163011339)	(21, 0.02196247178496259)	(22, 0.018838103413880047)	(23, 0.01062897867417297)	(24, 0.025839489119387146)	(25, 0.01835238228056049)	(26, 0.015070482731104038)	(27, 0.011552286414086718)	(28, 0.020798491411422034)	(29, 0.02166928875854448)	(30, 0.021791813008390854)	(31, 0.01823423389678006)	(32, 0.018724330896165556)	(33, 0.017210281237349644)	(34, 0.01776601622772427)	(35, 0.017175274308822108)	(36, 0.004380241932007881)	(37, 0.01054146135285413)	(38, 0.006222481545769437)	(39, 0.002699909362686176)	(40, 0.00029755889248405184)	(41, 4.375866065941939e-06)	(42, 4.375866065941939e-06)	(43, 0.03403986212696234)	(44, 0.11480522210605269)	(45, 0.14060532843084636)	(46, 0.14989966795490706)	(47, 0.1996095064640075)	(48, 0.2539621388690723)	(49, 0.29069315862658895)	(50, 0.29528344212976204)	(51, 0.29056625851067663)	(52, 0.31472103919467614)	(53, 0.3214117384095013)	(54, 0.3156793538631174)	(55, 0.33699419747032056)	(56, 0.3187380842432108)	(57, 0.3258269872700367)	(58, 0.2389179113343639)	(59, 0.12146091439235039)	(60, 0.05114074671266343)	(61, 0.011254727521602666)	(62, 0.0020916639795202467)	(63, 0.0009714422666391104)
SRR1039511_pass_1	(1, 9.116336625652724e-06)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003373044551491508)	(8, 0.0005105148510365525)	(9, 0.002078524750648821)	(10, 0.005788873757289479)	(11, 0.0031816014823528005)	(12, 4.558168312826362e-06)	(13, 0.0015315445531096576)	(14, 0.021423391070283904)	(15, 0.20210462482240804)	(16, 0.2406667287489191)	(17, 0.281462335148715)	(18, 0.28234661980140335)	(19, 0.31805986853239787)	(20, 0.3263466185251162)	(21, 0.26439655298549314)	(22, 0.32692094773253233)	(23, 0.29507302573081456)	(24, 0.1640028958954925)	(25, 0.04142007545865315)	(26, 0.012211332910061823)	(27, 0.001586242572863574)	(28, 4.558168312826362e-05)	(29, 0.002178804453531001)	(30, 0.0)	(31, 0.0)	(32, 0.000264373762143929)	(33, 0.0004102351481543726)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.00015953589094892267)	(40, 0.0)	(41, 0.0)	(42, 4.558168312826362e-06)	(43, 4.558168312826362e-06)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.001157774751457896)	(51, 0.0)	(52, 0.0003464207917748035)	(53, 6.381435637956907e-05)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 1.3674504938479085e-05)	(61, 0.0)	(62, 0.0)	(63, 0.0)
SRR1039511_pass_2	(1, 0.01326882795863754)	(2, 0.018952863844732014)	(3, 0.04157961134960208)	(4, 0.030120376211156603)	(5, 0.026843053194234447)	(6, 0.029618977696745697)	(7, 0.03641520665116981)	(8, 0.030539727695936623)	(9, 10.664213095827238)	(10, 0.03822479947136187)	(11, 0.031528850219819944)	(12, 0.032271831654810644)	(13, 0.026865844035798576)	(14, 0.013510410879217337)	(15, 0.009877550733894727)	(16, 0.015105769788706563)	(17, 0.020142545774379694)	(18, 0.02370703339500991)	(19, 0.021646741317612392)	(20, 0.012343519791133788)	(21, 0.021642183149299568)	(22, 0.01835574379575176)	(23, 0.010506577961064764)	(24, 0.025872163343602428)	(25, 0.01859276854801873)	(26, 0.01517414231339896)	(27, 0.011737283405527882)	(28, 0.0203339888435184)	(29, 0.02176069552543305)	(30, 0.02152822894147891)	(31, 0.01851527968670068)	(32, 0.01864290839945982)	(33, 0.017280016073924737)	(34, 0.017685693053766285)	(35, 0.01710224750972451)	(36, 0.004430539600067224)	(37, 0.010693462861890646)	(38, 0.006012224004617972)	(39, 0.0025753650967468944)	(40, 0.00021879207901566536)	(41, 4.558168312826362e-06)	(42, 4.558168312826362e-06)	(43, 0.0338033762079203)	(44, 0.11314285386097594)	(45, 0.138841806808691)	(46, 0.14804474863228742)	(47, 0.1971635703713043)	(48, 0.2505625121560651)	(49, 0.28701418415373753)	(50, 0.291804819050518)	(51, 0.286950369797358)	(52, 0.3104659601232292)	(53, 0.3170525133352633)	(54, 0.3110038239841427)	(55, 0.3324044242128624)	(56, 0.3149876630895529)	(57, 0.32154230912339726)	(58, 0.2359809317233336)	(59, 0.1193054974199172)	(60, 0.05057743559912131)	(61, 0.011500258653260912)	(62, 0.0019463378695768567)	(63, 0.0008797264843754878)
SRR1039512_pass_1	(1, 0.00035185885612036447)	(2, 0.0006042020761662823)	(3, 0.0010697930878002999)	(4, 0.00027722212906452955)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00016704410341067806)	(9, 0.00013861106453226478)	(10, 9.596150621464485e-05)	(11, 0.0011479839447159365)	(12, 0.0)	(13, 0.000451374492194811)	(14, 0.0051890295953104255)	(15, 0.0018730264361154754)	(16, 0.005697270165262063)	(17, 0.0015886960473313425)	(18, 0.0033302196786341564)	(19, 0.0087751466238503)	(20, 0.00926561654450293)	(21, 0.00603491250194322)	(22, 0.005931842736008972)	(23, 0.012499874716922441)	(24, 0.01628502301761121)	(25, 0.017859502545503347)	(26, 0.010239448126088586)	(27, 0.0029605901732147836)	(28, 0.00025234322004591794)	(29, 0.0019085677347134922)	(30, 0.0017450777611626156)	(31, 0.0030387810301304202)	(32, 0.0008245581274739853)	(33, 0.0016597786445273755)	(34, 0.00025234322004591794)	(35, 0.0023101844088710796)	(36, 0.005437818685496541)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.240737635484319e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 2.132477915880997e-05)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.00894219072726098)	(60, 0.005046864400918358)	(61, 0.002633610226113031)	(62, 0.002715355212888469)	(63, 0.0008352205170533904)
SRR1039512_pass_2	(1, 7.108259719603322e-05)	(2, 7.108259719603322e-06)	(3, 5.686607775682658e-05)	(4, 4.264955831761994e-05)	(5, 2.843303887841329e-05)	(6, 0.00013150280481266148)	(7, 1.7770649299008305e-05)	(8, 0.00012084041523325649)	(9, 7.819085691563653e-05)	(10, 0.0)	(11, 3.554129859801661e-05)	(12, 6.752846733623156e-05)	(13, 7.108259719603322e-05)	(14, 0.00023101844088710798)	(15, 0.000220356051307703)	(16, 1.7770649299008305e-05)	(17, 3.909542845781827e-05)	(18, 0.0)	(19, 8.885324649504153e-05)	(20, 1.4216519439206645e-05)	(21, 0.0)	(22, 0.0)	(23, 5.686607775682658e-05)	(24, 2.132477915880997e-05)	(25, 0.0)	(26, 3.1987168738214946e-05)	(27, 6.042020761662824e-05)	(28, 3.554129859801661e-05)	(29, 0.00012084041523325649)	(30, 3.554129859801661e-05)	(31, 8.529911663523988e-05)	(32, 3.1987168738214946e-05)	(33, 1.0662389579404984e-05)	(34, 1.4216519439206645e-05)	(35, 7.108259719603322e-06)	(36, 8.529911663523988e-05)	(37, 0.00013150280481266148)	(38, 2.843303887841329e-05)	(39, 3.909542845781827e-05)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 3.909542845781827e-05)	(44, 4.6203688177421595e-05)	(45, 8.885324649504153e-05)	(46, 6.397433747642989e-05)	(47, 0.0001101780256538515)	(48, 3.1987168738214946e-05)	(49, 6.042020761662824e-05)	(50, 3.554129859801661e-06)	(51, 3.1987168738214946e-05)	(52, 0.0)	(53, 3.554129859801661e-05)	(54, 7.108259719603322e-06)	(55, 7.108259719603322e-06)	(56, 3.554129859801661e-06)	(57, 3.554129859801661e-06)	(58, 3.554129859801661e-06)	(59, 0.0)	(60, 1.0662389579404984e-05)	(61, 9.951563607444652e-05)	(62, 0.00010306976593424817)	(63, 0.00010662389579404984)
