Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62
SRR1039508_pass_1	(1, 38.29439353045436)	(2, 39.966470524039984)	(3, 40.01798572615813)	(4, 40.04427285519261)	(5, 40.06304330300585)	(6, 40.04984220763941)	(7, 40.10475846613644)	(8, 40.002796012351325)	(9, 40.02286466481402)	(10, 39.942360280370345)	(11, 39.73576078781903)	(12, 39.76725625722651)	(13, 39.81800073344748)	(14, 39.68670853389378)	(15, 39.545743259985244)	(16, 39.38282666436921)	(17, 39.239035380970854)	(18, 39.09721806624755)	(19, 38.97255013304472)	(20, 39.01936276049713)	(21, 39.02950571735432)	(22, 38.9925643720934)	(23, 38.87995838420239)	(24, 38.887846062010105)	(25, 38.968557635991786)	(26, 39.05611971927736)	(27, 38.9346631367127)	(28, 38.97466484410797)	(29, 38.98241470076045)	(30, 38.936127764440144)	(31, 38.87655013374233)	(32, 38.64278334902443)	(33, 38.60376740515291)	(34, 38.45030008256625)	(35, 38.4657159085246)	(36, 38.299072735256374)	(37, 38.273216771487334)	(38, 38.395402921084724)	(39, 38.40907886940959)	(40, 38.3492955315905)	(41, 38.29451138258425)	(42, 38.09594026662835)	(43, 38.04064062900511)	(44, 37.94974986615739)	(45, 37.8322768425448)	(46, 37.74177416767642)	(47, 37.55746874030025)	(48, 37.34270444521404)	(49, 37.22770640353014)	(50, 37.1334911467675)	(51, 36.995501083232426)	(52, 36.73744267679814)	(53, 36.61872503354077)	(54, 36.38859169582413)	(55, 36.21728104628624)	(56, 36.07481369182762)	(57, 35.87670042463827)	(58, 35.68983412236417)	(59, 35.4634345999814)	(60, 35.11547991432155)	(61, 34.897113520987816)	(62, 34.68800216049158)	(63, 33.86874568927386)
SRR1039508_pass_2	(1, 38.20655680766964)	(2, 39.85883669265677)	(3, 39.78767192600508)	(4, 39.85855560028482)	(5, 39.80419106241362)	(6, 39.77934824327732)	(7, 39.76066512724956)	(8, 39.72746928225437)	(9, 34.10468879255021)	(10, 36.07140674938232)	(11, 38.20409272586396)	(12, 39.03775475603977)	(13, 39.2709809382573)	(14, 39.372025296482256)	(15, 39.39479098817943)	(16, 39.47793490280862)	(17, 39.43025697999187)	(18, 39.30824915640678)	(19, 39.32319627707607)	(20, 39.19592753092463)	(21, 39.37976028536696)	(22, 39.40652876383318)	(23, 39.41253634482513)	(24, 39.23505940850439)	(25, 39.28152480163847)	(26, 39.257967237805495)	(27, 39.198823475603625)	(28, 39.122464407937365)	(29, 39.09891647981313)	(30, 38.97726369503444)	(31, 38.92213274771478)	(32, 38.894864084404276)	(33, 38.90414144069367)	(34, 38.93949101919246)	(35, 38.922771669324625)	(36, 38.85331813478316)	(37, 38.795131839385725)	(38, 38.697048913778765)	(39, 37.06478278823489)	(40, 37.709850061832036)	(41, 38.05538910583282)	(42, 38.20904077129968)	(43, 38.171201735508866)	(44, 38.04154891445457)	(45, 37.93814293558014)	(46, 37.772364142065925)	(47, 37.618355562971516)	(48, 37.37667223692019)	(49, 37.20348458620146)	(50, 37.0160481638939)	(51, 36.847749305542266)	(52, 36.655971189841296)	(53, 36.303960306809685)	(54, 36.1272351301721)	(55, 35.92964938533552)	(56, 35.73122079938799)	(57, 35.50219208013631)	(58, 35.24748502552002)	(59, 35.24692275357512)	(60, 35.02974900809971)	(61, 34.92453094917704)	(62, 34.65437196739503)	(63, 33.86958573995332)
SRR1039509_pass_1	(1, 38.282531753724896)	(2, 39.952355834763644)	(3, 40.00493134074886)	(4, 40.03314840766134)	(5, 40.054438880251084)	(6, 40.03259040220211)	(7, 40.092684824950545)	(8, 39.99269851865504)	(9, 40.008365449568764)	(10, 39.91176239111272)	(11, 39.72401205972459)	(12, 39.74057127941884)	(13, 39.78320975044701)	(14, 39.64912715987227)	(15, 39.50433024998881)	(16, 39.353291052858694)	(17, 39.22172045585619)	(18, 39.043171755025725)	(19, 38.93545283076571)	(20, 38.97003035634782)	(21, 38.99170290078228)	(22, 38.95645661948334)	(23, 38.84180438876375)	(24, 38.854508431223785)	(25, 38.94649301959041)	(26, 39.033985534021625)	(27, 38.90318489474259)	(28, 38.94876597600827)	(29, 38.91349294069917)	(30, 38.839071414630574)	(31, 38.80937394339976)	(32, 38.600302934806194)	(33, 38.55778003542968)	(34, 38.392229907513844)	(35, 38.41453490540401)	(36, 38.24895655815237)	(37, 38.22568151468538)	(38, 38.35182402554545)	(39, 38.36802825828511)	(40, 38.30537428978384)	(41, 38.22448935410195)	(42, 38.04510225065983)	(43, 37.99458297470276)	(44, 37.90955159286334)	(45, 37.78868179635878)	(46, 37.70190436084221)	(47, 37.50981595651707)	(48, 37.3020908731625)	(49, 37.1868442401854)	(50, 37.09000261726067)	(51, 36.92302294600696)	(52, 36.64353060854927)	(53, 36.52529078796563)	(54, 36.30517651809037)	(55, 36.11294786792046)	(56, 35.955003820009416)	(57, 35.7460594439127)	(58, 35.541116021317556)	(59, 35.30238223662296)	(60, 34.940747950423024)	(61, 34.67904712425825)	(62, 34.43852356246)	(63, 33.622220992189014)
SRR1039509_pass_2	(1, 37.73062540523935)	(2, 39.26687025869663)	(3, 39.20965959681707)	(4, 39.27623879457207)	(5, 39.206551121170286)	(6, 39.2051646867675)	(7, 39.114260799698165)	(8, 39.09307880847471)	(9, 33.64670568561004)	(10, 35.63933920998244)	(11, 37.725180302412014)	(12, 38.44125956178161)	(13, 38.66692944839896)	(14, 38.821122168122294)	(15, 38.814677713205235)	(16, 38.91275526740846)	(17, 38.81639313684955)	(18, 38.63870150971556)	(19, 38.68590725897272)	(20, 38.61293933594372)	(21, 38.7766155014342)	(22, 38.83393237578872)	(23, 38.78897188356787)	(24, 38.647010378807)	(25, 38.704933188949916)	(26, 38.65043749187867)	(27, 38.661447570624794)	(28, 38.53973280117748)	(29, 38.63671972768388)	(30, 38.477725277628394)	(31, 38.43577423340189)	(32, 38.40783534201906)	(33, 38.37365690496659)	(34, 38.436049809160245)	(35, 38.40349830899057)	(36, 38.37123779413281)	(37, 38.37375304923631)	(38, 38.236420791798636)	(39, 36.62655915966316)	(40, 37.21998792098983)	(41, 37.581617763944266)	(42, 37.75514640092151)	(43, 37.71207580063384)	(44, 37.581576451214794)	(45, 37.45777779962636)	(46, 37.297276616659516)	(47, 37.165852694027194)	(48, 36.945774159190236)	(49, 36.8100400993453)	(50, 36.63628566041305)	(51, 36.452606240008905)	(52, 36.27179956689701)	(53, 35.91571328719952)	(54, 35.71117382179664)	(55, 35.500051640911835)	(56, 35.30289557328432)	(57, 35.08322208281671)	(58, 34.833386943768886)	(59, 34.83420530450719)	(60, 34.61200715249082)	(61, 34.51135157052421)	(62, 34.24783700209121)	(63, 33.44925314951658)
SRR1039510_pass_1	(1, 38.29589851386399)	(2, 39.970639601526635)	(3, 40.02100144407956)	(4, 40.05240755993875)	(5, 40.069830727060214)	(6, 40.05065839499621)	(7, 40.10882822664658)	(8, 40.011162878092875)	(9, 40.028846671797226)	(10, 39.94540621361604)	(11, 39.75180809691878)	(12, 39.78442969709511)	(13, 39.826960883564375)	(14, 39.700273653536165)	(15, 39.56037712789068)	(16, 39.39798121169394)	(17, 39.2579309181149)	(18, 39.102613534142414)	(19, 38.98658114415682)	(20, 39.02495276361979)	(21, 39.041653606529735)	(22, 38.98435794164336)	(23, 38.891979383194546)	(24, 38.89908268282073)	(25, 38.98750362048219)	(26, 39.01948848838726)	(27, 38.95112481418432)	(28, 38.984112149246435)	(29, 38.97242267943118)	(30, 38.91982735107954)	(31, 38.88028960706867)	(32, 38.66080973038583)	(33, 38.6317001127967)	(34, 38.47589998327982)	(35, 38.49319878828768)	(36, 38.32922497854622)	(37, 38.30429181880641)	(38, 38.42047666396574)	(39, 38.43698938839351)	(40, 38.3795041172305)	(41, 38.30789775123805)	(42, 38.125574272253)	(43, 38.07494615824996)	(44, 37.9837336805904)	(45, 37.86898254418892)	(46, 37.783563100579414)	(47, 37.595573837729496)	(48, 37.38762327416389)	(49, 37.27435538132413)	(50, 37.17897760427372)	(51, 37.02557094221892)	(52, 36.75482149332643)	(53, 36.62852695351898)	(54, 36.407467432945)	(55, 36.219528448796176)	(56, 36.06199906452735)	(57, 35.85630815443954)	(58, 35.65210657036727)	(59, 35.41595206221221)	(60, 35.0571913004807)	(61, 34.81133440329093)	(62, 34.57678833222573)	(63, 33.760527928987045)
SRR1039510_pass_2	(1, 37.83629464964169)	(2, 39.40165090049416)	(3, 39.33657000101389)	(4, 39.40038754420227)	(5, 39.34436053040573)	(6, 39.33555725057159)	(7, 39.260959148708515)	(8, 39.239671260436275)	(9, 33.75716984560938)	(10, 35.74862723611679)	(11, 37.84888703566099)	(12, 38.607939728921224)	(13, 38.82202223736369)	(14, 38.96310186591742)	(15, 38.86484708820464)	(16, 38.99300395285109)	(17, 38.988824081826245)	(18, 38.867646461003005)	(19, 38.85753068390105)	(20, 38.77988855456786)	(21, 38.925358752097516)	(22, 38.99142430895995)	(23, 38.953353749082325)	(24, 38.8002558918958)	(25, 38.855107110480425)	(26, 38.81727044064402)	(27, 38.809731392275)	(28, 38.701831111786355)	(29, 38.776651113817636)	(30, 38.62174646153248)	(31, 38.575837806598884)	(32, 38.539324004832885)	(33, 38.527607929751944)	(34, 38.58289349680227)	(35, 38.548864268029845)	(36, 38.5094076963345)	(37, 38.50731305676605)	(38, 38.373989169468935)	(39, 36.76875945816101)	(40, 37.373856624485796)	(41, 37.733589441105195)	(42, 37.90215169648608)	(43, 37.859344786696)	(44, 37.729222370530046)	(45, 37.61075656142519)	(46, 37.450075415863715)	(47, 37.31597888189533)	(48, 37.08743129179198)	(49, 36.9451112802432)	(50, 36.76890902526314)	(51, 36.59327160707488)	(52, 36.40998049282666)	(53, 36.05764437765317)	(54, 35.87056135666551)	(55, 35.663992210258264)	(56, 35.46408864559463)	(57, 35.242705485966404)	(58, 34.98990693364292)	(59, 34.98525101214876)	(60, 34.76615822457811)	(61, 34.66141053679668)	(62, 34.39295286023891)	(63, 33.5882771248232)
SRR1039511_pass_1	(1, 38.27556803095835)	(2, 39.94268641210482)	(3, 39.99801272977897)	(4, 40.02103822584785)	(5, 40.03927331492836)	(6, 40.02992852290687)	(7, 40.08218874308372)	(8, 39.97972130173812)	(9, 39.99692583454478)	(10, 39.91513260372557)	(11, 39.70431841321774)	(12, 39.739217026107866)	(13, 39.79167602800484)	(14, 39.6531077568766)	(15, 39.506375259319896)	(16, 39.35449909673058)	(17, 39.20620260046237)	(18, 39.0659745179247)	(19, 38.933141972311226)	(20, 38.97978662029004)	(21, 38.98636082086595)	(22, 38.94396060247499)	(23, 38.834371296630685)	(24, 38.85063502349759)	(25, 38.930764705209356)	(26, 39.014878180444846)	(27, 38.9081533187317)	(28, 38.94604920077761)	(29, 38.95676358563205)	(30, 38.907674391987065)	(31, 38.84529207534634)	(32, 38.604514081708906)	(33, 38.57434010143839)	(34, 38.4319937013407)	(35, 38.4437669942759)	(36, 38.26994525685438)	(37, 38.249811280436425)	(38, 38.36108259596984)	(39, 38.374198953198416)	(40, 38.31994316693421)	(41, 38.284610844329116)	(42, 38.08427606509921)	(43, 38.02220684903989)	(44, 37.928452893404454)	(45, 37.81960383409416)	(46, 37.73374758878594)	(47, 37.55674260894148)	(48, 37.34105186206418)	(49, 37.225660099121015)	(50, 37.128155090035904)	(51, 37.003775986630345)	(52, 36.760477599406016)	(53, 36.63876119560208)	(54, 36.403186214348686)	(55, 36.228105009440654)	(56, 36.08874858542944)	(57, 35.90207933154644)	(58, 35.720526029032705)	(59, 35.50446848635127)	(60, 35.17573338763023)	(61, 34.97924957689942)	(62, 34.7952042326057)	(63, 33.96582071165132)
SRR1039511_pass_2	(1, 38.23077213046553)	(2, 39.90239215863775)	(3, 39.820151862670414)	(4, 39.888639481112705)	(5, 39.856265819977786)	(6, 39.81694655871283)	(7, 39.80932511896705)	(8, 39.776227301632275)	(9, 34.13989405996371)	(10, 36.09847042913377)	(11, 38.22258073735392)	(12, 39.08340882799602)	(13, 39.29688567252378)	(14, 39.391305941203186)	(15, 39.42812955973518)	(16, 39.52750414713549)	(17, 39.46778949849984)	(18, 39.387235041083)	(19, 39.38059875825467)	(20, 39.25516940728816)	(21, 39.430148372480936)	(22, 39.452509697844945)	(23, 39.45793173021642)	(24, 39.275753593990366)	(25, 39.323638565148784)	(26, 39.2978871021021)	(27, 39.233709459708)	(28, 39.161662777865374)	(29, 39.12553090695653)	(30, 39.04317861679374)	(31, 38.975822745961835)	(32, 38.934473458857084)	(33, 38.9769937394014)	(34, 39.00173433746135)	(35, 38.981032367689934)	(36, 38.90288836084029)	(37, 38.83635191192598)	(38, 38.753000197778924)	(39, 37.1274075504326)	(40, 37.77937248334981)	(41, 38.11871234297737)	(42, 38.27504630301326)	(43, 38.240951796595205)	(44, 38.111987494938724)	(45, 38.00888624028922)	(46, 37.85208593405324)	(47, 37.69563163837389)	(48, 37.45005817818126)	(49, 37.27711908447184)	(50, 37.089833155997795)	(51, 36.92640299395081)	(52, 36.73887643977153)	(53, 36.403897106278755)	(54, 36.27340048518055)	(55, 36.11073445446953)	(56, 35.919933448919366)	(57, 35.69214746567893)	(58, 35.43149175584609)	(59, 35.43163091672468)	(60, 35.212324539578276)	(61, 35.102944362496174)	(62, 34.82400666003088)	(63, 34.01319434748841)
SRR1039512_pass_1	(1, 38.094840675822056)	(2, 39.66999225412938)	(3, 39.56189215049807)	(4, 39.54613747473813)	(5, 39.64860872520399)	(6, 39.605683473033146)	(7, 39.58853685785492)	(8, 39.512419160427804)	(9, 39.516467776375)	(10, 39.32288779306378)	(11, 39.38201184506183)	(12, 39.45621621222022)	(13, 39.45810676051654)	(14, 39.40672100883834)	(15, 39.32289120502844)	(16, 39.19460332392176)	(17, 39.14846343237532)	(18, 39.1230777755213)	(19, 39.051698728353664)	(20, 39.11274709288171)	(21, 39.12256018758982)	(22, 39.15073825319209)	(23, 39.106048659876244)	(24, 38.94999360612038)	(25, 38.93101768030332)	(26, 38.91910533879352)	(27, 38.91180878127394)	(28, 38.80531102154862)	(29, 38.75094029836636)	(30, 38.65662780178277)	(31, 38.55923742874059)	(32, 38.47203361837218)	(33, 38.4454732149756)	(34, 38.235774328676406)	(35, 38.17260876899087)	(36, 38.14305877372142)	(37, 38.07022235560477)	(38, 37.89970263306289)	(39, 37.846246920613034)	(40, 37.65340356625655)	(41, 37.50584633037158)	(42, 37.44312347310139)	(43, 37.30108718699933)	(44, 37.17901466156758)	(45, 36.99640400249045)	(46, 36.84209118319187)	(47, 36.68210533289366)	(48, 36.53474396510527)	(49, 36.0914249082377)	(50, 36.00009510851505)	(51, 35.871565724284395)	(52, 35.75480918196654)	(53, 35.52217727274698)	(54, 35.293428961225224)	(55, 35.056092165979855)	(56, 34.866638776224946)	(57, 34.59776188623643)	(58, 34.364750253782645)	(59, 34.2231242564316)	(60, 33.978126249943045)	(61, 33.693391472263464)	(62, 33.39760644281288)	(63, 31.45186019958145)
SRR1039512_pass_2	(1, 37.951911307968835)	(2, 39.48992471713213)	(3, 39.45922887039588)	(4, 39.457597276001145)	(5, 39.42766450094579)	(6, 39.38834978267562)	(7, 39.38107316382456)	(8, 39.30426589412205)	(9, 39.247587296715324)	(10, 39.14056580041386)	(11, 39.07179950073005)	(12, 39.04480506699499)	(13, 38.946275275461055)	(14, 38.91527377355686)	(15, 38.652389999503136)	(16, 38.86562552934321)	(17, 38.8378845861724)	(18, 38.7895510145939)	(19, 38.77167448776637)	(20, 38.712685599326875)	(21, 38.83335225315129)	(22, 38.82266690389299)	(23, 38.85841341794911)	(24, 38.812200489034055)	(25, 38.769049585158406)	(26, 38.697330194515395)	(27, 38.615865024383815)	(28, 38.59274537410451)	(29, 38.50167929081746)	(30, 38.420382124404355)	(31, 38.39505280050861)	(32, 38.29891767505031)	(33, 38.177545952944314)	(34, 38.10889221255317)	(35, 38.009509216605096)	(36, 37.84786575568158)	(37, 37.73981867966777)	(38, 37.63372633953555)	(39, 35.826498042634064)	(40, 36.5022713022282)	(41, 36.857474452381446)	(42, 37.12587832322693)	(43, 37.12478080792622)	(44, 37.101028024953685)	(45, 36.94537547640445)	(46, 36.85247851866142)	(47, 36.67197289961766)	(48, 36.502806802974185)	(49, 36.333500353742544)	(50, 36.190547493090946)	(51, 35.97539490114579)	(52, 35.79481514295315)	(53, 35.57675712093019)	(54, 35.40640831649328)	(55, 35.206858958834715)	(56, 35.02082865817168)	(57, 34.788180613202556)	(58, 34.52469309910954)	(59, 34.34554622391118)	(60, 34.13088104533499)	(61, 33.82586252867383)	(62, 33.60537419265275)	(63, 32.10650689383907)
