Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1039508_pass_1	(2.0, 1466.0)	(3.0, 654.0)	(4.0, 1063.0)	(5.0, 1688.0)	(6.0, 3109.0)	(7.0, 5375.0)	(8.0, 7341.0)	(9.0, 9350.0)	(10.0, 10496.0)	(11.0, 12310.0)	(12.0, 12851.0)	(13.0, 13353.0)	(14.0, 14671.0)	(15.0, 15027.0)	(16.0, 16223.0)	(17.0, 16526.0)	(18.0, 17428.0)	(19.0, 18491.0)	(20.0, 20171.0)	(21.0, 22498.0)	(22.0, 25496.0)	(23.0, 30076.0)	(24.0, 36451.0)	(25.0, 45218.0)	(26.0, 56532.0)	(27.0, 71691.0)	(28.0, 92133.0)	(29.0, 118436.0)	(30.0, 153761.0)	(31.0, 200073.0)	(32.0, 261455.0)	(33.0, 344136.0)	(34.0, 498979.0)	(35.0, 766685.0)	(36.0, 1309083.0)	(37.0, 2340621.0)	(38.0, 3843346.0)	(39.0, 5527015.0)	(40.0, 6994243.0)
SRR1039508_pass_2	(2.0, 57104.0)	(3.0, 6749.0)	(4.0, 6578.0)	(5.0, 7752.0)	(6.0, 9701.0)	(7.0, 8057.0)	(8.0, 8636.0)	(9.0, 9397.0)	(10.0, 9883.0)	(11.0, 10886.0)	(12.0, 11185.0)	(13.0, 11628.0)	(14.0, 12291.0)	(15.0, 12540.0)	(16.0, 14025.0)	(17.0, 15925.0)	(18.0, 17717.0)	(19.0, 20127.0)	(20.0, 23715.0)	(21.0, 26850.0)	(22.0, 31510.0)	(23.0, 36435.0)	(24.0, 43085.0)	(25.0, 52276.0)	(26.0, 63555.0)	(27.0, 79156.0)	(28.0, 97766.0)	(29.0, 114543.0)	(30.0, 146757.0)	(31.0, 176488.0)	(32.0, 237171.0)	(33.0, 320328.0)	(34.0, 472026.0)	(35.0, 776315.0)	(36.0, 1389388.0)	(37.0, 2524281.0)	(38.0, 4172725.0)	(39.0, 5638329.0)	(40.0, 6262641.0)
SRR1039509_pass_1	(2.0, 1575.0)	(3.0, 753.0)	(4.0, 1224.0)	(5.0, 1978.0)	(6.0, 3690.0)	(7.0, 6053.0)	(8.0, 8289.0)	(9.0, 10474.0)	(10.0, 11617.0)	(11.0, 13703.0)	(12.0, 14111.0)	(13.0, 14448.0)	(14.0, 15380.0)	(15.0, 16361.0)	(16.0, 17104.0)	(17.0, 17749.0)	(18.0, 18445.0)	(19.0, 19543.0)	(20.0, 21342.0)	(21.0, 23490.0)	(22.0, 26955.0)	(23.0, 30835.0)	(24.0, 37216.0)	(25.0, 45401.0)	(26.0, 56849.0)	(27.0, 71154.0)	(28.0, 90623.0)	(29.0, 114880.0)	(30.0, 149071.0)	(31.0, 190511.0)	(32.0, 245891.0)	(33.0, 324447.0)	(34.0, 465463.0)	(35.0, 702481.0)	(36.0, 1198344.0)	(37.0, 2128200.0)	(38.0, 3480253.0)	(39.0, 5035999.0)	(40.0, 6523805.0)
SRR1039509_pass_2	(2.0, 153299.0)	(3.0, 13440.0)	(4.0, 11475.0)	(5.0, 13059.0)	(6.0, 16101.0)	(7.0, 11743.0)	(8.0, 11068.0)	(9.0, 11606.0)	(10.0, 12337.0)	(11.0, 15412.0)	(12.0, 12911.0)	(13.0, 12747.0)	(14.0, 13200.0)	(15.0, 13478.0)	(16.0, 15906.0)	(17.0, 19507.0)	(18.0, 23222.0)	(19.0, 29027.0)	(20.0, 37187.0)	(21.0, 43108.0)	(22.0, 48770.0)	(23.0, 55124.0)	(24.0, 63554.0)	(25.0, 73396.0)	(26.0, 85522.0)	(27.0, 101046.0)	(28.0, 118323.0)	(29.0, 134549.0)	(30.0, 163617.0)	(31.0, 193629.0)	(32.0, 254295.0)	(33.0, 335538.0)	(34.0, 481624.0)	(35.0, 755684.0)	(36.0, 1296364.0)	(37.0, 2273649.0)	(38.0, 3692343.0)	(39.0, 4986578.0)	(40.0, 5552269.0)
SRR1039510_pass_1	(2.0, 1909.0)	(3.0, 870.0)	(4.0, 1393.0)	(5.0, 2247.0)	(6.0, 3826.0)	(7.0, 6055.0)	(8.0, 8507.0)	(9.0, 10732.0)	(10.0, 12098.0)	(11.0, 13701.0)	(12.0, 14512.0)	(13.0, 14806.0)	(14.0, 15741.0)	(15.0, 16621.0)	(16.0, 17310.0)	(17.0, 18306.0)	(18.0, 19028.0)	(19.0, 20260.0)	(20.0, 21917.0)	(21.0, 24023.0)	(22.0, 27460.0)	(23.0, 31479.0)	(24.0, 38452.0)	(25.0, 46856.0)	(26.0, 57943.0)	(27.0, 72962.0)	(28.0, 92780.0)	(29.0, 118912.0)	(30.0, 152425.0)	(31.0, 196334.0)	(32.0, 255385.0)	(33.0, 335675.0)	(34.0, 483358.0)	(35.0, 731941.0)	(36.0, 1252960.0)	(37.0, 2254936.0)	(38.0, 3755031.0)	(39.0, 5505754.0)	(40.0, 7198114.0)
SRR1039510_pass_2	(2.0, 130149.0)	(3.0, 12194.0)	(4.0, 10246.0)	(5.0, 11588.0)	(6.0, 15323.0)	(7.0, 11365.0)	(8.0, 10960.0)	(9.0, 11438.0)	(10.0, 11794.0)	(11.0, 12862.0)	(12.0, 13262.0)	(13.0, 13471.0)	(14.0, 14189.0)	(15.0, 14463.0)	(16.0, 16681.0)	(17.0, 20090.0)	(18.0, 23501.0)	(19.0, 28879.0)	(20.0, 36766.0)	(21.0, 43218.0)	(22.0, 48435.0)	(23.0, 55032.0)	(24.0, 64026.0)	(25.0, 73556.0)	(26.0, 86382.0)	(27.0, 102869.0)	(28.0, 122170.0)	(29.0, 140073.0)	(30.0, 172929.0)	(31.0, 203676.0)	(32.0, 267987.0)	(33.0, 351381.0)	(34.0, 505539.0)	(35.0, 794857.0)	(36.0, 1367534.0)	(37.0, 2438054.0)	(38.0, 4014811.0)	(39.0, 5467535.0)	(40.0, 6113334.0)
SRR1039511_pass_1	(2.0, 1718.0)	(3.0, 824.0)	(4.0, 1323.0)	(5.0, 2099.0)	(6.0, 3843.0)	(7.0, 6176.0)	(8.0, 8602.0)	(9.0, 10805.0)	(10.0, 12072.0)	(11.0, 13479.0)	(12.0, 14140.0)	(13.0, 14783.0)	(14.0, 16038.0)	(15.0, 16618.0)	(16.0, 17454.0)	(17.0, 18227.0)	(18.0, 19065.0)	(19.0, 20157.0)	(20.0, 21388.0)	(21.0, 23470.0)	(22.0, 26435.0)	(23.0, 30298.0)	(24.0, 36243.0)	(25.0, 44663.0)	(26.0, 55629.0)	(27.0, 70568.0)	(28.0, 89418.0)	(29.0, 115038.0)	(30.0, 148281.0)	(31.0, 191724.0)	(32.0, 248382.0)	(33.0, 326228.0)	(34.0, 472256.0)	(35.0, 717156.0)	(36.0, 1220968.0)	(37.0, 2156875.0)	(38.0, 3570698.0)	(39.0, 5264465.0)	(40.0, 6911031.0)
SRR1039511_pass_2	(2.0, 37589.0)	(3.0, 6098.0)	(4.0, 6278.0)	(5.0, 6443.0)	(6.0, 7409.0)	(7.0, 7003.0)	(8.0, 8505.0)	(9.0, 9374.0)	(10.0, 9821.0)	(11.0, 10719.0)	(12.0, 11599.0)	(13.0, 11820.0)	(14.0, 12640.0)	(15.0, 13085.0)	(16.0, 14127.0)	(17.0, 14664.0)	(18.0, 16092.0)	(19.0, 18047.0)	(20.0, 21232.0)	(21.0, 24314.0)	(22.0, 28428.0)	(23.0, 33760.0)	(24.0, 40013.0)	(25.0, 48145.0)	(26.0, 59293.0)	(27.0, 73707.0)	(28.0, 91959.0)	(29.0, 108823.0)	(30.0, 138877.0)	(31.0, 163737.0)	(32.0, 215031.0)	(33.0, 298421.0)	(34.0, 452326.0)	(35.0, 732003.0)	(36.0, 1302918.0)	(37.0, 2359080.0)	(38.0, 3925815.0)	(39.0, 5411396.0)	(40.0, 6188046.0)
SRR1039512_pass_1	(2.0, 2481.0)	(3.0, 1311.0)	(4.0, 2296.0)	(5.0, 3407.0)	(6.0, 6104.0)	(7.0, 10127.0)	(8.0, 13343.0)	(9.0, 16983.0)	(10.0, 17310.0)	(11.0, 19320.0)	(12.0, 21270.0)	(13.0, 22994.0)	(14.0, 25338.0)	(15.0, 26759.0)	(16.0, 29474.0)	(17.0, 32858.0)	(18.0, 36493.0)	(19.0, 41235.0)	(20.0, 47230.0)	(21.0, 54288.0)	(22.0, 62221.0)	(23.0, 71742.0)	(24.0, 83367.0)	(25.0, 97833.0)	(26.0, 116666.0)	(27.0, 141328.0)	(28.0, 171731.0)	(29.0, 212487.0)	(30.0, 265769.0)	(31.0, 334567.0)	(32.0, 431129.0)	(33.0, 565896.0)	(34.0, 790240.0)	(35.0, 1130382.0)	(36.0, 1757432.0)	(37.0, 2914203.0)	(38.0, 4661271.0)	(39.0, 6812842.0)	(40.0, 7084555.0)
SRR1039512_pass_2	(2.0, 84040.0)	(3.0, 16162.0)	(4.0, 17196.0)	(5.0, 19113.0)	(6.0, 21233.0)	(7.0, 22179.0)	(8.0, 24508.0)	(9.0, 26686.0)	(10.0, 27566.0)	(11.0, 29659.0)	(12.0, 32002.0)	(13.0, 33792.0)	(14.0, 36000.0)	(15.0, 37338.0)	(16.0, 38719.0)	(17.0, 41160.0)	(18.0, 43444.0)	(19.0, 47664.0)	(20.0, 52082.0)	(21.0, 58472.0)	(22.0, 66136.0)	(23.0, 74514.0)	(24.0, 85735.0)	(25.0, 99754.0)	(26.0, 118212.0)	(27.0, 140206.0)	(28.0, 167077.0)	(29.0, 200853.0)	(30.0, 245701.0)	(31.0, 304237.0)	(32.0, 388149.0)	(33.0, 509646.0)	(34.0, 715594.0)	(35.0, 1034797.0)	(36.0, 1626068.0)	(37.0, 2750450.0)	(38.0, 4514734.0)	(39.0, 6678192.0)	(40.0, 7707212.0)
