Sample	Unique Reads	Duplicate Reads
SRR1039508_pass_1	11399905.0	11535616.0
SRR1039508_pass_2	11940417.0	10995104.0
SRR1039509_pass_1	10663646.0	10492061.0
SRR1039509_pass_2	11336161.0	9819546.0
SRR1039510_pass_1	11444510.0	11408109.0
SRR1039510_pass_2	12110280.0	10742339.0
SRR1039511_pass_1	11092385.0	10846252.0
SRR1039511_pass_2	11561227.0	10377410.0
SRR1039512_pass_1	12235203.0	15901079.0
SRR1039512_pass_2	12450898.0	15685384.0
SRR1039513_pass_1	8645557.0	8177531.0
SRR1039513_pass_2	8806491.0	8016597.0
SRR1039514_pass_1	17056823.0	22964904.0
SRR1039514_pass_2	17512318.0	22509409.0
SRR1039515_pass_1	11690967.0	12436047.0
SRR1039515_pass_2	11855203.0	12271811.0
SRR1039516_pass_1	12222432.0	15076538.0
SRR1039516_pass_2	12498181.0	14800789.0
SRR1039517_pass_1	14732766.0	19565494.0
SRR1039517_pass_2	15009489.0	19288771.0
SRR1039518_pass_1	13677242.0	16763958.0
SRR1039518_pass_2	13920698.0	16520502.0
SRR1039519_pass_1	11033001.0	11086934.0
SRR1039519_pass_2	11237614.0	10882321.0
SRR1039520_pass_1	10661206.0	10614682.0
SRR1039520_pass_2	10798402.0	10477486.0
SRR1039521_pass_1	11201179.0	12286681.0
SRR1039521_pass_2	11431929.0	12055931.0
SRR1039522_pass_1	12909455.0	15224044.0
SRR1039522_pass_2	13129654.0	15003845.0
SRR1039523_pass_1	13741776.0	17357762.0
SRR1039523_pass_2	13880318.0	17219220.0
