Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1039508_pass_1	(1.0, 37.538608903884366)	(2.0, 12.574450363351684)	(3.0, 6.661440324001577)	(4.0, 4.124623748685067)	(5.0, 3.0533111859335844)	(6.0, 2.3628324462153047)	(7.0, 1.8948005945735333)	(8.0, 1.651728433282017)	(9.0, 1.3610301984236794)	('>10', 16.603483182577932)	('>50', 4.973933092196457)	('>100', 5.758805920233832)	('>500', 0.714409414353538)	('>1k', 0.2769286256311092)	('>5k', 0.0)	('>10k+', 0.44961356665638397)
SRR1039508_pass_2	(1.0, 39.88755011880923)	(2.0, 12.67705838941407)	(3.0, 6.613308356414853)	(4.0, 4.289876896368216)	(5.0, 2.957811567441658)	(6.0, 2.3920523424377365)	(7.0, 1.8441056099223276)	(8.0, 1.530523647253229)	(9.0, 1.3268820889259898)	('>10', 16.15399403134183)	('>50', 4.4982968014091895)	('>100', 4.819778762167905)	('>500', 0.5455740524615063)	('>1k', 0.18738437307021888)	('>5k', 0.0378704134918975)	('>10k+', 0.23793254907015599)
SRR1039509_pass_1	(1.0, 38.04506231652076)	(2.0, 12.708726626119649)	(3.0, 6.794011022148894)	(4.0, 4.304254485175319)	(5.0, 3.1388898470146462)	(6.0, 2.5461663061927395)	(7.0, 1.958151677600881)	(8.0, 1.6525749699260825)	(9.0, 1.3821885107468264)	('>10', 16.046333756447726)	('>50', 4.526787075794789)	('>100', 5.027724186825248)	('>500', 0.588297365491575)	('>1k', 0.26281285575547)	('>5k', 0.0)	('>10k+', 1.018018998239229)
SRR1039509_pass_2	(1.0, 41.28066994230483)	(2.0, 12.933405219276322)	(3.0, 6.681833878366526)	(4.0, 4.321928328043875)	(5.0, 3.040211528901614)	(6.0, 2.3397091057085424)	(7.0, 1.892756015259373)	(8.0, 1.4953042073463712)	(9.0, 1.3972384209839288)	('>10', 15.339734206124477)	('>50', 4.040101328967954)	('>100', 4.156479065595633)	('>500', 0.4122170254417152)	('>1k', 0.10212182679089739)	('>5k', 0.02662062800351309)	('>10k+', 0.539669272884367)
SRR1039510_pass_1	(1.0, 38.02177575571301)	(2.0, 12.521268037871655)	(3.0, 6.519930662273432)	(4.0, 4.243635674128184)	(5.0, 3.01868154015032)	(6.0, 2.32500805376998)	(7.0, 1.8564415472052096)	(8.0, 1.5222423760779673)	(9.0, 1.3127493219671338)	('>10', 16.127308363732222)	('>50', 4.758166371889415)	('>100', 5.774739509687539)	('>500', 0.8250447963600885)	('>1k', 0.3656550674731959)	('>5k', 0.0)	('>10k+', 0.8073529217006997)
SRR1039510_pass_2	(1.0, 41.069800111170196)	(2.0, 12.532760596180056)	(3.0, 6.451456581631532)	(4.0, 4.13105788291898)	(5.0, 2.9229327564961896)	(6.0, 2.3102445241707246)	(7.0, 1.697625670390793)	(8.0, 1.5129029146177766)	(9.0, 1.2717706198415313)	('>10', 15.58138489228471)	('>50', 4.350804371910095)	('>100', 4.878024802018464)	('>500', 0.60841122679646)	('>1k', 0.24028108798778217)	('>5k', 0.022741861191355916)	('>10k+', 0.4178001003934846)
SRR1039511_pass_1	(1.0, 38.02943714594286)	(2.0, 12.800635399889822)	(3.0, 7.023007483373718)	(4.0, 4.339738274557706)	(5.0, 3.225295450707729)	(6.0, 2.4839204955543233)	(7.0, 1.9393458605446636)	(8.0, 1.6641604483442547)	(9.0, 1.407197004249021)	('>10', 16.68825271454918)	('>50', 4.616826117515624)	('>100', 4.962518591827548)	('>500', 0.5976175661966324)	('>1k', 0.19460178806937953)	('>5k', 0.027445658677704418)	('>10k+', 0.0)
SRR1039511_pass_2	(1.0, 40.21372500325668)	(2.0, 12.937824416487178)	(3.0, 6.812847561062423)	(4.0, 4.350388652474335)	(5.0, 3.2420956417319196)	(6.0, 2.4466378455636644)	(7.0, 2.0171442441695167)	(8.0, 1.6287335352431622)	(9.0, 1.382947799905258)	('>10', 15.905667225763354)	('>50', 4.141944665961198)	('>100', 4.3578697214807995)	('>500', 0.4268898916148613)	('>1k', 0.13528379528568277)	('>5k', 0.0)	('>10k+', 0.0)
SRR1039512_pass_1	(1.0, 31.58862651105332)	(2.0, 11.618714311389294)	(3.0, 6.404887119409714)	(4.0, 4.2906407290394215)	(5.0, 3.2335609653433464)	(6.0, 2.5665990166487256)	(7.0, 2.0621124206093513)	(8.0, 1.769765094864519)	(9.0, 1.504070883018669)	('>10', 18.518198836783657)	('>50', 6.045405112221786)	('>100', 8.254135882344071)	('>500', 1.4196808236366214)	('>1k', 0.6704757396450189)	('>5k', 0.053126553992594396)	('>10k+', 0.0)
SRR1039512_pass_2	(1.0, 32.500507211619045)	(2.0, 11.4742746648694)	(3.0, 6.46712509720416)	(4.0, 4.287935571520044)	(5.0, 3.17639865053742)	(6.0, 2.382506455798951)	(7.0, 1.9567265922190193)	(8.0, 1.6153564870558201)	(9.0, 1.4469809419022084)	('>10', 18.200658646516583)	('>50', 6.084266510060735)	('>100', 8.266979743163649)	('>500', 1.433321716541357)	('>1k', 0.6866728400599174)	('>5k', 0.020288870931870817)	('>10k+', 0.0)
