Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1039508_pass_1	SRR1039508_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22935521.0	1.4 Gbp	0.0	63.0	50.0	49.7041441816729	63.0	63	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
SRR1039508_pass_2	SRR1039508_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22935521.0	1.4 Gbp	0.0	63.0	50.0	52.06080434189513	63.0	63	pass	pass	fail	pass	pass	pass	warn	pass	warn	warn	pass
SRR1039509_pass_1	SRR1039509_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21155707.0	1.3 Gbp	0.0	63.0	49.0	50.40552705891068	63.0	63	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
SRR1039509_pass_2	SRR1039509_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21155707.0	1.3 Gbp	0.0	63.0	49.0	53.58440687056423	63.0	63	pass	pass	fail	pass	pass	pass	warn	pass	warn	warn	pass
SRR1039510_pass_1	SRR1039510_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22852619.0	1.4 Gbp	0.0	63.0	49.0	50.07964147318545	63.0	63	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
SRR1039510_pass_2	SRR1039510_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22852619.0	1.4 Gbp	0.0	63.0	49.0	52.99295994985728	63.0	63	pass	pass	fail	pass	pass	pass	warn	pass	warn	warn	pass
SRR1039511_pass_1	SRR1039511_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21938637.0	1.3 Gbp	0.0	63.0	49.0	50.560953538113615	63.0	63	pass	pass	warn	pass	pass	pass	pass	pass	warn	pass	pass
SRR1039511_pass_2	SRR1039511_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21938637.0	1.3 Gbp	0.0	63.0	49.0	52.69801771865475	63.0	63	pass	pass	fail	pass	pass	pass	warn	pass	warn	pass	pass
SRR1039512_pass_1	SRR1039512_pass_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28136282.0	1.7 Gbp	0.0	63.0	49.0	43.48549727274704	63.0	63	pass	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
SRR1039512_pass_2	SRR1039512_pass_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28136282.0	1.7 Gbp	0.0	63.0	49.0	44.252105347139455	63.0	63	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	pass
