Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1039508_pass_1	50.2958558183271	50.0	63.0	63	9.090909090909092	22.935520999999998
SRR1039508_pass_2	47.93919565810487	50.0	63.0	63	9.090909090909092	22.935520999999998
SRR1039509_pass_1	49.59447294108932	49.0	63.0	63	0.0	21.155707
SRR1039509_pass_2	46.41559312943577	49.0	63.0	63	9.090909090909092	21.155707
SRR1039510_pass_1	49.92035852681455	49.0	63.0	63	0.0	22.852619
SRR1039510_pass_2	47.00704005014272	49.0	63.0	63	9.090909090909092	22.852619
SRR1039511_pass_1	49.439046461886385	49.0	63.0	63	0.0	21.938637
SRR1039511_pass_2	47.30198228134525	49.0	63.0	63	9.090909090909092	21.938637
SRR1039512_pass_1	56.51450272725296	49.0	63.0	63	9.090909090909092	28.136281999999998
SRR1039512_pass_2	55.747894652860545	49.0	63.0	63	9.090909090909092	28.136281999999998
SRR1039513_pass_1	48.60897999352113	48.0	63.0	63	0.0	16.823088
SRR1039513_pass_2	47.652357035426064	48.0	63.0	63	0.0	16.823088
SRR1039514_pass_1	57.38109245845179	48.0	63.0	63	9.090909090909092	40.021727
SRR1039514_pass_2	56.242973032081075	48.0	63.0	63	9.090909090909092	40.021727
SRR1039515_pass_1	51.54408094862694	49.0	63.0	63	10.0	24.127014
SRR1039515_pass_2	50.863364748199295	49.0	63.0	63	10.0	24.127014
SRR1039516_pass_1	55.22749823169962	49.0	63.0	63	10.0	27.298969999999997
SRR1039516_pass_2	54.217392002616336	49.0	63.0	63	10.0	27.298969999999997
SRR1039517_pass_1	57.04515073211442	49.0	63.0	63	18.181818181818183	34.29826
SRR1039517_pass_2	56.23833820877373	49.0	63.0	63	18.181818181818183	34.29826
SRR1039518_pass_1	55.06996680621193	49.0	63.0	63	18.181818181818183	30.4412
SRR1039518_pass_2	54.270207016779395	49.0	63.0	63	18.181818181818183	30.4412
SRR1039519_pass_1	50.12191224222161	49.0	63.0	63	10.0	22.119934999999998
SRR1039519_pass_2	49.19689793195208	49.0	63.0	63	0.0	22.119934999999998
SRR1039520_pass_1	49.89066831402401	49.0	63.0	63	0.0	21.275888
SRR1039520_pass_2	49.24582424902434	49.0	63.0	63	0.0	21.275888
SRR1039521_pass_1	52.31077362666788	49.0	63.0	63	10.0	23.487859999999998
SRR1039521_pass_2	51.3283525441268	49.0	63.0	63	10.0	23.487859999999998
SRR1039522_pass_1	54.11358445661432	49.0	63.0	63	10.0	28.133499
SRR1039522_pass_2	53.330890129198735	49.0	63.0	63	10.0	28.133499
SRR1039523_pass_1	55.813570770361586	49.0	63.0	63	9.090909090909092	31.099538
SRR1039523_pass_2	55.36808996115732	49.0	63.0	63	9.090909090909092	31.099538
