Module	Section	Sample Name	Source
FastQC	all_sections	SRR1039508_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039508_pass_1_fastqc.zip
FastQC	all_sections	SRR1039508_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039508_pass_2_fastqc.zip
FastQC	all_sections	SRR1039509_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039509_pass_1_fastqc.zip
FastQC	all_sections	SRR1039509_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039509_pass_2_fastqc.zip
FastQC	all_sections	SRR1039510_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039510_pass_1_fastqc.zip
FastQC	all_sections	SRR1039510_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039510_pass_2_fastqc.zip
FastQC	all_sections	SRR1039511_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039511_pass_1_fastqc.zip
FastQC	all_sections	SRR1039511_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039511_pass_2_fastqc.zip
FastQC	all_sections	SRR1039512_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039512_pass_1_fastqc.zip
FastQC	all_sections	SRR1039512_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039512_pass_2_fastqc.zip
FastQC	all_sections	SRR1039513_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039513_pass_1_fastqc.zip
FastQC	all_sections	SRR1039513_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039513_pass_2_fastqc.zip
FastQC	all_sections	SRR1039514_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039514_pass_1_fastqc.zip
FastQC	all_sections	SRR1039514_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039514_pass_2_fastqc.zip
FastQC	all_sections	SRR1039515_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039515_pass_1_fastqc.zip
FastQC	all_sections	SRR1039515_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039515_pass_2_fastqc.zip
FastQC	all_sections	SRR1039516_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039516_pass_1_fastqc.zip
FastQC	all_sections	SRR1039516_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039516_pass_2_fastqc.zip
FastQC	all_sections	SRR1039517_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039517_pass_1_fastqc.zip
FastQC	all_sections	SRR1039517_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039517_pass_2_fastqc.zip
FastQC	all_sections	SRR1039518_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039518_pass_1_fastqc.zip
FastQC	all_sections	SRR1039518_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039518_pass_2_fastqc.zip
FastQC	all_sections	SRR1039519_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039519_pass_1_fastqc.zip
FastQC	all_sections	SRR1039519_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039519_pass_2_fastqc.zip
FastQC	all_sections	SRR1039520_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039520_pass_1_fastqc.zip
FastQC	all_sections	SRR1039520_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039520_pass_2_fastqc.zip
FastQC	all_sections	SRR1039521_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039521_pass_1_fastqc.zip
FastQC	all_sections	SRR1039521_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039521_pass_2_fastqc.zip
FastQC	all_sections	SRR1039522_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039522_pass_1_fastqc.zip
FastQC	all_sections	SRR1039522_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039522_pass_2_fastqc.zip
FastQC	all_sections	SRR1039523_pass_1	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039523_pass_1_fastqc.zip
FastQC	all_sections	SRR1039523_pass_2	/home/rama/RNA-Seq1/FASTQC_reports/SRR1039523_pass_2_fastqc.zip
