Sample	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon
Control_rep1	0.59	6.17857	3.448663	1.228608	0.049644	0.651511
Control_rep2	0.57	6.542625999999999	3.6466149999999997	1.3539189999999999	0.052955999999999996	0.681152
Control_rep3	0.57	7.496937	4.188038	1.8645699999999998	0.072284	0.788492
Control_rep4	0.52	7.876684	4.2442969999999995	1.8407289999999998	0.073627	0.819761
Control_rep5	0.58	7.352575	4.0399329999999996	1.6497629999999999	0.065102	0.796411
Cyp_IL1b_rep1	0.67	8.276791	4.487547999999999	1.901038	0.08678799999999999	0.803578
Cyp_IL1b_rep2	0.67	9.711698	5.487547	2.118888	0.101034	0.9692419999999999
Cyp_IL1b_rep3	0.7	9.265638	5.171379	2.141652	0.095325	0.923809
Cyp_IL1b_rep4	0.62	7.312240999999999	3.8031639999999998	1.7759319999999998	0.083387	0.716183
Cyp_IL1b_rep5	0.66	7.150002	3.825796	1.6668889999999998	0.078134	0.731202
Cyp_rep1	0.62	7.042014999999999	3.929192	1.363592	0.057387	0.734208
Cyp_rep2	0.56	7.684695	4.214808	1.6939879999999998	0.070246	0.7851199999999999
Cyp_rep3	0.59	7.705845	4.329469	1.604773	0.073006	0.805124
Cyp_rep4	0.62	7.460067	4.228591	1.5286229999999998	0.06584	0.795775
Cyp_rep5	0.66	8.076406	4.5577689999999995	1.6717959999999998	0.070991	0.8820899999999999
IL1b_rep1	0.63	8.188507	4.3580429999999994	1.9003649999999999	0.089168	0.811614
IL1b_rep2	0.62	8.788974	4.771081	2.0165409999999997	0.104252	0.876508
IL1b_rep3	0.69	3.9691069999999997	2.103754	0.891725	0.043261999999999995	0.395001
IL1b_rep4	0.6	8.056047	4.3040009999999995	2.07707	0.097981	0.842132
IL1b_rep5	0.59	9.648985	5.1416319999999995	2.472032	0.118445	1.029082
