Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Control_rep1	(0, 15001.535965131694)	(1, 17393.897137455115)	(2, 18121.6056570478)	(3, 20198.757624939157)	(4, 22747.788379873073)	(5, 25563.71042686757)	(6, 27794.401366878315)	(7, 29125.879066393078)	(8, 30728.59667429268)	(9, 31953.155606305725)	(10, 32931.332536622445)	(11, 33819.08130625379)	(12, 34951.481041736224)	(13, 35584.393135468286)	(14, 35544.220763020574)	(15, 35490.905424219025)	(16, 35223.73208596574)	(17, 35350.52886348719)	(18, 35596.68903004934)	(19, 35905.134119708964)	(20, 36254.08775553139)	(21, 36258.80499815118)	(22, 36348.92495272429)	(23, 36514.59404964615)	(24, 35869.83953485287)	(25, 35221.44012672607)	(26, 34843.06617908511)	(27, 34617.283209924484)	(28, 34671.79111746141)	(29, 34551.35026167482)	(30, 34536.91579461224)	(31, 34638.5256158098)	(32, 34790.37063054083)	(33, 35029.90741101879)	(34, 35217.76327629687)	(35, 35460.48426239264)	(36, 35614.24978863938)	(37, 35571.06161660791)	(38, 35487.20854501706)	(39, 34933.32844968136)	(40, 34662.68528924906)	(41, 34454.760124780965)	(42, 34011.37737460928)	(43, 33889.02247465355)	(44, 33795.19996606354)	(45, 33871.63316858059)	(46, 33848.72019551406)	(47, 33995.94798462092)	(48, 33943.46697574204)	(49, 33649.25442473034)	(50, 33338.538850099)	(51, 33094.451099741)	(52, 32783.692902713396)	(53, 32632.863204636807)	(54, 32607.542929119532)	(55, 32566.925159039136)	(56, 32340.852564534223)	(57, 32364.967646145375)	(58, 32235.92908789511)	(59, 32235.474155773438)	(60, 32272.572829547807)	(61, 32128.833651272656)	(62, 31792.970581357084)	(63, 31706.507633152556)	(64, 31565.609594769947)	(65, 31249.822524241463)	(66, 31021.616676457106)	(67, 30745.745207951575)	(68, 30621.703525218807)	(69, 30632.50732116831)	(70, 30685.9143529897)	(71, 30805.137101824323)	(72, 30988.51420210578)	(73, 31061.645447986935)	(74, 31026.818989807805)	(75, 31003.275830680046)	(76, 31195.45627391432)	(77, 31476.193370367735)	(78, 31298.086556980103)	(79, 31142.645304913378)	(80, 30966.209887207835)	(81, 30970.95192804338)	(82, 30716.15138883772)	(83, 30372.6246488469)	(84, 29786.149199292948)	(85, 29602.69090063918)	(86, 29521.210263861027)	(87, 29327.19194166993)	(88, 28783.304295250087)	(89, 27559.09316154354)	(90, 26470.626054680444)	(91, 25915.236654103915)	(92, 25428.211370273606)	(93, 24372.242105139063)	(94, 22704.57158135907)	(95, 20109.994724734377)	(96, 16115.305354749751)	(97, 11121.951219758215)	(98, 6083.674718011579)	(99, 1749.0695938495348)
Control_rep2	(0, 15115.374074927237)	(1, 17829.317321961025)	(2, 18938.6280711475)	(3, 21036.566172725652)	(4, 23376.47416445919)	(5, 26071.29364830284)	(6, 28368.575702035356)	(7, 29806.3024610355)	(8, 31496.4322268397)	(9, 32872.267243361144)	(10, 33944.42435570147)	(11, 35129.61838556943)	(12, 36500.30299604909)	(13, 37222.51120178895)	(14, 37307.70049255772)	(15, 37382.116521494994)	(16, 37101.001712269215)	(17, 37111.60694696657)	(18, 37462.462623374886)	(19, 37710.23683061926)	(20, 38102.748510251506)	(21, 38143.59755514901)	(22, 38240.54590445665)	(23, 38433.62037084829)	(24, 37784.934911358774)	(25, 37100.552494186515)	(26, 36678.66474908681)	(27, 36521.110054455945)	(28, 36558.99022393751)	(29, 36468.5852541287)	(30, 36431.810902756624)	(31, 36532.051498294655)	(32, 36640.79265199498)	(33, 36872.52964729247)	(34, 37004.595225867764)	(35, 37183.160735880156)	(36, 37356.412993317004)	(37, 37294.80032589736)	(38, 37140.62971750637)	(39, 36664.00975554767)	(40, 36408.473907688895)	(41, 36246.12712319257)	(42, 35792.43328955352)	(43, 35720.33807302194)	(44, 35666.86954429127)	(45, 35746.24943545615)	(46, 35736.9668061148)	(47, 35909.19747536646)	(48, 35970.820869611045)	(49, 35704.65117496546)	(50, 35375.12423835111)	(51, 35132.99913532468)	(52, 34824.00699528006)	(53, 34597.88086908044)	(54, 34515.94542749745)	(55, 34450.989324517475)	(56, 34308.88240489945)	(57, 34387.962141273034)	(58, 34197.82674072904)	(59, 34150.54024928508)	(60, 34217.97321200291)	(61, 34027.00256996542)	(62, 33729.642085900814)	(63, 33587.115797570164)	(64, 33468.4213591357)	(65, 33077.323284933154)	(66, 32851.020223996595)	(67, 32624.734624560493)	(68, 32535.847863928837)	(69, 32511.376188669943)	(70, 32570.522867138512)	(71, 32617.518517916265)	(72, 32660.79808180938)	(73, 32770.73407766217)	(74, 32758.373790930757)	(75, 32705.898920180207)	(76, 32710.97086129165)	(77, 32735.101633895596)	(78, 32580.741828321923)	(79, 32642.732967232154)	(80, 32477.825558054577)	(81, 32475.05650641725)	(82, 32253.740001727834)	(83, 31956.217062942906)	(84, 31369.134249335188)	(85, 31001.11741582219)	(86, 30654.562782346296)	(87, 30347.32197000557)	(88, 29864.454599391844)	(89, 28813.6900451)	(90, 27740.223531416912)	(91, 26859.986331110955)	(92, 25801.90868370603)	(93, 24175.395307854116)	(94, 22179.620215021267)	(95, 19362.47629911803)	(96, 15477.19938403511)	(97, 10940.899487262797)	(98, 6185.023106537665)	(99, 1819.0883533903238)
Control_rep3	(0, 16229.777240521415)	(1, 18894.204593564224)	(2, 19935.5850813207)	(3, 22248.312613141225)	(4, 24931.90240776531)	(5, 27884.291174238522)	(6, 30281.030968346742)	(7, 31754.475976506914)	(8, 33603.7224587983)	(9, 35089.077715264146)	(10, 36224.99826105501)	(11, 37414.89956520988)	(12, 38816.20563422544)	(13, 39625.45746934492)	(14, 39742.381188038016)	(15, 39725.10070380742)	(16, 39544.40933327785)	(17, 39636.94198526666)	(18, 39913.89321162026)	(19, 40276.40907523042)	(20, 40718.64698280044)	(21, 40774.191001007406)	(22, 40924.55356717622)	(23, 41184.7683892559)	(24, 40654.99537134344)	(25, 40137.80010932768)	(26, 39853.204539146536)	(27, 39757.62991377112)	(28, 39900.94235091913)	(29, 39772.037495758384)	(30, 39748.81789569351)	(31, 39922.4872890473)	(32, 40071.67765961016)	(33, 40352.05475759915)	(34, 40527.23792239568)	(35, 40785.25166527226)	(36, 40932.345468789805)	(37, 40817.12742998376)	(38, 40628.93625593341)	(39, 40124.49980536004)	(40, 39913.47575095459)	(41, 39756.35641384131)	(42, 39285.36727292756)	(43, 39167.591830121906)	(44, 39130.24203155534)	(45, 39180.72780352416)	(46, 39090.67820956139)	(47, 39216.029930348814)	(48, 39217.28388534186)	(49, 38961.991150610585)	(50, 38652.787231874056)	(51, 38317.47035114952)	(52, 37946.28809906526)	(53, 37726.66026962867)	(54, 37664.8667055286)	(55, 37691.88018982179)	(56, 37597.05206453015)	(57, 37805.47643785778)	(58, 37667.22163565455)	(59, 37563.91326482982)	(60, 37531.405305625776)	(61, 37182.96840256875)	(62, 36782.010191634974)	(63, 36517.65064401264)	(64, 36341.155411308304)	(65, 35868.510613657294)	(66, 35708.97342839329)	(67, 35560.35581622982)	(68, 35537.520504719614)	(69, 35667.3618317775)	(70, 35773.91249377048)	(71, 35935.45001379335)	(72, 36030.599245009354)	(73, 36077.47091383262)	(74, 36150.66386366481)	(75, 36112.322085739856)	(76, 36201.50505356454)	(77, 36263.79140737057)	(78, 35961.45070129344)	(79, 35967.67644966369)	(80, 35778.67325968485)	(81, 35826.32046287716)	(82, 35611.242506853225)	(83, 35256.519226464356)	(84, 34599.30945743067)	(85, 34203.42880545733)	(86, 33917.824491580395)	(87, 33541.821008565086)	(88, 33121.43163154537)	(89, 32042.545249880957)	(90, 30968.799156843812)	(91, 30079.05157667587)	(92, 28974.10042350276)	(93, 27334.969967441648)	(94, 25209.214735165973)	(95, 22095.17318612362)	(96, 17728.226196836717)	(97, 12572.14853494901)	(98, 7131.3363857324775)	(99, 2104.4091917579995)
Control_rep4	(0, 16858.69424807529)	(1, 19849.937817088343)	(2, 20973.089801683527)	(3, 23380.763734005166)	(4, 26142.229661306348)	(5, 29182.980193452717)	(6, 31659.384177588076)	(7, 33153.12762402659)	(8, 35019.087718423616)	(9, 36403.94752274677)	(10, 37530.44177480081)	(11, 38710.23212270477)	(12, 40145.00268389056)	(13, 40971.68976687892)	(14, 40978.5475767902)	(15, 41107.08463225487)	(16, 40990.69105998824)	(17, 41132.968072263975)	(18, 41461.89684397364)	(19, 41853.11901743873)	(20, 42325.58326290201)	(21, 42410.96398158863)	(22, 42586.23714942342)	(23, 42784.14940357212)	(24, 42060.37301681556)	(25, 41366.1404286794)	(26, 41034.59747852725)	(27, 40934.46065511901)	(28, 41199.21355033675)	(29, 41099.80031960366)	(30, 41132.56338525075)	(31, 41313.426166091114)	(32, 41509.714074956864)	(33, 41749.86054976569)	(34, 41966.59925012409)	(35, 42214.21858271832)	(36, 42390.89094323928)	(37, 42362.17664763244)	(38, 42274.81728972962)	(39, 41697.50837666055)	(40, 41349.29953086455)	(41, 41188.284802302354)	(42, 40672.38856639004)	(43, 40544.396414146235)	(44, 40482.033415777805)	(45, 40501.283689658165)	(46, 40385.63143427994)	(47, 40534.30582797795)	(48, 40548.608303868736)	(49, 40260.71496187188)	(50, 39922.17519578792)	(51, 39673.082990000155)	(52, 39350.767361528655)	(53, 39158.82370412238)	(54, 39031.50776460731)	(55, 38985.77044171218)	(56, 38704.92753816412)	(57, 38787.49257927122)	(58, 38549.41442670327)	(59, 38504.161027418704)	(60, 38537.84786813217)	(61, 38283.54383325211)	(62, 37936.34469552946)	(63, 37861.34092016521)	(64, 37691.827879499964)	(65, 37295.53357715556)	(66, 37075.31987021061)	(67, 36796.15189251139)	(68, 36747.013288812646)	(69, 36785.00041338919)	(70, 36843.23269933904)	(71, 37027.590167866634)	(72, 37183.95637042537)	(73, 37249.99891401496)	(74, 37208.155681200515)	(75, 37136.57572618912)	(76, 37318.286805453215)	(77, 37562.13482531126)	(78, 37308.1722867173)	(79, 37192.191350792156)	(80, 36967.42438966069)	(81, 36964.49511144395)	(82, 36709.61553451513)	(83, 36209.212044558044)	(84, 35430.08824033557)	(85, 35078.045948641826)	(86, 34803.9362386015)	(87, 34426.39331284379)	(88, 33819.2498173056)	(89, 32494.11684969165)	(90, 31316.5300436939)	(91, 30570.352001057123)	(92, 29779.40682733622)	(93, 28450.50776563784)	(94, 26596.287264731145)	(95, 23595.387562993106)	(96, 18943.038439019892)	(97, 13194.162080614706)	(98, 7350.525369515191)	(99, 2113.8165033551463)
Control_rep5	(0, 16579.074107495257)	(1, 19603.260993197728)	(2, 20604.81684783073)	(3, 22971.67187919194)	(4, 25709.243916439576)	(5, 28527.8880603359)	(6, 30804.318287166243)	(7, 32206.003556517862)	(8, 33981.11038936695)	(9, 35302.89699432148)	(10, 36318.49368539387)	(11, 37370.14110817706)	(12, 38743.6790005082)	(13, 39475.351727853784)	(14, 39479.76235525852)	(15, 39570.501768212154)	(16, 39528.34408486974)	(17, 39778.28147794481)	(18, 40161.61447772654)	(19, 40543.95438493456)	(20, 40975.003928017424)	(21, 41112.373360607075)	(22, 41303.71348969302)	(23, 41518.681906287915)	(24, 40764.59804609103)	(25, 40048.15190048188)	(26, 39657.116527914804)	(27, 39567.80942621539)	(28, 39757.41436734993)	(29, 39670.95319680633)	(30, 39742.25708438054)	(31, 39951.51735558789)	(32, 40103.889816032504)	(33, 40365.40325575937)	(34, 40543.66042092679)	(35, 40790.30743941813)	(36, 40871.9584065036)	(37, 40812.01693793495)	(38, 40636.897309902444)	(39, 40035.39790305007)	(40, 39698.73062006454)	(41, 39466.07713742732)	(42, 38936.062716595516)	(43, 38795.98324420838)	(44, 38723.91946910782)	(45, 38799.87462626893)	(46, 38800.497621310016)	(47, 39000.87265093488)	(48, 38969.85026275959)	(49, 38635.57343859558)	(50, 38279.731242455746)	(51, 38022.05611297369)	(52, 37687.8582484826)	(53, 37500.585552144985)	(54, 37444.4162752133)	(55, 37426.25706369258)	(56, 37270.143831068184)	(57, 37404.431379010115)	(58, 37246.20663155814)	(59, 37216.665746765844)	(60, 37285.54067253682)	(61, 37026.981058474405)	(62, 36685.09437711982)	(63, 36624.108311364784)	(64, 36486.52193286429)	(65, 36116.70338598862)	(66, 35933.49180781266)	(67, 35669.375762169555)	(68, 35523.62502792348)	(69, 35581.23625728099)	(70, 35600.19027195112)	(71, 35765.56588910898)	(72, 35891.65325499271)	(73, 35944.97041063907)	(74, 35872.66302440708)	(75, 35804.83298801546)	(76, 36063.471572898496)	(77, 36313.646463156605)	(78, 36069.84163821948)	(79, 35965.57545683707)	(80, 35743.95256829258)	(81, 35800.556901836106)	(82, 35550.97579325238)	(83, 35139.17298067152)	(84, 34378.20858922197)	(85, 34121.77412594081)	(86, 33957.85780250852)	(87, 33613.119191900056)	(88, 32996.54450511384)	(89, 31545.572688620927)	(90, 30285.04093532935)	(91, 29564.780612580435)	(92, 28888.445963116206)	(93, 27584.65209239144)	(94, 25638.95611025242)	(95, 22648.91495678816)	(96, 18095.202079308063)	(97, 12571.70421082748)	(98, 6994.543240824602)	(99, 2021.0707221994799)
Cyp_IL1b_rep1	(0, 16980.167255173703)	(1, 19953.253679189893)	(2, 21189.46102787573)	(3, 23688.337390199227)	(4, 26681.477820812685)	(5, 30211.652976895028)	(6, 32834.67651124096)	(7, 34546.25525903166)	(8, 36541.87618434912)	(9, 38403.6736997345)	(10, 39516.17799404931)	(11, 40032.9033581368)	(12, 40673.467542872306)	(13, 41131.69281633691)	(14, 41129.973631457426)	(15, 41131.00026734785)	(16, 41125.83881671428)	(17, 41501.48646559815)	(18, 41719.50775947205)	(19, 41757.55521292693)	(20, 41813.019019378095)	(21, 41753.81801531797)	(22, 42044.86639845939)	(23, 42535.8032244005)	(24, 41940.52772126973)	(25, 41315.37620156697)	(26, 41168.65238731338)	(27, 41113.99152732582)	(28, 41149.95151492499)	(29, 40982.265734321976)	(30, 41137.63585904073)	(31, 41316.37658013743)	(32, 41684.55616014714)	(33, 41904.60552547107)	(34, 41880.849544472316)	(35, 41836.09868829768)	(36, 41756.996925169646)	(37, 41625.028495643615)	(38, 41717.25432019671)	(39, 41296.40266478641)	(40, 41003.371344775805)	(41, 40897.63309376476)	(42, 40526.71783578929)	(43, 40451.60448278706)	(44, 40433.76834754729)	(45, 40328.09267844377)	(46, 40127.823403943956)	(47, 40203.12106782777)	(48, 39884.10329924132)	(49, 39647.81140941398)	(50, 39201.16735439638)	(51, 39017.53067305994)	(52, 38808.742436448185)	(53, 38897.03955076065)	(54, 39067.24364699898)	(55, 39135.92922413893)	(56, 38938.12899862884)	(57, 39007.456613207825)	(58, 38820.68407123638)	(59, 38452.60422631648)	(60, 38355.76401863218)	(61, 38098.02446265694)	(62, 37953.61072248991)	(63, 37854.307247889396)	(64, 37866.35879553708)	(65, 37440.70339439737)	(66, 37106.38827398023)	(67, 37063.59102528003)	(68, 36964.31189013131)	(69, 36833.14086790761)	(70, 36831.5234162845)	(71, 36910.851815725226)	(72, 36967.626721137734)	(73, 36887.21697877197)	(74, 36633.00146616269)	(75, 36401.02503173359)	(76, 36353.648610750635)	(77, 36540.76013062108)	(78, 36637.70691231053)	(79, 36683.35588927821)	(80, 36145.7214535638)	(81, 35977.87579824218)	(82, 35595.37850973949)	(83, 35020.465092946164)	(84, 34253.11966982154)	(85, 33819.955399527025)	(86, 33576.66275770595)	(87, 33262.932462675286)	(88, 32851.95024813442)	(89, 32024.10342615035)	(90, 31024.33774099225)	(91, 30079.128363448486)	(92, 29062.083253811634)	(93, 27837.19120442085)	(94, 25923.986202978343)	(95, 22816.12695923727)	(96, 18731.24701656077)	(97, 13473.235257582424)	(98, 7592.049374655496)	(99, 2237.5635196573517)
Cyp_IL1b_rep2	(0, 20431.165090290746)	(1, 23909.213732284774)	(2, 25646.29141450289)	(3, 28789.795498062656)	(4, 32421.539827499204)	(5, 36776.58107698947)	(6, 40047.09928663496)	(7, 42244.46335524752)	(8, 44863.321006894555)	(9, 47169.88871074032)	(10, 48618.12906214958)	(11, 49410.666997611675)	(12, 50368.050653493745)	(13, 50992.12699501735)	(14, 50901.678260074405)	(15, 50868.08864948163)	(16, 50925.63388030894)	(17, 51480.73096653406)	(18, 51667.895027405735)	(19, 51671.10701151261)	(20, 51807.81794369398)	(21, 51838.66092493909)	(22, 52289.01341339828)	(23, 52765.74474928003)	(24, 51880.91149615272)	(25, 51023.221894970746)	(26, 50822.81893446586)	(27, 50702.735882940666)	(28, 50774.88422392041)	(29, 50680.49972622883)	(30, 50985.7134541908)	(31, 51243.80554680294)	(32, 51702.18609699004)	(33, 52002.628388232464)	(34, 52019.60906412161)	(35, 52116.89991855431)	(36, 52100.9942204394)	(37, 52062.07355241863)	(38, 52190.52525968189)	(39, 51692.82742137408)	(40, 51441.10779210004)	(41, 51363.71739648037)	(42, 51022.186488303196)	(43, 51001.0689315292)	(44, 50933.41761172798)	(45, 50732.65797465733)	(46, 50350.74102616601)	(47, 50345.24993552668)	(48, 50016.37062775894)	(49, 49795.991991883595)	(50, 49242.130977147135)	(51, 48918.816046789056)	(52, 48570.699437128336)	(53, 48536.87806221659)	(54, 48733.67274159427)	(55, 48783.85917101626)	(56, 48542.8407153197)	(57, 48644.25007381843)	(58, 48433.553583515466)	(59, 48082.69192094028)	(60, 48007.63248035877)	(61, 47646.513572844524)	(62, 47370.504957157485)	(63, 47196.05347369845)	(64, 47242.28842663803)	(65, 46762.03201218897)	(66, 46348.05122892022)	(67, 46276.55428442603)	(68, 46123.3381084627)	(69, 46007.2449291227)	(70, 46007.404808511375)	(71, 46234.28209841544)	(72, 46317.21482461779)	(73, 46204.83829875147)	(74, 46017.91321724487)	(75, 45765.322511299455)	(76, 45829.08912565222)	(77, 46196.53929167707)	(78, 46281.10455359971)	(79, 46283.11333022803)	(80, 45627.92768753648)	(81, 45351.488712639315)	(82, 44840.14457790621)	(83, 44007.24939573964)	(84, 42955.4730410511)	(85, 42400.556840467405)	(86, 42181.03988035727)	(87, 41812.540762166245)	(88, 41335.204799420055)	(89, 40261.29619566517)	(90, 39166.86563681057)	(91, 38364.89336086631)	(92, 37450.99344054996)	(93, 36135.33461326584)	(94, 33975.73178364453)	(95, 30023.080694982953)	(96, 24585.560902027843)	(97, 17471.116865227843)	(98, 9694.69962195259)	(99, 2797.6075780339565)
Cyp_IL1b_rep3	(0, 19224.730107350235)	(1, 22864.651498881398)	(2, 24525.902961980664)	(3, 27383.231625755085)	(4, 30695.752945707634)	(5, 34613.47859655795)	(6, 37580.071906679455)	(7, 39588.77106577089)	(8, 41912.49387186093)	(9, 43970.530740772345)	(10, 45253.65834141615)	(11, 46025.788046478345)	(12, 46865.7833172435)	(13, 47516.132643448735)	(14, 47602.51665458858)	(15, 47578.86463784298)	(16, 47673.34058355063)	(17, 48159.44253074601)	(18, 48375.474765551226)	(19, 48479.35885841993)	(20, 48622.31033017203)	(21, 48639.81447819426)	(22, 49092.92414817416)	(23, 49613.50335629673)	(24, 48882.80066834943)	(25, 48168.185751117075)	(26, 48004.81458060578)	(27, 48009.078801695665)	(28, 48198.839903700544)	(29, 48012.363525409266)	(30, 48130.10248414763)	(31, 48345.89997691072)	(32, 48747.737044273264)	(33, 49065.57938104908)	(34, 49048.91256102118)	(35, 49150.49327328512)	(36, 49165.01966788155)	(37, 49054.651877907374)	(38, 49139.58535484824)	(39, 48758.62428581565)	(40, 48546.15376637927)	(41, 48430.78810720219)	(42, 48123.80434561707)	(43, 48094.080042222224)	(44, 47997.932490460065)	(45, 47795.15653691009)	(46, 47433.060577196426)	(47, 47423.604971168985)	(48, 47100.956616886186)	(49, 46907.65901045453)	(50, 46411.212029374714)	(51, 46105.64905865572)	(52, 45814.14339542938)	(53, 45822.235341494496)	(54, 46029.953876862)	(55, 46106.46070014511)	(56, 45901.00217589542)	(57, 45981.953708080015)	(58, 45805.73509495764)	(59, 45415.65631352032)	(60, 45258.08366404835)	(61, 44813.3354069017)	(62, 44581.27465879641)	(63, 44424.01132122999)	(64, 44424.14010234839)	(65, 43995.845953373566)	(66, 43578.75538906106)	(67, 43478.96519066077)	(68, 43364.838579152456)	(69, 43249.850813743724)	(70, 43188.420714730026)	(71, 43363.32180511284)	(72, 43426.88882672902)	(73, 43308.810294877134)	(74, 43066.21725479577)	(75, 42738.188175847965)	(76, 42687.18656022599)	(77, 42938.67891839749)	(78, 42936.355011472326)	(79, 42960.08034002869)	(80, 42324.74382188442)	(81, 42125.03931198273)	(82, 41688.68596079186)	(83, 40939.6725387818)	(84, 40025.44138155893)	(85, 39536.11061341909)	(86, 39235.114739362914)	(87, 38853.991756596806)	(88, 38365.593660037026)	(89, 37394.40105572245)	(90, 36411.13439886233)	(91, 35677.05336619964)	(92, 34847.76048214247)	(93, 33545.37304390136)	(94, 31334.79551868448)	(95, 27500.69054762303)	(96, 22431.41719691191)	(97, 15997.235149251559)	(98, 8912.441217343525)	(99, 2569.1864331118672)
Cyp_IL1b_rep4	(0, 14771.186078963365)	(1, 17337.09059685715)	(2, 18482.68751815976)	(3, 20627.65539205199)	(4, 23085.384616335195)	(5, 26089.7815819187)	(6, 28295.44127747496)	(7, 29768.894452401208)	(8, 31473.29742969639)	(9, 32972.97351874237)	(10, 33839.974044492854)	(11, 34240.19171246929)	(12, 34772.517999257056)	(13, 35195.84933749189)	(14, 35037.048799078715)	(15, 34915.527457455115)	(16, 35006.302371457605)	(17, 35388.18476939544)	(18, 35496.44101167416)	(19, 35501.11402798161)	(20, 35512.14698051719)	(21, 35449.41769295458)	(22, 35687.81873564736)	(23, 36016.52034491339)	(24, 35334.34388262294)	(25, 34710.33244663231)	(26, 34574.72482097794)	(27, 34517.52588744669)	(28, 34556.34330107354)	(29, 34342.084941514586)	(30, 34466.36353704213)	(31, 34685.66403364887)	(32, 35022.81558970809)	(33, 35218.04707113415)	(34, 35271.305606051625)	(35, 35380.9909949831)	(36, 35400.59494280304)	(37, 35292.22246590378)	(38, 35403.90119831719)	(39, 35009.93472549881)	(40, 34730.81190193575)	(41, 34603.92901998976)	(42, 34243.12192235956)	(43, 34164.1224405805)	(44, 34069.57017106149)	(45, 33896.22955671913)	(46, 33685.869632986694)	(47, 33747.212844642076)	(48, 33580.87192837143)	(49, 33387.82755582486)	(50, 32946.17179391197)	(51, 32742.662237148255)	(52, 32543.86112208595)	(53, 32570.929776415644)	(54, 32657.94175935589)	(55, 32625.612294354472)	(56, 32342.491561588286)	(57, 32388.474612506394)	(58, 32200.72294949474)	(59, 31990.846039981952)	(60, 31989.16606334571)	(61, 31725.074686091506)	(62, 31506.77934738359)	(63, 31428.69244276529)	(64, 31403.23222242869)	(65, 31073.152323685314)	(66, 30778.685030783585)	(67, 30748.572599353505)	(68, 30707.446849834687)	(69, 30671.274084909866)	(70, 30643.73108177622)	(71, 30800.439822756445)	(72, 30962.572378418794)	(73, 30905.400111113115)	(74, 30827.116470484187)	(75, 30616.348022667273)	(76, 30606.723799721633)	(77, 30841.01354644137)	(78, 30820.32546250521)	(79, 30795.200975698892)	(80, 30241.6892507616)	(81, 30023.047590033853)	(82, 29659.982840673594)	(83, 29022.596553351774)	(84, 28284.14061953955)	(85, 28001.941801650595)	(86, 27879.133499148742)	(87, 27556.812745312553)	(88, 27275.399386828543)	(89, 26590.544451459977)	(90, 25951.42179203725)	(91, 25564.21542851083)	(92, 25123.43882375678)	(93, 24541.760734216845)	(94, 23329.484941774583)	(95, 20679.949358328387)	(96, 16949.906190602906)	(97, 12051.660397916701)	(98, 6723.202739618847)	(99, 1933.839027332813)
Cyp_IL1b_rep5	(0, 15995.76597775343)	(1, 18659.26983260048)	(2, 19718.621753476804)	(3, 21836.57093547182)	(4, 24389.883893472357)	(5, 27567.387069155204)	(6, 29722.960789711746)	(7, 31032.119557409085)	(8, 32661.183343876313)	(9, 34149.78624593002)	(10, 35032.80899138385)	(11, 35374.93657473264)	(12, 35820.614763314254)	(13, 36198.17940243055)	(14, 36107.45225768847)	(15, 35993.23417170028)	(16, 36185.514991943215)	(17, 36578.07326268359)	(18, 36618.38716443226)	(19, 36621.5275250609)	(20, 36549.28373718785)	(21, 36337.616688691436)	(22, 36499.38746456743)	(23, 36685.42836946485)	(24, 35954.36607450885)	(25, 35260.74273542723)	(26, 35155.44752331423)	(27, 35079.583668423125)	(28, 35100.64500575452)	(29, 34885.087670924826)	(30, 35045.72127824577)	(31, 35254.56543286507)	(32, 35581.61831226459)	(33, 35748.04543295567)	(34, 35639.492583425665)	(35, 35597.99681138739)	(36, 35517.39940366458)	(37, 35353.342254593466)	(38, 35399.96414243337)	(39, 34985.36380957933)	(40, 34692.701061881824)	(41, 34533.17425149913)	(42, 34245.57656745007)	(43, 34204.36950160504)	(44, 34108.124319484)	(45, 33945.16039465094)	(46, 33654.89805650529)	(47, 33633.62396240909)	(48, 33426.44175756882)	(49, 33331.99587488894)	(50, 32892.1526231787)	(51, 32698.856117469324)	(52, 32444.58647649688)	(53, 32530.715909059683)	(54, 32648.598919377077)	(55, 32611.243765778174)	(56, 32403.186945407044)	(57, 32413.783536337967)	(58, 32257.331516945378)	(59, 31956.684581998314)	(60, 31916.8378965195)	(61, 31609.92506396632)	(62, 31467.509889552388)	(63, 31386.473813716784)	(64, 31449.5055939912)	(65, 31107.527505109956)	(66, 30821.22412180378)	(67, 30851.108372421044)	(68, 30762.40945731041)	(69, 30683.21986599366)	(70, 30580.3551373993)	(71, 30679.79081074568)	(72, 30809.354706273116)	(73, 30675.074869531596)	(74, 30535.286541577694)	(75, 30272.64207701515)	(76, 30285.85826542573)	(77, 30478.892300162435)	(78, 30424.133813782122)	(79, 30469.662296136044)	(80, 29958.956700400682)	(81, 29794.58119786429)	(82, 29418.388911979466)	(83, 28810.504120992642)	(84, 28056.51380631009)	(85, 27785.923397242925)	(86, 27663.39572064454)	(87, 27309.028324850013)	(88, 27042.55560767078)	(89, 26345.11271136941)	(90, 25689.815854996486)	(91, 25191.613159931552)	(92, 24585.875847585063)	(93, 23915.343096360313)	(94, 22602.985253125065)	(95, 19929.845227111648)	(96, 16334.754643847697)	(97, 11628.88012368285)	(98, 6530.608335486991)	(99, 1911.1557472013485)
