Sample	Exonic	Intronic	Intergenic
Control_rep1	3448663.0	1228608.0	49644.0
Control_rep2	3646615.0	1353919.0	52956.0
Control_rep3	4188038.0	1864570.0	72284.0
Control_rep4	4244297.0	1840729.0	73627.0
Control_rep5	4039933.0	1649763.0	65102.0
Cyp_IL1b_rep1	4487548.0	1901038.0	86788.0
Cyp_IL1b_rep2	5487547.0	2118888.0	101034.0
Cyp_IL1b_rep3	5171379.0	2141652.0	95325.0
Cyp_IL1b_rep4	3803164.0	1775932.0	83387.0
Cyp_IL1b_rep5	3825796.0	1666889.0	78134.0
Cyp_rep1	3929192.0	1363592.0	57387.0
Cyp_rep2	4214808.0	1693988.0	70246.0
Cyp_rep3	4329469.0	1604773.0	73006.0
Cyp_rep4	4228591.0	1528623.0	65840.0
Cyp_rep5	4557769.0	1671796.0	70991.0
IL1b_rep1	4358043.0	1900365.0	89168.0
IL1b_rep2	4771081.0	2016541.0	104252.0
IL1b_rep3	2103754.0	891725.0	43262.0
IL1b_rep4	4304001.0	2077070.0	97981.0
IL1b_rep5	5141632.0	2472032.0	118445.0
