Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Control_rep1	15001.535965131694	17393.897137455115	18121.6056570478	20198.757624939157	22747.788379873073	25563.71042686757	27794.401366878315	29125.879066393078	30728.59667429268	31953.155606305725	32931.332536622445	33819.08130625379	34951.481041736224	35584.393135468286	35544.220763020574	35490.905424219025	35223.73208596574	35350.52886348719	35596.68903004934	35905.134119708964	36254.08775553139	36258.80499815118	36348.92495272429	36514.59404964615	35869.83953485287	35221.44012672607	34843.06617908511	34617.283209924484	34671.79111746141	34551.35026167482	34536.91579461224	34638.5256158098	34790.37063054083	35029.90741101879	35217.76327629687	35460.48426239264	35614.24978863938	35571.06161660791	35487.20854501706	34933.32844968136	34662.68528924906	34454.760124780965	34011.37737460928	33889.02247465355	33795.19996606354	33871.63316858059	33848.72019551406	33995.94798462092	33943.46697574204	33649.25442473034	33338.538850099	33094.451099741	32783.692902713396	32632.863204636807	32607.542929119532	32566.925159039136	32340.852564534223	32364.967646145375	32235.92908789511	32235.474155773438	32272.572829547807	32128.833651272656	31792.970581357084	31706.507633152556	31565.609594769947	31249.822524241463	31021.616676457106	30745.745207951575	30621.703525218807	30632.50732116831	30685.9143529897	30805.137101824323	30988.51420210578	31061.645447986935	31026.818989807805	31003.275830680046	31195.45627391432	31476.193370367735	31298.086556980103	31142.645304913378	30966.209887207835	30970.95192804338	30716.15138883772	30372.6246488469	29786.149199292948	29602.69090063918	29521.210263861027	29327.19194166993	28783.304295250087	27559.09316154354	26470.626054680444	25915.236654103915	25428.211370273606	24372.242105139063	22704.57158135907	20109.994724734377	16115.305354749751	11121.951219758215	6083.674718011579	1749.0695938495348
Control_rep2	15115.374074927237	17829.317321961025	18938.6280711475	21036.566172725652	23376.47416445919	26071.29364830284	28368.575702035356	29806.3024610355	31496.4322268397	32872.267243361144	33944.42435570147	35129.61838556943	36500.30299604909	37222.51120178895	37307.70049255772	37382.116521494994	37101.001712269215	37111.60694696657	37462.462623374886	37710.23683061926	38102.748510251506	38143.59755514901	38240.54590445665	38433.62037084829	37784.934911358774	37100.552494186515	36678.66474908681	36521.110054455945	36558.99022393751	36468.5852541287	36431.810902756624	36532.051498294655	36640.79265199498	36872.52964729247	37004.595225867764	37183.160735880156	37356.412993317004	37294.80032589736	37140.62971750637	36664.00975554767	36408.473907688895	36246.12712319257	35792.43328955352	35720.33807302194	35666.86954429127	35746.24943545615	35736.9668061148	35909.19747536646	35970.820869611045	35704.65117496546	35375.12423835111	35132.99913532468	34824.00699528006	34597.88086908044	34515.94542749745	34450.989324517475	34308.88240489945	34387.962141273034	34197.82674072904	34150.54024928508	34217.97321200291	34027.00256996542	33729.642085900814	33587.115797570164	33468.4213591357	33077.323284933154	32851.020223996595	32624.734624560493	32535.847863928837	32511.376188669943	32570.522867138512	32617.518517916265	32660.79808180938	32770.73407766217	32758.373790930757	32705.898920180207	32710.97086129165	32735.101633895596	32580.741828321923	32642.732967232154	32477.825558054577	32475.05650641725	32253.740001727834	31956.217062942906	31369.134249335188	31001.11741582219	30654.562782346296	30347.32197000557	29864.454599391844	28813.6900451	27740.223531416912	26859.986331110955	25801.90868370603	24175.395307854116	22179.620215021267	19362.47629911803	15477.19938403511	10940.899487262797	6185.023106537665	1819.0883533903238
Control_rep3	16229.777240521415	18894.204593564224	19935.5850813207	22248.312613141225	24931.90240776531	27884.291174238522	30281.030968346742	31754.475976506914	33603.7224587983	35089.077715264146	36224.99826105501	37414.89956520988	38816.20563422544	39625.45746934492	39742.381188038016	39725.10070380742	39544.40933327785	39636.94198526666	39913.89321162026	40276.40907523042	40718.64698280044	40774.191001007406	40924.55356717622	41184.7683892559	40654.99537134344	40137.80010932768	39853.204539146536	39757.62991377112	39900.94235091913	39772.037495758384	39748.81789569351	39922.4872890473	40071.67765961016	40352.05475759915	40527.23792239568	40785.25166527226	40932.345468789805	40817.12742998376	40628.93625593341	40124.49980536004	39913.47575095459	39756.35641384131	39285.36727292756	39167.591830121906	39130.24203155534	39180.72780352416	39090.67820956139	39216.029930348814	39217.28388534186	38961.991150610585	38652.787231874056	38317.47035114952	37946.28809906526	37726.66026962867	37664.8667055286	37691.88018982179	37597.05206453015	37805.47643785778	37667.22163565455	37563.91326482982	37531.405305625776	37182.96840256875	36782.010191634974	36517.65064401264	36341.155411308304	35868.510613657294	35708.97342839329	35560.35581622982	35537.520504719614	35667.3618317775	35773.91249377048	35935.45001379335	36030.599245009354	36077.47091383262	36150.66386366481	36112.322085739856	36201.50505356454	36263.79140737057	35961.45070129344	35967.67644966369	35778.67325968485	35826.32046287716	35611.242506853225	35256.519226464356	34599.30945743067	34203.42880545733	33917.824491580395	33541.821008565086	33121.43163154537	32042.545249880957	30968.799156843812	30079.05157667587	28974.10042350276	27334.969967441648	25209.214735165973	22095.17318612362	17728.226196836717	12572.14853494901	7131.3363857324775	2104.4091917579995
Control_rep4	16858.69424807529	19849.937817088343	20973.089801683527	23380.763734005166	26142.229661306348	29182.980193452717	31659.384177588076	33153.12762402659	35019.087718423616	36403.94752274677	37530.44177480081	38710.23212270477	40145.00268389056	40971.68976687892	40978.5475767902	41107.08463225487	40990.69105998824	41132.968072263975	41461.89684397364	41853.11901743873	42325.58326290201	42410.96398158863	42586.23714942342	42784.14940357212	42060.37301681556	41366.1404286794	41034.59747852725	40934.46065511901	41199.21355033675	41099.80031960366	41132.56338525075	41313.426166091114	41509.714074956864	41749.86054976569	41966.59925012409	42214.21858271832	42390.89094323928	42362.17664763244	42274.81728972962	41697.50837666055	41349.29953086455	41188.284802302354	40672.38856639004	40544.396414146235	40482.033415777805	40501.283689658165	40385.63143427994	40534.30582797795	40548.608303868736	40260.71496187188	39922.17519578792	39673.082990000155	39350.767361528655	39158.82370412238	39031.50776460731	38985.77044171218	38704.92753816412	38787.49257927122	38549.41442670327	38504.161027418704	38537.84786813217	38283.54383325211	37936.34469552946	37861.34092016521	37691.827879499964	37295.53357715556	37075.31987021061	36796.15189251139	36747.013288812646	36785.00041338919	36843.23269933904	37027.590167866634	37183.95637042537	37249.99891401496	37208.155681200515	37136.57572618912	37318.286805453215	37562.13482531126	37308.1722867173	37192.191350792156	36967.42438966069	36964.49511144395	36709.61553451513	36209.212044558044	35430.08824033557	35078.045948641826	34803.9362386015	34426.39331284379	33819.2498173056	32494.11684969165	31316.5300436939	30570.352001057123	29779.40682733622	28450.50776563784	26596.287264731145	23595.387562993106	18943.038439019892	13194.162080614706	7350.525369515191	2113.8165033551463
Control_rep5	16579.074107495257	19603.260993197728	20604.81684783073	22971.67187919194	25709.243916439576	28527.8880603359	30804.318287166243	32206.003556517862	33981.11038936695	35302.89699432148	36318.49368539387	37370.14110817706	38743.6790005082	39475.351727853784	39479.76235525852	39570.501768212154	39528.34408486974	39778.28147794481	40161.61447772654	40543.95438493456	40975.003928017424	41112.373360607075	41303.71348969302	41518.681906287915	40764.59804609103	40048.15190048188	39657.116527914804	39567.80942621539	39757.41436734993	39670.95319680633	39742.25708438054	39951.51735558789	40103.889816032504	40365.40325575937	40543.66042092679	40790.30743941813	40871.9584065036	40812.01693793495	40636.897309902444	40035.39790305007	39698.73062006454	39466.07713742732	38936.062716595516	38795.98324420838	38723.91946910782	38799.87462626893	38800.497621310016	39000.87265093488	38969.85026275959	38635.57343859558	38279.731242455746	38022.05611297369	37687.8582484826	37500.585552144985	37444.4162752133	37426.25706369258	37270.143831068184	37404.431379010115	37246.20663155814	37216.665746765844	37285.54067253682	37026.981058474405	36685.09437711982	36624.108311364784	36486.52193286429	36116.70338598862	35933.49180781266	35669.375762169555	35523.62502792348	35581.23625728099	35600.19027195112	35765.56588910898	35891.65325499271	35944.97041063907	35872.66302440708	35804.83298801546	36063.471572898496	36313.646463156605	36069.84163821948	35965.57545683707	35743.95256829258	35800.556901836106	35550.97579325238	35139.17298067152	34378.20858922197	34121.77412594081	33957.85780250852	33613.119191900056	32996.54450511384	31545.572688620927	30285.04093532935	29564.780612580435	28888.445963116206	27584.65209239144	25638.95611025242	22648.91495678816	18095.202079308063	12571.70421082748	6994.543240824602	2021.0707221994799
Cyp_IL1b_rep1	16980.167255173703	19953.253679189893	21189.46102787573	23688.337390199227	26681.477820812685	30211.652976895028	32834.67651124096	34546.25525903166	36541.87618434912	38403.6736997345	39516.17799404931	40032.9033581368	40673.467542872306	41131.69281633691	41129.973631457426	41131.00026734785	41125.83881671428	41501.48646559815	41719.50775947205	41757.55521292693	41813.019019378095	41753.81801531797	42044.86639845939	42535.8032244005	41940.52772126973	41315.37620156697	41168.65238731338	41113.99152732582	41149.95151492499	40982.265734321976	41137.63585904073	41316.37658013743	41684.55616014714	41904.60552547107	41880.849544472316	41836.09868829768	41756.996925169646	41625.028495643615	41717.25432019671	41296.40266478641	41003.371344775805	40897.63309376476	40526.71783578929	40451.60448278706	40433.76834754729	40328.09267844377	40127.823403943956	40203.12106782777	39884.10329924132	39647.81140941398	39201.16735439638	39017.53067305994	38808.742436448185	38897.03955076065	39067.24364699898	39135.92922413893	38938.12899862884	39007.456613207825	38820.68407123638	38452.60422631648	38355.76401863218	38098.02446265694	37953.61072248991	37854.307247889396	37866.35879553708	37440.70339439737	37106.38827398023	37063.59102528003	36964.31189013131	36833.14086790761	36831.5234162845	36910.851815725226	36967.626721137734	36887.21697877197	36633.00146616269	36401.02503173359	36353.648610750635	36540.76013062108	36637.70691231053	36683.35588927821	36145.7214535638	35977.87579824218	35595.37850973949	35020.465092946164	34253.11966982154	33819.955399527025	33576.66275770595	33262.932462675286	32851.95024813442	32024.10342615035	31024.33774099225	30079.128363448486	29062.083253811634	27837.19120442085	25923.986202978343	22816.12695923727	18731.24701656077	13473.235257582424	7592.049374655496	2237.5635196573517
Cyp_IL1b_rep2	20431.165090290746	23909.213732284774	25646.29141450289	28789.795498062656	32421.539827499204	36776.58107698947	40047.09928663496	42244.46335524752	44863.321006894555	47169.88871074032	48618.12906214958	49410.666997611675	50368.050653493745	50992.12699501735	50901.678260074405	50868.08864948163	50925.63388030894	51480.73096653406	51667.895027405735	51671.10701151261	51807.81794369398	51838.66092493909	52289.01341339828	52765.74474928003	51880.91149615272	51023.221894970746	50822.81893446586	50702.735882940666	50774.88422392041	50680.49972622883	50985.7134541908	51243.80554680294	51702.18609699004	52002.628388232464	52019.60906412161	52116.89991855431	52100.9942204394	52062.07355241863	52190.52525968189	51692.82742137408	51441.10779210004	51363.71739648037	51022.186488303196	51001.0689315292	50933.41761172798	50732.65797465733	50350.74102616601	50345.24993552668	50016.37062775894	49795.991991883595	49242.130977147135	48918.816046789056	48570.699437128336	48536.87806221659	48733.67274159427	48783.85917101626	48542.8407153197	48644.25007381843	48433.553583515466	48082.69192094028	48007.63248035877	47646.513572844524	47370.504957157485	47196.05347369845	47242.28842663803	46762.03201218897	46348.05122892022	46276.55428442603	46123.3381084627	46007.2449291227	46007.404808511375	46234.28209841544	46317.21482461779	46204.83829875147	46017.91321724487	45765.322511299455	45829.08912565222	46196.53929167707	46281.10455359971	46283.11333022803	45627.92768753648	45351.488712639315	44840.14457790621	44007.24939573964	42955.4730410511	42400.556840467405	42181.03988035727	41812.540762166245	41335.204799420055	40261.29619566517	39166.86563681057	38364.89336086631	37450.99344054996	36135.33461326584	33975.73178364453	30023.080694982953	24585.560902027843	17471.116865227843	9694.69962195259	2797.6075780339565
Cyp_IL1b_rep3	19224.730107350235	22864.651498881398	24525.902961980664	27383.231625755085	30695.752945707634	34613.47859655795	37580.071906679455	39588.77106577089	41912.49387186093	43970.530740772345	45253.65834141615	46025.788046478345	46865.7833172435	47516.132643448735	47602.51665458858	47578.86463784298	47673.34058355063	48159.44253074601	48375.474765551226	48479.35885841993	48622.31033017203	48639.81447819426	49092.92414817416	49613.50335629673	48882.80066834943	48168.185751117075	48004.81458060578	48009.078801695665	48198.839903700544	48012.363525409266	48130.10248414763	48345.89997691072	48747.737044273264	49065.57938104908	49048.91256102118	49150.49327328512	49165.01966788155	49054.651877907374	49139.58535484824	48758.62428581565	48546.15376637927	48430.78810720219	48123.80434561707	48094.080042222224	47997.932490460065	47795.15653691009	47433.060577196426	47423.604971168985	47100.956616886186	46907.65901045453	46411.212029374714	46105.64905865572	45814.14339542938	45822.235341494496	46029.953876862	46106.46070014511	45901.00217589542	45981.953708080015	45805.73509495764	45415.65631352032	45258.08366404835	44813.3354069017	44581.27465879641	44424.01132122999	44424.14010234839	43995.845953373566	43578.75538906106	43478.96519066077	43364.838579152456	43249.850813743724	43188.420714730026	43363.32180511284	43426.88882672902	43308.810294877134	43066.21725479577	42738.188175847965	42687.18656022599	42938.67891839749	42936.355011472326	42960.08034002869	42324.74382188442	42125.03931198273	41688.68596079186	40939.6725387818	40025.44138155893	39536.11061341909	39235.114739362914	38853.991756596806	38365.593660037026	37394.40105572245	36411.13439886233	35677.05336619964	34847.76048214247	33545.37304390136	31334.79551868448	27500.69054762303	22431.41719691191	15997.235149251559	8912.441217343525	2569.1864331118672
Cyp_IL1b_rep4	14771.186078963365	17337.09059685715	18482.68751815976	20627.65539205199	23085.384616335195	26089.7815819187	28295.44127747496	29768.894452401208	31473.29742969639	32972.97351874237	33839.974044492854	34240.19171246929	34772.517999257056	35195.84933749189	35037.048799078715	34915.527457455115	35006.302371457605	35388.18476939544	35496.44101167416	35501.11402798161	35512.14698051719	35449.41769295458	35687.81873564736	36016.52034491339	35334.34388262294	34710.33244663231	34574.72482097794	34517.52588744669	34556.34330107354	34342.084941514586	34466.36353704213	34685.66403364887	35022.81558970809	35218.04707113415	35271.305606051625	35380.9909949831	35400.59494280304	35292.22246590378	35403.90119831719	35009.93472549881	34730.81190193575	34603.92901998976	34243.12192235956	34164.1224405805	34069.57017106149	33896.22955671913	33685.869632986694	33747.212844642076	33580.87192837143	33387.82755582486	32946.17179391197	32742.662237148255	32543.86112208595	32570.929776415644	32657.94175935589	32625.612294354472	32342.491561588286	32388.474612506394	32200.72294949474	31990.846039981952	31989.16606334571	31725.074686091506	31506.77934738359	31428.69244276529	31403.23222242869	31073.152323685314	30778.685030783585	30748.572599353505	30707.446849834687	30671.274084909866	30643.73108177622	30800.439822756445	30962.572378418794	30905.400111113115	30827.116470484187	30616.348022667273	30606.723799721633	30841.01354644137	30820.32546250521	30795.200975698892	30241.6892507616	30023.047590033853	29659.982840673594	29022.596553351774	28284.14061953955	28001.941801650595	27879.133499148742	27556.812745312553	27275.399386828543	26590.544451459977	25951.42179203725	25564.21542851083	25123.43882375678	24541.760734216845	23329.484941774583	20679.949358328387	16949.906190602906	12051.660397916701	6723.202739618847	1933.839027332813
Cyp_IL1b_rep5	15995.76597775343	18659.26983260048	19718.621753476804	21836.57093547182	24389.883893472357	27567.387069155204	29722.960789711746	31032.119557409085	32661.183343876313	34149.78624593002	35032.80899138385	35374.93657473264	35820.614763314254	36198.17940243055	36107.45225768847	35993.23417170028	36185.514991943215	36578.07326268359	36618.38716443226	36621.5275250609	36549.28373718785	36337.616688691436	36499.38746456743	36685.42836946485	35954.36607450885	35260.74273542723	35155.44752331423	35079.583668423125	35100.64500575452	34885.087670924826	35045.72127824577	35254.56543286507	35581.61831226459	35748.04543295567	35639.492583425665	35597.99681138739	35517.39940366458	35353.342254593466	35399.96414243337	34985.36380957933	34692.701061881824	34533.17425149913	34245.57656745007	34204.36950160504	34108.124319484	33945.16039465094	33654.89805650529	33633.62396240909	33426.44175756882	33331.99587488894	32892.1526231787	32698.856117469324	32444.58647649688	32530.715909059683	32648.598919377077	32611.243765778174	32403.186945407044	32413.783536337967	32257.331516945378	31956.684581998314	31916.8378965195	31609.92506396632	31467.509889552388	31386.473813716784	31449.5055939912	31107.527505109956	30821.22412180378	30851.108372421044	30762.40945731041	30683.21986599366	30580.3551373993	30679.79081074568	30809.354706273116	30675.074869531596	30535.286541577694	30272.64207701515	30285.85826542573	30478.892300162435	30424.133813782122	30469.662296136044	29958.956700400682	29794.58119786429	29418.388911979466	28810.504120992642	28056.51380631009	27785.923397242925	27663.39572064454	27309.028324850013	27042.55560767078	26345.11271136941	25689.815854996486	25191.613159931552	24585.875847585063	23915.343096360313	22602.985253125065	19929.845227111648	16334.754643847697	11628.88012368285	6530.608335486991	1911.1557472013485
