Sample	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	ssp_estimation	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon	5_bias	3_bias	5_3_bias
Control_rep1	6178570	9559234	4445079	3448663	387057	175778	0.06	3448663	1228608	49644	651511	0.38	0.64	0.59
Control_rep2	6542626	9900798	4443546	3646615	403636	188200	0.06	3646615	1353919	52956	681152	0.36	0.63	0.57
Control_rep3	7496937	10464512	3921044	4188038	418259	217379	0.06	4188038	1864570	72284	788492	0.36	0.66	0.57
Control_rep4	7876684	11750671	5129306	4244297	462384	266861	0.06	4244297	1840729	73627	819761	0.35	0.65	0.52
Control_rep5	7352575	10940050	4752487	4039933	432550	321248	0.06	4039933	1649763	65102	796411	0.37	0.64	0.58
Cyp_IL1b_rep1	8276791	12288939	5311323	4487548	501867	257457	0.06	4487548	1901038	86788	803578	0.38	0.59	0.67
Cyp_IL1b_rep2	9711698	13946110	5621593	5487547	616564	247443	0.07	5487547	2118888	101034	969242	0.38	0.62	0.67
Cyp_IL1b_rep3	9265638	13179931	5195955	5171379	575158	330613	0.06	5171379	2141652	95325	923809	0.39	0.6	0.7
Cyp_IL1b_rep4	7312241	11043825	4944316	3803164	436561	221432	0.07	3803164	1775932	83387	716183	0.35	0.6	0.62
Cyp_IL1b_rep5	7150002	10737672	4738170	3825796	428417	253052	0.07	3825796	1666889	78134	731202	0.38	0.6	0.66
Cyp_rep1	7042015	10843639	5039364	3929192	453835	195934	0.06	3929192	1363592	57387	734208	0.38	0.62	0.62
Cyp_rep2	7684695	11555321	5111456	4214808	464535	237021	0.06	4214808	1693988	70246	785120	0.37	0.62	0.56
Cyp_rep3	7705845	11404974	4912521	4329469	484869	233301	0.06	4329469	1604773	73006	805124	0.37	0.62	0.59
Cyp_rep4	7460067	11036902	4740003	4228591	473481	212242	0.06	4228591	1528623	65840	795775	0.4	0.63	0.62
Cyp_rep5	8076406	12003035	5193708	4557769	508546	234259	0.06	4557769	1671796	70991	882090	0.41	0.64	0.66
IL1b_rep1	8188507	12485134	5652706	4358043	484588	277616	0.07	4358043	1900365	89168	811614	0.37	0.58	0.63
IL1b_rep2	8788974	12991685	5561371	4771081	538124	243360	0.07	4771081	2016541	104252	876508	0.38	0.61	0.62
IL1b_rep3	3969107	6198541	2926610	2103754	233013	138161	0.07	2103754	891725	43262	395001	0.39	0.6	0.69
IL1b_rep4	8056047	11622327	4692808	4304001	450050	227373	0.06	4304001	2077070	97981	842132	0.38	0.61	0.6
IL1b_rep5	9648985	14014329	5745184	5141632	536710	292417	0.06	5141632	2472032	118445	1029082	0.37	0.6	0.59
