#Transcript position	Transcript coverage profile
0.0	2464.0104907721657
1.0	2710.0685126452163
2.0	2834.4470438247718
3.0	3612.987973468608
4.0	4457.387579949332
5.0	5324.592095774054
6.0	5923.1588795081125
7.0	6011.722569217279
8.0	6453.253624385841
9.0	6785.870370464628
10.0	6980.706457219595
11.0	7521.4312889798375
12.0	8401.803331280922
13.0	8590.530110671107
14.0	8264.07545706222
15.0	8023.445314749983
16.0	7728.892229342091
17.0	7400.503790367903
18.0	7295.529408792759
19.0	7384.25577161226
20.0	7645.804520458635
21.0	7659.713667015206
22.0	7633.142812843675
23.0	7600.635274351186
24.0	6975.734947475811
25.0	6429.13247109353
26.0	6244.606010808416
27.0	6235.728790386564
28.0	6264.751882675648
29.0	6042.059402056398
30.0	5968.783875776807
31.0	5935.386226066988
32.0	6034.022786254962
33.0	6181.463829907058
34.0	6268.422469997168
35.0	6352.0199343757
36.0	6399.3819876874395
37.0	6271.031657598676
38.0	6158.717843356056
39.0	5710.671169223639
40.0	5588.3835798316595
41.0	5494.386432682499
42.0	5137.42054073476
43.0	5205.95017649572
44.0	5396.7311522458585
45.0	5666.202103314913
46.0	5946.261139972552
47.0	6350.278025414381
48.0	6619.62341651654
49.0	6581.328068648503
50.0	6523.116349534351
51.0	6569.868070205668
52.0	6433.11022802138
53.0	6269.406356472436
54.0	6146.362694443822
55.0	6127.238721158281
56.0	6055.05342496629
57.0	6113.229625144859
58.0	6027.380353725506
59.0	6090.67957171299
60.0	6042.5180505340795
61.0	5862.4984393902405
62.0	5714.645065107939
63.0	5585.646487235385
64.0	5634.882505532881
65.0	5509.410645874994
66.0	5512.138444407966
67.0	5521.4272659239095
68.0	5483.416641669812
69.0	5613.77147748677
70.0	5538.5221401332265
71.0	5539.022120307592
72.0	5433.789815396647
73.0	5255.360280293644
74.0	5072.355558765487
75.0	4990.527344132053
76.0	5246.499929677045
77.0	5567.610926974262
78.0	5577.522214776682
79.0	5699.888896584929
80.0	5688.299515549114
81.0	5814.781383081738
82.0	5842.177780348974
83.0	5718.485126717577
84.0	5343.312234455956
85.0	5239.127855104766
86.0	5050.484509945839
87.0	4755.640093052647
88.0	4544.894598468772
89.0	3930.2651693344683
90.0	3607.248819027233
91.0	3558.825044860785
92.0	3585.8350732130157
93.0	3499.9980983065398
94.0	3454.00375403005
95.0	3210.6009559737204
96.0	2306.5032997838985
97.0	1455.207629030121
98.0	831.6055308422839
99.0	270.2195133315453
