#Transcript position	Transcript coverage profile
0.0	16858.69424807529
1.0	19849.937817088343
2.0	20973.089801683527
3.0	23380.763734005166
4.0	26142.229661306348
5.0	29182.980193452717
6.0	31659.384177588076
7.0	33153.12762402659
8.0	35019.087718423616
9.0	36403.94752274677
10.0	37530.44177480081
11.0	38710.23212270477
12.0	40145.00268389056
13.0	40971.68976687892
14.0	40978.5475767902
15.0	41107.08463225487
16.0	40990.69105998824
17.0	41132.968072263975
18.0	41461.89684397364
19.0	41853.11901743873
20.0	42325.58326290201
21.0	42410.96398158863
22.0	42586.23714942342
23.0	42784.14940357212
24.0	42060.37301681556
25.0	41366.1404286794
26.0	41034.59747852725
27.0	40934.46065511901
28.0	41199.21355033675
29.0	41099.80031960366
30.0	41132.56338525075
31.0	41313.426166091114
32.0	41509.714074956864
33.0	41749.86054976569
34.0	41966.59925012409
35.0	42214.21858271832
36.0	42390.89094323928
37.0	42362.17664763244
38.0	42274.81728972962
39.0	41697.50837666055
40.0	41349.29953086455
41.0	41188.284802302354
42.0	40672.38856639004
43.0	40544.396414146235
44.0	40482.033415777805
45.0	40501.283689658165
46.0	40385.63143427994
47.0	40534.30582797795
48.0	40548.608303868736
49.0	40260.71496187188
50.0	39922.17519578792
51.0	39673.082990000155
52.0	39350.767361528655
53.0	39158.82370412238
54.0	39031.50776460731
55.0	38985.77044171218
56.0	38704.92753816412
57.0	38787.49257927122
58.0	38549.41442670327
59.0	38504.161027418704
60.0	38537.84786813217
61.0	38283.54383325211
62.0	37936.34469552946
63.0	37861.34092016521
64.0	37691.827879499964
65.0	37295.53357715556
66.0	37075.31987021061
67.0	36796.15189251139
68.0	36747.013288812646
69.0	36785.00041338919
70.0	36843.23269933904
71.0	37027.590167866634
72.0	37183.95637042537
73.0	37249.99891401496
74.0	37208.155681200515
75.0	37136.57572618912
76.0	37318.286805453215
77.0	37562.13482531126
78.0	37308.1722867173
79.0	37192.191350792156
80.0	36967.42438966069
81.0	36964.49511144395
82.0	36709.61553451513
83.0	36209.212044558044
84.0	35430.08824033557
85.0	35078.045948641826
86.0	34803.9362386015
87.0	34426.39331284379
88.0	33819.2498173056
89.0	32494.11684969165
90.0	31316.5300436939
91.0	30570.352001057123
92.0	29779.40682733622
93.0	28450.50776563784
94.0	26596.287264731145
95.0	23595.387562993106
96.0	18943.038439019892
97.0	13194.162080614706
98.0	7350.525369515191
99.0	2113.8165033551463
