#Transcript position	Transcript coverage profile
0.0	3069.100322079608
1.0	3370.4464792745066
2.0	3790.813015898355
3.0	4230.095090090588
4.0	4955.423312453052
5.0	6325.3562098603825
6.0	7570.69229316286
7.0	8397.990825373534
8.0	9421.841482126847
9.0	10316.922116996519
10.0	10610.952712979011
11.0	10730.65676347056
12.0	10847.73095412661
13.0	10519.412785686496
14.0	9755.913235736409
15.0	9275.76932680237
16.0	9095.832296785733
17.0	8953.008486812423
18.0	8567.189168817915
19.0	8150.762133369968
20.0	8041.568302998547
21.0	8173.534074341726
22.0	8441.361225447292
23.0	8734.459087564655
24.0	8063.326795130797
25.0	7513.718395730051
26.0	7522.342186861593
27.0	7475.788083788296
28.0	7366.834268356558
29.0	7141.63189558564
30.0	7197.8285782990415
31.0	7133.2890619850405
32.0	7540.306414167505
33.0	7826.3781591093575
34.0	7786.817114010582
35.0	7800.606320826207
36.0	7783.751619417593
37.0	7566.360706694742
38.0	7565.84055515806
39.0	7344.718543808854
40.0	7408.176410719913
41.0	7286.08469279319
42.0	7051.328994181953
43.0	7313.788171754418
44.0	7430.036878405665
45.0	7409.657719416358
46.0	7463.681305828926
47.0	7531.737869810134
48.0	7569.536546835939
49.0	7766.708372890144
50.0	7604.664140026601
51.0	7551.108032616104
52.0	7558.8104297606515
53.0	7636.60494123137
54.0	7939.678395199416
55.0	8140.145938272243
56.0	8123.107090159213
57.0	8130.4653266229125
58.0	8150.216291843097
59.0	8068.360538007112
60.0	8056.210413671471
61.0	7830.08915045711
62.0	7814.196470648564
63.0	7600.321646493668
64.0	7764.395778545562
65.0	7500.925042113203
66.0	7251.244785026672
67.0	7260.957816968268
68.0	7168.190927398004
69.0	7066.397467633316
70.0	6810.089811398728
71.0	6879.648891255074
72.0	6911.579125233285
73.0	6698.534428620682
74.0	6554.673511391377
75.0	6343.635650926095
76.0	6386.065549504711
77.0	6753.190375540287
78.0	6838.544701241522
79.0	6848.168692433998
80.0	6478.998749012098
81.0	6428.331760091916
82.0	6260.399780448923
83.0	5904.337075388281
84.0	5406.061753297399
85.0	5375.401709612687
86.0	5346.099215470807
87.0	5131.806573407344
88.0	5048.177063545206
89.0	4761.622383944613
90.0	4508.887754799497
91.0	4248.001778459236
92.0	3981.1987308558687
93.0	3912.762343571974
94.0	3885.3397748007337
95.0	3272.601278759129
96.0	2563.5164189512398
97.0	1891.9454995452493
98.0	1132.6976342045257
99.0	367.44496893996154
