#Transcript position	Transcript coverage profile
0.0	15995.76597775343
1.0	18659.26983260048
2.0	19718.621753476804
3.0	21836.57093547182
4.0	24389.883893472357
5.0	27567.387069155204
6.0	29722.960789711746
7.0	31032.119557409085
8.0	32661.183343876313
9.0	34149.78624593002
10.0	35032.80899138385
11.0	35374.93657473264
12.0	35820.614763314254
13.0	36198.17940243055
14.0	36107.45225768847
15.0	35993.23417170028
16.0	36185.514991943215
17.0	36578.07326268359
18.0	36618.38716443226
19.0	36621.5275250609
20.0	36549.28373718785
21.0	36337.616688691436
22.0	36499.38746456743
23.0	36685.42836946485
24.0	35954.36607450885
25.0	35260.74273542723
26.0	35155.44752331423
27.0	35079.583668423125
28.0	35100.64500575452
29.0	34885.087670924826
30.0	35045.72127824577
31.0	35254.56543286507
32.0	35581.61831226459
33.0	35748.04543295567
34.0	35639.492583425665
35.0	35597.99681138739
36.0	35517.39940366458
37.0	35353.342254593466
38.0	35399.96414243337
39.0	34985.36380957933
40.0	34692.701061881824
41.0	34533.17425149913
42.0	34245.57656745007
43.0	34204.36950160504
44.0	34108.124319484
45.0	33945.16039465094
46.0	33654.89805650529
47.0	33633.62396240909
48.0	33426.44175756882
49.0	33331.99587488894
50.0	32892.1526231787
51.0	32698.856117469324
52.0	32444.58647649688
53.0	32530.715909059683
54.0	32648.598919377077
55.0	32611.243765778174
56.0	32403.186945407044
57.0	32413.783536337967
58.0	32257.331516945378
59.0	31956.684581998314
60.0	31916.8378965195
61.0	31609.92506396632
62.0	31467.509889552388
63.0	31386.473813716784
64.0	31449.5055939912
65.0	31107.527505109956
66.0	30821.22412180378
67.0	30851.108372421044
68.0	30762.40945731041
69.0	30683.21986599366
70.0	30580.3551373993
71.0	30679.79081074568
72.0	30809.354706273116
73.0	30675.074869531596
74.0	30535.286541577694
75.0	30272.64207701515
76.0	30285.85826542573
77.0	30478.892300162435
78.0	30424.133813782122
79.0	30469.662296136044
80.0	29958.956700400682
81.0	29794.58119786429
82.0	29418.388911979466
83.0	28810.504120992642
84.0	28056.51380631009
85.0	27785.923397242925
86.0	27663.39572064454
87.0	27309.028324850013
88.0	27042.55560767078
89.0	26345.11271136941
90.0	25689.815854996486
91.0	25191.613159931552
92.0	24585.875847585063
93.0	23915.343096360313
94.0	22602.985253125065
95.0	19929.845227111648
96.0	16334.754643847697
97.0	11628.88012368285
98.0	6530.608335486991
99.0	1911.1557472013485
