#Transcript position	Transcript coverage profile
0.0	2276.765642643216
1.0	2566.96504709305
2.0	3012.6703759019965
3.0	3542.248661593885
4.0	4172.5758875271185
5.0	4980.484153939208
6.0	5569.588445106219
7.0	5802.488058658137
8.0	6430.053898282782
9.0	6946.9318451505505
10.0	6959.965386017864
11.0	7095.652160483614
12.0	7418.475351187769
13.0	7275.748793269121
14.0	6831.683377995687
15.0	6548.439067575912
16.0	6444.743015661577
17.0	6308.14097650419
18.0	6220.705019022029
19.0	6378.808985328749
20.0	6642.883279698422
21.0	6743.237942057008
22.0	6904.266787134533
23.0	7204.85196805087
24.0	6845.480806778428
25.0	6522.491187322426
26.0	6376.78721410357
27.0	6359.845456576373
28.0	6310.3305850788565
29.0	6101.086914743905
30.0	6015.33230087878
31.0	5961.770348074943
32.0	6181.796212551916
33.0	6439.129763505666
34.0	6431.361288962311
35.0	6381.783549410013
36.0	6456.865413489056
37.0	6270.826712459776
38.0	6178.25533423278
39.0	5866.140322448956
40.0	5854.734145589321
41.0	5739.959857744789
42.0	5402.516267693636
43.0	5357.294536634201
44.0	5326.550802507901
45.0	5289.632681771223
46.0	5438.153010303141
47.0	5724.120226984655
48.0	5931.281975659412
49.0	6016.254954795624
50.0	5846.268181247615
51.0	5744.644508049196
52.0	5773.027280712979
53.0	5757.693681945207
54.0	5944.118819975269
55.0	6137.11873922414
56.0	6293.486132082633
57.0	6477.8865274428135
58.0	6533.9544865044345
59.0	6518.85286620156
60.0	6566.8685523560125
61.0	6315.689864100834
62.0	6284.183733240851
63.0	6041.611808885159
64.0	5987.583431102005
65.0	5753.944303318921
66.0	5771.703564424283
67.0	5849.198205697181
68.0	5873.205860819757
69.0	6019.794894872718
70.0	5879.109337095031
71.0	5914.610816999383
72.0	5804.10837006716
73.0	5559.691162474517
74.0	5446.850066092664
75.0	5281.210178693349
76.0	5233.895131790537
77.0	5359.462017591748
78.0	5378.050846914171
79.0	5587.734579452055
80.0	5461.735912377355
81.0	5506.696361302677
82.0	5372.616954223879
83.0	5141.9062931706085
84.0	4720.896534032869
85.0	4572.635861690149
86.0	4473.685231497177
87.0	4266.7632635992295
88.0	4211.312106292366
89.0	3787.567993102066
90.0	3544.737036567964
91.0	3290.696613574389
92.0	3030.58790213671
93.0	2830.704157218739
94.0	2677.730249652521
95.0	2237.01301423564
96.0	1544.4944314221239
97.0	1039.8840038022734
98.0	656.8071487035735
99.0	191.55261069587638
