#Transcript position	Transcript coverage profile
0.0	18765.015800257046
1.0	22107.68590984527
2.0	23273.722093546938
3.0	25887.34830192821
4.0	28807.424161020976
5.0	31982.94067797521
6.0	34719.84025595662
7.0	36405.965985023264
8.0	38391.74396174082
9.0	40047.390032534844
10.0	41104.22395723309
11.0	41962.773221237425
12.0	43081.78147295547
13.0	43678.66592841176
14.0	43530.75717210344
15.0	43524.306199230814
16.0	43688.32946328116
17.0	44217.2602616871
18.0	44506.99439777844
19.0	44909.36710183813
20.0	45345.73525143036
21.0	45517.40449169667
22.0	45865.38727216415
23.0	46401.711093353
24.0	45829.42997463854
25.0	45057.96514869046
26.0	44652.124132186036
27.0	44576.666877533185
28.0	44705.85001488192
29.0	44545.039489079216
30.0	44640.9348414504
31.0	44772.46378895699
32.0	44980.31846788007
33.0	45350.5547407461
34.0	45485.130451975376
35.0	45644.32787562695
36.0	45616.06527943547
37.0	45516.90615436365
38.0	45432.269441292396
39.0	44880.53006688015
40.0	44611.5857533508
41.0	44446.86481882734
42.0	43993.6191294662
43.0	43791.649781072156
44.0	43689.39966461675
45.0	43712.793472075726
46.0	43643.928957654425
47.0	43780.07544897847
48.0	43629.67859147055
49.0	43317.60768351944
50.0	42800.43008165853
51.0	42526.20190781235
52.0	42280.32403554178
53.0	42236.72269410755
54.0	42389.360632063705
55.0	42524.24100613206
56.0	42410.989541604715
57.0	42643.7902559573
58.0	42472.0855654973
59.0	42329.019005509246
60.0	42360.6926183657
61.0	42026.81325616444
62.0	41711.46849936751
63.0	41660.745395411934
64.0	41586.01597820228
65.0	41173.22219351118
66.0	40942.039294384886
67.0	40656.26102804518
68.0	40505.7619865288
69.0	40524.15818200616
70.0	40570.44839109309
71.0	40703.36738926859
72.0	40791.24432938783
73.0	40787.408816109826
74.0	40646.26192218675
75.0	40540.706123770105
76.0	40682.45429028634
77.0	40869.482279968026
78.0	40591.76867186769
79.0	40444.880766999944
80.0	40147.673533696194
81.0	40164.55114998439
82.0	39892.875336892466
83.0	39447.1991809241
84.0	38597.91899183951
85.0	38181.37318265772
86.0	37999.88286894955
87.0	37687.12542561734
88.0	37106.89740815219
89.0	35688.66483953543
90.0	34365.186613059646
91.0	33422.3479078864
92.0	32536.98626579155
93.0	31040.093983983872
94.0	29006.4951492002
95.0	25711.16629462517
96.0	20718.280013726282
97.0	14463.798868271248
98.0	8083.776316053957
99.0	2324.880085413309
