#Transcript position	Transcript coverage profile
0.0	17435.87968251395
1.0	20335.76234756599
2.0	21372.237500816605
3.0	23726.348548228045
4.0	26718.260081163902
5.0	30566.57130261636
6.0	33345.813982191954
7.0	35087.71269647702
8.0	37170.37627004713
9.0	39003.03848809048
10.0	40154.45921638388
11.0	40676.70139258183
12.0	41481.082372736324
13.0	41901.992289406466
14.0	41748.83397066166
15.0	41608.55695964305
16.0	41479.8240419738
17.0	41602.774888848064
18.0	41606.933563967636
19.0	41516.799022879495
20.0	41637.373320482206
21.0	41501.220975303615
22.0	41814.25349361812
23.0	42217.87868265827
24.0	41394.03616073474
25.0	40639.023323069734
26.0	40473.33751386863
27.0	40314.211676515595
28.0	40242.73704469123
29.0	40000.552410082164
30.0	40124.471324385784
31.0	40274.59042904974
32.0	40538.27941871408
33.0	40791.8239280157
34.0	40778.69664448671
35.0	40756.35973435955
36.0	40673.965932335894
37.0	40548.4864493832
38.0	40599.193497540575
39.0	40096.28936072629
40.0	39844.242498550935
41.0	39760.38958381998
42.0	39380.09947633379
43.0	39396.43243518452
44.0	39455.50252493708
45.0	39282.194989980504
46.0	38998.120303547825
47.0	39111.37885126212
48.0	38778.250800159796
49.0	38509.30342978107
50.0	38002.89932302283
51.0	37773.01475169062
52.0	37425.13647295247
53.0	37402.14870440573
54.0	37561.16736583462
55.0	37738.48917102724
56.0	37666.488456931256
57.0	37801.28707248146
58.0	37584.76980988996
59.0	37115.41296641367
60.0	36909.06971221526
61.0	36412.2733769521
62.0	36168.23346260666
63.0	35901.54332541078
64.0	35918.50068719996
65.0	35420.50934304363
66.0	35189.52852450928
67.0	35268.93863897438
68.0	35164.72464250266
69.0	34977.26702553969
70.0	34869.586204011604
71.0	35006.68126439995
72.0	35097.990170695586
73.0	34992.28714874706
74.0	34817.39273233537
75.0	34593.52910716068
76.0	34743.108898576786
77.0	35134.74582612731
78.0	35185.6149588632
79.0	35261.73619060147
80.0	34725.89180641543
81.0	34534.191155553286
82.0	34006.38339385696
83.0	33368.33961847279
84.0	32473.80527703452
85.0	32148.44317747046
86.0	31924.104786071952
87.0	31653.805534485182
88.0	31381.69859765132
89.0	30525.51349556082
90.0	29678.140514061884
91.0	28965.792016745563
92.0	28142.25841816883
93.0	27131.199520669114
94.0	25233.368619766952
95.0	22147.408455461675
96.0	18060.42155614854
97.0	12971.058087845598
98.0	7280.354520605466
99.0	2179.660246858243
