#Transcript position	Transcript coverage profile
0.0	3313.5694216678107
1.0	3500.274683298703
2.0	3601.8434624068123
3.0	4143.303866689873
4.0	5101.955907254235
5.0	6364.253713130085
6.0	7126.252720015303
7.0	7414.017895682145
8.0	8124.649654990538
9.0	8853.764771118858
10.0	9009.395488507931
11.0	9132.539779700404
12.0	9641.020994059847
13.0	9550.62246473568
14.0	8887.976879015681
15.0	8533.102751969076
16.0	8714.876730784925
17.0	8701.358355049912
18.0	8345.872897084255
19.0	8115.153430978476
20.0	8058.388471308621
21.0	7933.64963498823
22.0	7913.695171605768
23.0	8048.3715982757185
24.0	7428.216589331195
25.0	6994.033361429879
26.0	7083.123870491778
27.0	7117.338028581009
28.0	7054.349077589359
29.0	6840.365696299648
30.0	6940.687776760705
31.0	6957.490724557996
32.0	7115.984563974258
33.0	7257.268689979062
34.0	7120.780566342927
35.0	6985.692299048743
36.0	6862.352209464569
37.0	6654.864915028282
38.0	6778.35882839218
39.0	6601.995053970131
40.0	6599.456136394787
41.0	6407.883804433318
42.0	6221.433241596161
43.0	6439.416367056021
44.0	6436.810997448919
45.0	6303.290326135782
46.0	6295.966915614762
47.0	6627.550622357806
48.0	6843.653068650184
49.0	6997.221085653417
50.0	6755.161521318761
51.0	6645.331937864528
52.0	6614.718513480352
53.0	6778.491470136263
54.0	7002.015413535792
55.0	7097.810322453013
56.0	7020.38333809748
57.0	7056.769838191255
58.0	7014.891078044448
59.0	6933.945577804407
60.0	7065.039700681806
61.0	6844.189599014221
62.0	6773.703438977772
63.0	6381.486326084327
64.0	6409.730792751214
65.0	6078.974641315373
66.0	5894.23244098581
67.0	5948.564519463619
68.0	5901.013992510154
69.0	5942.518211415661
70.0	5742.0704077463015
71.0	5769.780226179632
72.0	5825.045524286053
73.0	5543.5323316917675
74.0	5595.3789472704075
75.0	5358.718274977818
76.0	5606.877345665892
77.0	6022.8619767144
78.0	5979.333887711024
79.0	6146.882517130406
80.0	5838.571518989462
81.0	5981.354017670608
82.0	5905.288201775778
83.0	5479.704279448266
84.0	4915.677833472529
85.0	4903.734904744311
86.0	4980.667130743515
87.0	4674.5267198953425
88.0	4807.531917796125
89.0	4506.6233393531775
90.0	4297.309075429225
91.0	4081.1570750730934
92.0	3800.627711437441
93.0	3795.982533131076
94.0	3909.6238444372457
95.0	3315.1715038883513
96.0	2443.10793911323
97.0	1801.8568788753744
98.0	1167.2731038985119
99.0	388.4442062866486
